Pontif number, Papal Name, Personal name, Place of birth, Country of Birth, BirthDate, Conclave Start, Elected, Installed, End of Reign, Length, Religious order, Notes, 
52, Hormisdas, , Frosinone, Southern Latium, Italy, Italy, , , 20 Jul 0514, 20 Jul 0514, 6 Aug 0523, 9, , , 
53, John I, , Tuscany, Italy, , , 13 Aug 0523, 13 Aug 0523, 18 May 0526, 2.7, , , 
54, Felix IV, , Samnium, , , , 12 Jul 0526, 12 Jul 0526, 22 Sep 0530, 4.1, , , 
55, Boniface II, , Rome to Ostrogoth parents, Italy, , , 22 Sep 0530, 22 Sep 0530, 17 Oct 0532, 2, , , 
56, John II, Mercurius, Rome, Italy, , , 31 Dec 0532, 31 Dec 0532, 8 May 0535, 2.3, , , 
57, Agapitus I, , Rome, Ostrogothic Kingdom, Italy, , , 13 May 0535, , 22 Apr 0536, 0.9, , , 
58, Silverius, , , , 480, , May 536, 8 Jun 0536, Jun 537, 1, , , 
59, Vigilius, , Rome, Italy, 500, , Mar 537, 29 Mar 0537, 7 Jun 0555, 18.2, , , 
60, Pelagius I, , Rome, Italy, 505, , 556, 16 Apr 0556, 3 Mar 0561, 5.1, , , 
61, John III, Catelinus, Rome, Eastern Roman Empire, Italy, 520, , 561, 17 Jul 0561, 13 Jul 0574, 13.5, , , 
62, Benedict I, , , , 525, , 575, 2 Jun 0575, 30 Jul 0579, 4.5, , , 
63, Pelagius II, , Rome, Italy, 520, , Aug 579, 26 Nov 0579, 7 Feb 0590, 10.5, , , 
64, Gregory I, , Rome, Italy, , , Sep 590, 3 Sep 0590, 12 Mar 0604, 13.5, Benedictines - Order of Saint Benedict, , 
65, Sabinian, , Blera, Italy, 530, , 604, 13 Sep 0604, 22 Feb 0606, 2.1, , , 
66, Boniface III, , Rome, Italy, 540, , 607, 19 Feb 0607, 12 Nov 0607, 0.8, , , 
67, Boniface IV, , Marsi, Italy, 550, , 608, 15 Sep 0608, 8 May 0615, 7.3, Benedictines - Order of Saint Benedict, , 
68, Adeodatus I, , Rome, Italy, 570, , 615, 13 Nov 0615, 8 Nov 0618, 3.8, , , 
69, Boniface V, , Naples, Italy, 575, , Nov 618, 23 Dec 0619, 23 Oct 0625, 6.9, , , 
70, Honorius I, , Campania, Byzantine Empire, Italy, 585, , Oct 625, 27 Oct 0625, 12 Oct 0638, 13, , , 
71, Severinus, , Rome, Italy, 585, , 15 Oct 0638, 28 May 0640, 2 Aug 0640, 1.7, , , 
72, John IV, , Zadar, Dalmatia, Croatia, 587, , Aug 640, 24 Dec 0640, 12 Oct 0642, 2.1, , , 
73, Theodore I, , , Palestine, 610, , 12 Oct 0642, 24 Nov 0642, 14 May 0649, 6.5, , , 
74, Martin I, , Near Todi, Umbria, Byzantine Empire, Italy, 590, , 649, 5 Jul 0649, 16 Sep 0655, 6.7, , , 
75, Eugene I, , Rome, Italy, 615, , , 10 Aug 0654, 2 Jun 0657, , , , 
76, Vitalian, , Segni, Byzantine Empire, Italy, 600, , May 657, 30 Jul 0657, 27 Jan 0672, 14.7, , , 
77, Adeodatus II, , Rome, Byzantine Empire, Italy, 621, , 672, 11 Apr 0672, 16 Jun 0676, 4.4, Benedictines - Order of Saint Benedict, , 
78, Donus, , Rome, Byzantine Empire, Italy, 610, , 676, 2 Nov 0676, 11 Apr 0678, 2.2, , , 
79, Agatho, , Sicily, Italy, 577, , , 27 Jun 0678, 10 Jan 0681, , , , 
80, Leo II, , Sicily, Italy, 611, , , 17 Aug 0682, 3 Jul 0683, , , , 
81, Benedict II, , Rome, Byzantine Empire, Italy, 635, , , 26 Jun 0684, 8 May 0685, , , , 
82, John V, , , Syria, 635, , , 23 Jul 0685, 2 Aug 0686, , , , 
83, Conon, , , , 630, , 686, 23 Oct 0686, 21 Sep 0687, 1.7, , , 
84, Sergius I, , Sicily, Italy, 650, , 687, 15 Dec 0687, 7 Sep 0701, 14.6, , , 
85, John VI, , , Greece, 650, , , 30 Oct 0701, 11 Jan 0705, , , , 
86, John VII, , , Greece, 655, , , 1 Mar 0705, 18 Oct 0707, , , , 
87, Sisinius, , , Syria, 650, , Oct 707, 15 Jan 0708, 4 Feb 0708, 0.3, , , 
88, Constantine, , , Syria, 664, , 25 Mar 0708, , 9 Apr 0715, 7, , , 
89, Gregory II, , Rome, Byzantine Empire, Italy, 669, , May 715, 19 May 0715, 11 Feb 0731, 15.7, , , 
90, Gregory III, , , Syria, 669, , Mar 731, 18 Mar 0731, 28 Nov 0741, 10.7, , , 
91, Zacharias, , , Greece, 679, , 3 Dec 0741, 10 Dec 0741, 15 Mar 0752, 10.2, , , 
92, Stephen II, , , , 714, , 29 May 0752, , 26 Apr 0757, 4.9, , , 
93, Paul, , Rome, Italy, 700, , 29 Apr 0757, , 28 Jun 0767, 10.1, , , 
94, Stephen III, , Sicily, Italy, 720, , 1 Aug 0768, 7 Aug 0768, 24 Jan 0772, 3.4, , , 
95, Hadrian I, , Rome, Italy, , , 1 Feb 0772, 9 Feb 0772, 25 Dec 0795, 23.8, , , 
96, Leo III, , Rome, Italy, 750, , 26 Dec 0795, 27 Dec 0795, 12 Jun 0816, 20.4, , , 
97, Stephen IV, , , , 770, , Jun 816, 22 Jun 0816, 24 Jan 0817, 0.6, , , 
98, Paschal I, , Rome, Italy, 775, , 25 Jan 0817, 26 Jan 0817, 11 Feb 0824, 7, , , 
99, Eugene II, , Rome, Italy, 780, , 8 May 0824, 6 Jun 0824, 27 Aug 0827, 3.3, , , 
100, Valentine, , Rome, Italy, 780, , 31 Aug 0827, , 10 Oct 0827, 0.1, , , 
101, Gregory IV, , Rome, Italy, 790, , 20 Dec 0827, 29 Mar 0828, 25 Jan 0844, 16, , , 
102, Sergius II, , Rome, Italy, 790, , 25 Jan 0844, , 27 Jan 0847, 3, , , 
103, Leo IV, , Rome, Italy, 790, , 27 Jan 0847, 10 Apr 0847, 17 Jul 0855, 8.4, , , 
104, Benedict III, , Rome, Italy, 810, , 26 Jul 0855, 29 Sep 0855, 7 Apr 0858, 2.6, , , 
105, Nicholas I, , Rome, Italy, 800, , Apr 858, 24 Apr 0858, 13 Nov 0867, 9.6, , , 
106, Hadrian II, , Rome, Italy, 792, , 13 Nov 0867, 14 Dec 0867, 14 Dec 0872, 5, , , 
107, John VIII, , Rome, Italy, 820, , 14 Dec 0872, , 16 Dec 0882, 10, , , 
108, Marinus I, , Gallese, Rome, Italy, 830, , 16 Dec 0882, , 15 May 0884, 1.4, , , 
109, Hadrian III, , Rome, Italy, 830, , 17 May 0884, , 15 Sep 0885, 1.3, , , 
110, Stephen V, , Rome, Italy, 840, , 14 Sep 0885, , 4 Sep 0891, 5.9, , , 
111, Formosus, , Ostia, Italy, 816, , 6 Oct 0891, , 4 Apr 0896, 4.4, , , 
112, Boniface VI, , Rome, Italy, 806, , 11 Apr 0896, , 26 Apr 0896, 0, , , 
113, Stephen VI, , Rome, Italy, 850, , 22 May 0896, , 14 Aug 0897, 1.2, , , 
114, Romanus, , Gallese, Rome, Italy, 850, , 14 Aug 0897, , Nov 897, 0.2, , , 
115, Theodore II, , Rome, Italy, 840, , Dec 897, , 20 Dec 0897, 0, , , 
116, John IX, , Tivoli, Italy, 840, , 18 Jan 0898, , 5 Jan 0900, 1.9, , , 
117, Benedict IV, , Rome, Italy, 840, , 1 Feb 0900, , 30 Jul 0903, 3.4, , , 
118, Leo V, , Ardea, Italy, 845, , 30 Jul 0903, , Dec 903, 0.3, , , 
119, Sergius III, , Rome, Italy, 860, , 29 Jan 0904, , 14 Apr 0911, 7.2, , , 
120, Anastasius III, , Rome, Italy, 865, , 14 Apr 0911, , Jun 913, 2.1, , , 
121, Lando, , Sabina, Italy, 865, , 7 Jul 0913, , 5 Feb 0914, 0.5, , , 
122, John X, , Romagna, Italy, 860, , Mar 914, 15 May 0914, 2 Jul 0929, 15.3, , , 
123, Leo VI, , Rome, Italy, , , Jun 928, , Dec 928, 0.5, , , 
124, Stephen VII, , Rome, Italy, , , Jan 929, , Feb 931, 2, , , 
125, John XI, , Rome, Italy, 901, , Mar 931, , Jan 936, 4.8, , , 
126, Leo VII, , , , , , 3 Jan 0936, , 13 Jul 0939, 3.5, , , 
127, Stephen VIII, , , Germany, , , 14 Jul 0939, 19 Jul 0939, Oct 942, 3.2, , , 
128, Marinus II, , Rome, Italy, , , 30 Oct 0942, 11 Nov 0942, May 946, 3.5, , , 
129, Agapitus II, , Rome, Italy, , , 946, 10 May 0946, 15 Dec 0955, 9.9, , , 
130, John XII, Octavian, Rome, Italy, 937, , 16 Dec 0955, , 14 May 0964, 8.4, , , 
131, Leo VIII, , Rome, Italy, 915, , 4 Dec 0963, , 1 Mar 0965, 1.2, , , 
132, Benedict V, , Rome, Italy, 915, , 22 May 0964, , 4 Jul 0966, 2.1, , , 
133, John XIII, , Rome, Italy, , , 1 Oct 0965, , 6 Sep 0972, 6.9, , , 
134, Benedict VI, , Rome, Papal States, Italy, , , 20 Dec 0972, 19 Jan 0973, Jul 974, 1.5, , , 
135, Benedict VII, , Rome, Italy, , , Oct 974, , 10 Jul 0983, 8.7, , , 
136, John XIV, Pietro Campanora, Pavia, Italy, , , Dec 983, , 20 Aug 0984, 0.7, , , 
137, John XV, , Rome, Italy, , , Aug 985, Sep 985, Mar 996, 10.5, , , 
138, Gregory V, Bruno of Carinthia, Germany, Holy Roman Empire, Italy, 970, , , 3 May 0996, 4 Feb 0999, , , , 
139, Sylvester II, Gerbert d'Aurillac, Auvergne region, France, 945, , 28 Feb 0999, 2 Apr 0999, 12 May 1003, 4.2, , , 
140, John XVII, Siccone, Rome, Papal States, Italy, , , 16 May 1003, 13 Jun 1003, 6 Nov 1003, 0.4, , , 
141, John XVIII, Giovanni Fasano; Phasianus, Rapagnano, Papal States, Italy, , , 25 Dec 1003, 25 Dec 1003, Jun 1009, 5.4, , , 
142, Sergius IV, Pietro Boccapecora, Rome, Papal States, Holy Roman Empire, Italy, 970, , 31 Jul 1009, Jul 1010, 12 May 1012, 2.7, , , 
143, Benedict VIII, Theophylactus II, Conti di Tusculum, Rome, Papal States, Holy Roman Empire, Italy, 980, , 18 May 1012, , 9 Apr 1024, 11.8, , , 
144, John XIX, Romanus, Conti di Tusculum, Rome, Papal States, Holy Roman Empire, Italy, 975, , 19 Apr 1024, Jul 1024, 1032, 7.7, , , 
145, Benedict IX, Theophylactus III, Conti di Tusculum, Rome, Papal States, Holy Roman Empire, Italy, 1010, , 1032, , Sep 1044, 12.6, , , 
146, Sylvester III, John, Bishop of Sabina, Rome, Papal States, Holy Roman Empire, Italy, 1000, , 13 Jan 1045, , 10 Mar 1045, 0.1, , , 
147, Benedict IX, Theophylactus III, Conti di Tusculum, Rome, Papal States, Holy Roman Empire, Italy, 1010, , 1032, , Sep 1044, 0, , , 
148, Gregory VI, Johannes Gratianus, Rome, Papal States, Holy Roman Empire, Italy, 1000, , 5 May 1045, 5 May 1045, 23 Dec 1046, 1.6, , , 
149, Clement II, Suidger, Hornburg, Duchy of Saxony, Holy Roman Empire, , 1005, , 24 Dec 1046, 25 Dec 1046, 9 Oct 1047, 0.7, , , 
150, Benedict IX, Theophylactus III, Conti di Tusculum, Rome, Papal States, Holy Roman Empire, , 1010, , 1032, , Sep 1044, 0, , , 
151, Damasus II, Poppo, Pildenau, Duchy of Bavaria, Holy Roman Empire, , 1000, , 17 Jul 1048, , 9 Aug 1048, 0, , , 
152, Leo IX, Bruno, Count of Dagsbourg, Eguisheim, Swabia, Holy Roman Empire, , 21 Jun 1002, , 12 Feb 1049, , 19 Apr 1054, 5.1, , , 
153, Victor II, Gebhard, Count of Calw, Tollenstein, and Hirschberg, Kingdom of Germany, Holy Roman Empire, , 1018, , Sep 1054, 13 Apr 1055, 28 Jul 1057, 2.9, , , 
154, Stephen IX (X), Frederic de Lorraine, Duchy of Lorraine, Holy Roman Empire, , 1020, , 2 Aug 1057, 3 Aug 1057, 29 Mar 1058, 0.6, , , 
155, Nicholas II, Gerard de Bourgogne, Chateau de Chevron, Kingdom of Arles, , 980, , 6 Dec 1058, 24 Jan 1059, 27 Jul 1061, 2.6, , , 
156, Alexander II, Anselmo da Baggio, Milan, Italy, Holy Roman Empire, , 1018, , 30 Sep 1061, 1 Oct 1061, 21 Apr 1073, 11.5, , , 
157, Gregory VII, Hildebrand, Sovana, Italy, Holy Roman Empire, , 1020, , 22 Apr 1073, 30 Jun 1073, 25 May 1085, 12, , , 
158, Victor III, Desiderio; Desiderius; Dauferius, Benevento, Duchy of Benevento, , 1026, , 24 May 1086, 9 May 1087, 16 Sep 1087, 1.3, , , 
159, Urban II, Odo of Lagery, Lagery, County of Champagne, France, 1035, , 12 Mar 1088, 12 Mar 1088, 29 Jul 1099, 11.3, , , 
160, Paschal II, Raniero, Bleda, Papal States, Holy Roman Empire, , 1050, , 13 Aug 1099, 14 Aug 1099, 21 Jan 1118, 18.4, , , 
161, Gelasius II, Giovanni Coniulo, Gaeta, Principality of Capua, , 1062, , 24 Jan 1118, 10 Mar 1118, 29 Jan 1119, 1, , , 
162, Callistus II, Guido, Comte de Bourgogne, Quingey, County of Burgundy, Holy Roman Empire, , , , 2 Feb 1119, 9 Feb 1119, 13 Dec 1124, 5.8, , , 
163, Honorius II, Lamberto Scannabecchi, Fiagnano, Papal States, Holy Roman Empire, , 9 Feb 1060, , 15 Dec 1124, 21 Dec 1124, 13 Feb 1130, 5.1, Augustinians - Canons Regular, , 
164, Innocent II, Gregorio Papareschi, Rome, Papal States, Holy Roman Empire, , 1082, , 14 Feb 1130, 23 Feb 1130, 24 Sep 1143, 13.6, Augustinians - Canons Regular, , 
165, Celestine II, Guido, Citta di Castello, Papal States, Holy Roman Empire, , 1085, , 26 Sep 1143, 3 Oct 1143, 8 Mar 1144, 0.4, , , 
166, Lucius II, Gerardo Caccianemici dal Orso, Bologna, Papal States, Holy Roman Empire, , 1095, , 9 Mar 1144, 12 Mar 1144, 15 Feb 1145, 0.9, Augustinians - Canons Regular, , 
167, Eugene III, Bernardo da Pisa, Pisa, Republic of Pisa, Holy Roman Empire, , 1085, , 15 Feb 1145, 18 Feb 1145, 8 Jul 1153, 8.3, Cistercians, , 
168, Anastasius IV, Corrado Demetri della Suburra, Rome, Papal States, Holy Roman Empire, , 1073, , 8 Jul 1153, 12 Jul 1153, 3 Dec 1154, 1.4, , , 
169, Hadrian IV, Nicholas Breakspear, Abbots Langley, Hertfordshire, Kingdom of England, , 1100, , 4 Dec 1154, 5 Dec 1154, 1 Sep 1159, 4.7, Augustinians - Canons Regular, , 
170, Alexander III, Rolando, Siena, Italy, Holy Roman Empire, , 1100, , 7 Sep 1159, 20 Sep 1159, 30 Aug 1181, 21.9, , , 
171, Lucius III, Ubaldo, Lucca, Italy, Holy Roman Empire, , 1100, , 1 Sep 1181, 6 Sep 1181, 25 Nov 1185, 4.2, , , 
172, Urban III, Uberto Crivelli, Cuggiono, Italy, Holy Roman Empire, , 1120, , 25 Nov 1185, 1 Dec 1185, 20 Oct 1187, 1.9, , , 
173, Gregory VIII, Alberto di Morra, Benevento, Papal States, Holy Roman Empire, , 1105, , 21 Oct 1187, 25 Oct 1187, 17 Dec 1187, 0.1, Augustinians - Premonstratense, , 
174, Clement III, Paolo Scolari, Rome, Papal States, Holy Roman Empire, , 1130, , 19 Dec 1187, 7 Jan 1188, 27 Mar 1191, 3.2, , , 
175, Celestine III, Giacinto Bobone, Rome, Papal States, Holy Roman Empire, , 1105, , 10 Apr 1191, 14 Apr 1191, 8 Jan 1198, 6.7, , , 
176, Innocent III, Lothario dei Conti di Segni, Gavignano, Papal States, Holy Roman Empire, , 1160, , 8 Jan 1198, 22 Feb 1198, 16 Jul 1216, 18.5, , , 
177, Honorius III, Cencio, Rome, Papal States, Holy Roman Empire, , 1150, , 18 Jul 1216, 24 Jul 1216, 18 Mar 1227, 10.6, , , 
178, Gregory IX, Ugolino dei Conti di Segni, Anagni, Papal States, Holy Roman Empire, , 1170, , 19 Mar 1227, 11 Apr 1227, 22 Aug 1241, 14.4, Franciscans - Secular Franciscan Order, , 
179, Celestine IV, Goffredo Castiglioni, Milan, Italy, Holy Roman Empire, , 1180, , 25 Oct 1241, , 10 Nov 1241, 0, , , 
180, Innocent IV, Sinibaldo Fieschi, Genoa, Republic of Genoa, Holy Roman Empire, , 1195, , 25 Jun 1243, 28 Jun 1243, 7 Dec 1254, 11.4, , , 
181, Alexander IV, Rinaldo dei Conti di Jenne, Jenne, Papal States, Holy Roman Empire, , 1185, , 12 Dec 1254, 20 Dec 1254, 25 May 1261, 6.4, , , 
182, Urban IV, Jacques Pantaleon, Troyes, County of Champagne, France, , 1195, , 29 Aug 1261, , 2 Oct 1264, 3, , , 
183, Clement IV, Gui Faucoi, Saint-Gilles, Languedoc, France, , 23 Nov 1190, , 5 Feb 1265, 22 Feb 1265, 29 Nov 1268, 3.8, , , 
184, Gregory X, Tebaldo Visconti, Piacenza, Italy, Holy Roman Empire, , 1210, , 1 Sep 1271, 27 Mar 1272, 10 Jan 1276, 4.3, Franciscans - Secular Franciscan Order, , 
185, Innocent V, Pierre de Tarentaise, County of Savoy, Holy Roman Empire, , 1224, , 21 Jan 1276, 22 Feb 1276, 22 Jun 1276, 0.4, Dominicans, , 
186, Hadrian V, Ottobuono Fieschi, Genoa, Republic of Genoa, Holy Roman Empire, , 1210, , 11 Jul 1276, , 18 Aug 1276, 0.1, , , 
187, John XXI, Pedro Hispano, Lisbon, Portugal, 1210, , 8 Sep 1276, 20 Sep 1276, 20 May 1277, 0.6, , , 
188, Nicholas III, Giovanni Gaetano Orsini, Rome, Papal States, Holy Roman Empire, , 1210, , 25 Nov 1277, Dec 1277, 22 Aug 1280, 2.7, , , 
189, Martin IV, Simon de Brion, Meinpicien, Touraine, France, 1210, , 22 Feb 1281, 23 Mar 1281, 28 Mar 1285, 4, , , 
190, Honorius IV, Giacomo Savelli, Rome, Papal States, Holy Roman Empire, , 1210, , 2 Apr 1285, 20 May 1285, 3 Apr 1287, 2, , , 
191, Nicholas IV, Girolamo Masci, Lisciano, Papal States, Holy Roman Empire, , 30 Sep 1227, , 22 Feb 1288, 25 Feb 1288, 4 Apr 1292, 4.1, Franciscans - Order of Friars Minor, , 
192, Celestine V, Pietro da Morrone, Sant' Angelo Limosano, Kingdom of Sicily, , 1215, , 7 Jul 1294, 29 Aug 1294, 13 Dec 1294, 0.4, , , 
193, Boniface VIII, Benedetto Caetani, Anagni, Papal States, Holy Roman Empire, , 1230, , 24 Dec 1294, 23 Jan 1295, 11 Oct 1303, 8.7, , , 
194, Benedict XI, Niccolo Boccasini, Treviso, Italy, Holy Roman Empire, , 1240, , 22 Oct 1303, 27 Oct 1303, 7 Jul 1304, 0.7, Dominicans, , 
195, Clement V, Bertrand de Got, Villandraut, Gascony, France, 1264, , 5 Jun 1305, 14 Nov 1305, 20 Apr 1314, 8.8, , , 
196, John XXII, Jacques d'Euse; Jacques Duese, Cahors, Quercy, France, 1244, , 7 Aug 1316, 5 Sep 1316, 4 Dec 1334, 18.3, , , 
197, Benedict XII, Jacques Fournier, Saverdun, County of Foix, France, 1280, , 20 Dec 1334, 8 Jan 1335, 25 Apr 1342, 7.3, Cistercians, , 
198, Clement VI, Pierre Roger, Maumont, Limousin, France, 1290, , 7 May 1342, 19 May 1342, 6 Dec 1352, 10.5, , , 
199, Innocent VI, Etienne Aubert, Les Monts, Limousin, France, 1282, , 18 Dec 1352, 30 Dec 1352, 12 Sep 1362, 9.7, , , 
200, Urban V, , , , 1310, , 28 Sep 1362, 6 Nov 1362, 19 Dec 1370, 8.2, , , 
201, Gregory XI, , , , 1329, , 30 Dec 1370, 3 Jan 1371, 27 Mar 1378, 7.2, , , 
202, Urban VI, Bartolomeo Prignano, Naples, Kingdom of Naples, Italy, 1318, , 8 Apr 1378, 18 Apr 1378, 15 Oct 1389, 11.5, , , 
203, Boniface IX, Pietro Tomacelli, Naples, Kingdom of Naples, Italy, 1350, , 2 Nov 1389, 9 Nov 1389, 1 Oct 1404, 14.9, , , 
204, Innocent VII, Cosimo Gentile Migliorati, Sulmona, Kingdom of Naples, Italy, 1336, 10 Oct 1404, 17 Oct 1404, 11 Nov 1404, 6 Nov 1406, 2, , , 
205, Gregory XII, Angelo Correr, Venice, Republic of Venice, Italy, 1327, 18 Nov 1406, 30 Nov 1406, 19 Dec 1406, 4 Jul 1415, 8.5, , , 
206, Martin V, Oddone Colonna, Genazzano, Papal States, Italy, 1368, 8 Nov 1417, 11 Nov 1417, 21 Nov 1417, 20 Feb 1431, 13.2, Franciscans - Secular Franciscan Order, , 
207, Eugene IV, Gabriele Condulmer, Venice, Republic of Venice, Italy, 1383, 2 Mar 1431, 3 Mar 1431, 11 Mar 1431, 23 Feb 1447, 15.9, Augustinians - Order of Saint Augustine, , 
208, Nicholas V, Tommaso Parentucelli, Sarzana, Republic of Genoa, Italy, 15/11/1397, 04/03/1447, 06/03/1447, 19/03/1447, 24/03/1455, 8, Dominicans, , 
209, Callistus III, Alfonso de Borgia, Xativa, Kingdom of Valencia, Crown of Aragon, Spain, 31/12/1378, 04/04/1455, 08/04/1455, 20/04/1455, 06/08/1458, 3.3, , , 
210, Pius II, Enea Silvio Piccolomini, Corsignano, Republic of Siena, Italy, 18/10/1405, 16/08/1458, 19/08/1458, 03/09/1458, 14/08/1464, 5.9, , , 
211, Paul II, Pietro Barbo, Venice, Republic of Venice, Italy, 23/02/1417, 27/08/1464, 30/08/1464, 16/09/1464, 26/07/1471, 6.9, , , 
212, Sixtus IV, Francesco della Rovere, Celle Ligure, Republic of Genoa, Italy, 21/07/1414, 06/08/1471, 09/08/1471, 25/08/1471, 12/08/1484, 13, Franciscans - Order of Friars Minor, , 
213, Innocent VIII, Giovanni Battista Cybo, Genoa, Republic of Genoa, Italy, 1432, 26 Aug 1484, 29 Aug 1484, 12 Sep 1484, 25 Jul 1492, 7.9, , , 
214, Alexander VI, Rodrigo de Lanzol-Borgia, Xativa, Kingdom of Valencia, Crown of Aragon, Spain, 1431, 6 Aug 1492, 11 Aug 1492, 26 Aug 1492, 18 Aug 1503, 11, , , 
215, Pius III, Francesco Todeschini Piccolomini, Siena, Republic of Siena, Italy, 29/05/1439, 16/09/1503, 22/09/1503, 08/10/1503, 18/10/1503, 0, , , 
216, Julius II, Giuliano della Rovere, Albisola, Republic of Genoa, Italy, 05/12/1443, 31/10/1503, 01/11/1503, 26/11/1503, 21/02/1513, 9.3, Franciscans - Order of Friars Minor, , 
217, Leo X, Giovanni di Lorenzo de' Medici, Florence, Republic of Florence, Italy, 11/12/1475, 04/03/1513, 09/03/1513, 19/03/1513, 01/12/1521, 8.7, , , 
218, Hadrian VI, Adriaan Floriszoon Boeyens, Utrecht, Bishopric of Utrecht, Holy Roman Empire, Netherlands, 02/03/1459, 27/12/1521, 09/01/1522, 31/08/1522, 14/09/1523, 1.6, , , 
219, Clement VII, Giulio di Giuliano de' Medici, Florence, Republic of Florence, Italy, 26/05/1478, 01/10/1523, 19/11/1523, 26/11/1523, 25/09/1534, 10.8, , , 
