Attard, Malta, Central, West, 6.6, 11377, 11630, 11774, 12268, MT-01, 
Marsa, Malta, South East, South Harbour, 2.8, 5454, 5823, 5733, 5468, MT-26, 
Marsaskala, Malta, South East, South East, 5.4, 14592, 15504, 15579, 16804, MT-27, 
Marsaxlokk, Malta, South East, South East, 4.7, 3660, 3766, 3774, 3988, MT-28, 
Mdina, Malta, North, West, 0.9, 243, 249, 244, 193, MT-29, 
Mellieħa, Malta, North, North, 22.6, 11389, 11823, 11693, 12738, MT-30, 
Mġarr, Malta, North, North, 16.1, 3802, 3928, 3985, 4840, MT-31, 
Mosta, Malta, North, North, 6.8, 20988, 21426, 21495, 23482, MT-32, 
Mqabba, Malta, South, South East, 2.6, 3339, 3382, 3373, 3525, MT-33, 
Msida, Malta, Central, North Harbour, 1.7, 13713, 15364, 15566, 13587, MT-34, 
Mtarfa, Malta, North, West, 0.7, 2615, 2618, 2612, 2566, MT-35, 
Munxar, Gozo, Gozo, Gozo & Comino, 2.8, 1221, 1305, 1344, 1707, MT-36, 
Nadur, Gozo, Gozo, Gozo & Comino, 7.2, 4156, 4221, 4232, 4548, MT-37, 
Naxxar, Malta, North, North, 11.6, 14891, 15244, 15388, 16912, MT-38, 
Paola, Malta, South East, South Harbour, 2.5, 8706, 9073, 9094, 9339, MT-39, 
Pembroke, Malta, North, North Harbour, 2.3, 3842, 3934, 3910, 3545, MT-40, 
Pietà, Malta, Central, North Harbour, 0.5, 4892, 5255, 5311, 5892, MT-41, 
Qala, Gozo, Gozo, Gozo & Comino, 5.9, 1929, 1976, 1962, 2300, MT-42, 
Qormi, Malta, South, North Harbour, 5, 16801, 17287, 17240, 18099, MT-43, 
Qrendi, Malta, South, South East, 4.9, 2800, 2850, 2861, 3148, MT-44, 
Victoria (Rabat), Gozo, Gozo, Gozo & Comino, 2.9, 6436, 6634, 6624, 7242, MT-45, 
Rabat, Malta, North, West, 26.6, 11470, 11553, 11501, 11936, MT-46, 
Safi, Malta, South, South East, 2.3, 2280, 2375, 2403, 2641, MT-47, 
St. Julian's, Malta, Central, North Harbour, 1.6, 13792, 14939, 15104, 11653, MT-48, 
San Ġwann, Malta, Central, North Harbour, 2.6, 14720, 15107, 15111, 14244, MT-49, 
San Lawrenz, Gozo, Gozo, Gozo & Comino, 3.6, 713, 720, 728, 772, MT-50, 
St. Paul's Bay, Malta, North, North, 14.47, 29097, 32204, 31789, 32042, MT-51, 
Sannat, Gozo, Gozo, Gozo & Comino, 3.8, 1899, 1904, 1913, 2186, MT-52, 
Santa Luċija, Malta, South, South Harbour, 0.7, 2954, 2958, 2958, 2617, MT-53, 
Santa Venera, Malta, Central, North Harbour, 0.9, 7590, 7909, 7983, 8834, MT-54, 
Siġġiewi, Malta, South, West, 19.9, 8721, 8843, 8861, 9318, MT-55, 
Sliema, Malta, Central, North Harbour, 1.3, 22591, 24358, 24412, 19655, MT-56, 
Swieqi, Malta, North, North Harbour, 3.1, 14452, 15565, 15847, 13044, MT-57, 
Ta' Xbiex, Malta, Central, North Harbour, 0.8, 2012, 2148, 2189, 2092, MT-58, 
Tarxien, Malta, South East, South Harbour, 0.9, 8627, 8863, 8915, 9464, MT-59, 
Valletta, Malta, South East, South Harbour, 0.8, 5827, 5891, 5859, 5157, MT-60, 
Xagħra, Gozo, Gozo, Gozo & Comino, 7.6, 4129, 4301, 4313, 5161, MT-61, 
Xewkija, Gozo, Gozo, Gozo & Comino, 4.5, 3241, 3279, 3260, 3555, MT-62, 
Xgħajra, Malta, South East, South Harbour, 1, 1830, 1924, 1946, 2192, MT-63, 
Żabbar, Malta, South East, South Harbour, 5.3, 15431, 15660, 15648, 17148, MT-64, 
Żebbuġ, Gozo, Gozo, Gozo & Comino, 7.6, 12239, 12542, 12609, 3303, MT-65, 
Żebbuġ, Malta, South, West, 8.7, 2293, 2581, 2657, 13785, MT-66, 
Żejtun, Malta, South East, South East, 7.4, 11386, 11533, 11516, 12409, MT-67, 
Żurrieq, Malta, South, South East, 10.5, 10962, 11140, 11209, 12295, MT-68, 
