storeId,country,store number,address,zip code,phone,lat,lon
G04M,Bulgaria,118,"ул.Проф. д-р Иван Странски 20,София,София - град",1700,+359883764118,42.641824,23.336693
G04N,Bulgaria,119,"бул. Черни връх 100,София,София - град",1407,+35924225491,42.657918,23.315949
G00C,Bulgaria,12,"бул. Цар Освободител 22,София,София - град",1000,+35924896992,42.693113,23.334296
G050,Bulgaria,120,"ул. Захари Зограф 159,Перник,Перник",2300,+359883764120,42.602154,23.050292
G051,Bulgaria,121,"ул.Княз Борис I 104 Б,Поморие,Бургас",8200,+359883764121,42.5666288,27.622027
G052,Bulgaria,122,"ул. Иван Вазов 30,Дупница,Кюстендил",2600,+359883764122,42.26731,23.113311
G053,Bulgaria,123,"М.Увата 214.4,Хасково,Хасково",6300,+359883764123,41.97048,25.5598
G054,Bulgaria,124,"ул. Боян Дановски 13,София,София - град",1797,+359883764124,42.664645,23.362079
G055,Bulgaria,125,"ул. Генерал Заимов 32,Карлово,Пловдив",4300,+359883764125,42.63402,24.80113
G056,Bulgaria,126,"бул. Цар Борис III 272,София,София - град",1000,+359883764126,42.660244,23.245258
G057,Bulgaria,127,"бул.Витоша 25,Елин Пелин,София област",2100,+359883764127,42.656841,23.590731
G058,Bulgaria,128,"Ул. Васил Левски 20,Асеновград,Пловдив",4230,+359883764128,42.0137,24.8696
G059,Bulgaria,129,"ул. Чатал тепе 2,Несебър,Бургас",8230,+359883764129,42.652932,27.671625
G00D,Bulgaria,13,"жк. Сторгозия, ул. Цар Самуил 81A,Плевен,Плевен",5800,+35964910992,43.424017,24.5965
G05A,Bulgaria,130,"ж.к. Света Троица бл. 318Б вх. А,София,София - град",1309,+359883764130,42.7062844,23.2942627
G05B,Bulgaria,131,"ул. Македония 30,Сандански,Благоевград",2800,+359883764131,41.5635449,23.2795459
G05C,Bulgaria,132,"ж.к. Изгрев бл. 207,Бургас,Бургас",8008,+359883764132,42.527283,27.453636
G05D,Bulgaria,133,"бул. Цар Освободител 33,Ботевград,София област",2140,+359883764133,42.91086,23.803285
G05E,Bulgaria,134,"Кв. Братя Миладинови Бл. 118,Бургас,Бургас",8000,+359883764134,42.50462,27.47301
G05F,Bulgaria,135,"кв. Лъджене, бул. Хан Аспарух 2,Велинград,Пазарджик",4600,+359883764135,42.031401,24.004267
G05G,Bulgaria,136,"бул. 25-ти Септември 70,Добрич,Добрич",9300,+359883764136,43.579667,27.831616
G05H,Bulgaria,137,"бул. Панония 43,Видин,Видин",3702,+359883764137,44.0008739,22.8686737
G05I,Bulgaria,138,"ул. Aлександър Стамболийски 30,Ямбол,Ямбол",8600,+359883764138,42.4851623,26.5097984
G05J,Bulgaria,139,"ул. Арсений Костенцев 7,Благоевград,Благоевград",2700,+359883764139,42.021501,23.0993792
G00E,Bulgaria,14,"бул. Ситняково  48,София,София - град",1505,+35924890782,42.691308,23.353779
G05K,Bulgaria,140,"бул. Арсеналски 2,София,София - град",1421,+359883764140,42.6788667,23.3207827
G05L,Bulgaria,141,"ул. Кукленско шосе 8Б,Пловдив,Пловдив",4004,+359883764141,42.1225,24.75722
G05M,Bulgaria,142,"ул.Станционна 13,Габрово,Габрово",5300,+359883764142,42.883595,25.316577
G05N,Bulgaria,143,"бул. Никола Мушанов 149А,София,София - град",1330,+359883764146,42.688452,23.278245
G060,Bulgaria,144,"бул. Никола Петков 48,Стара Загора,Стара Загора",6000,+359883764144,42.42702,25.65987
G061,Bulgaria,145,"бул. Цариградско шосе 115,София,София - град",1784,+359883764145,42.6611437,23.382546
G063,Bulgaria,147,"ул.Гюешевско шосе 5А,Кюстендил,Кюстендил",2500,+359883764147,42.274023,22.668753
G00F,Bulgaria,15,"ул. Велики Преслав 28,Шумен,Шумен",9700,+35954910992,43.267331,26.93603
G00G,Bulgaria,16,"бул. Андрей Сахаров 2,Варна,Варна",9000,+35952910816,43.217718,27.897978
G00J,Bulgaria,19,"пл. Общински 3,Хасково,Хасково",6300,+35938510892,41.931449,25.556914
G002,Bulgaria,2,"бул. Менделеев 2Б,Пловдив,Пловдив",4000,+35932510992,42.1300128,24.7695638
G00K,Bulgaria,20,"ул. Капитан Райчо 52,Пловдив,Пловдив",4000,+35932512311,42.141824,24.754515
G010,Bulgaria,24,"ул. Магистрална 17,Велико Търново,Велико Търново",5000,+35962510892,43.07302,25.61566
G011,Bulgaria,25,"ж.к.Младост 4, Бизнес парк, сгр. 11,София,София - град",1766,+35924218992,42.626752,23.375645
G014,Bulgaria,28,"ул. Тодорини кукли 4,София,София - град",1505,+35924218996,42.702062,23.354596
G015,Bulgaria,29,"ул. Булаир 2А,Кърджали,Кърджали",6600,+35936154392,41.638755,25.369921
G016,Bulgaria,30,"бул. Възкресение 132А,София,София - град",1330,+35924012992,42.696071,23.286574
G017,Bulgaria,31,"площад Петко Славейков 2А,София,София - град",1000,+35924218988,42.692222,23.323781
G018,Bulgaria,32,"ул. Коста Лулчев 52,София,София - град",1574,+35924218507,42.67958,23.367877
G019,Bulgaria,33,"бул. Ботеврадско шосе 525,София,София - град",1839,+35924218521,42.709435,23.458434
G01B,Bulgaria,35,"ул. Градски пазар 1,Пазарджик,Пазарджик",4400,+35934910397,42.191923,24.335355
G01D,Bulgaria,37,"пл. България 1,София,София - град",1414,+35924217307,42.68507,23.319018
G01E,Bulgaria,38,"бул. Цветан Лазаров с/у бл. 206,София,София - град",1582,+35924218828,42.655215,23.399165
G01F,Bulgaria,39,"ул. Пиротска 5,София,София - град",1301,+35924225345,42.699248,23.321368
G004,Bulgaria,4,"ул.Транспортна 31,Бургас,Бургас",8008,+359882466404,42.530362,27.457988
G01G,Bulgaria,40,"ул. Цар Освободител 1Б,Сливен,Сливен",8800,+359882466440,42.681071,26.314418
G01H,Bulgaria,41,"ул. Васил Левски 4,Пловдив,Пловдив",4000,+35932512492,42.15685,24.743829
G01L,Bulgaria,45,"бул. Липник 121Д,Русе,Русе",7000,+35982511602,43.853222,25.990241
G01M,Bulgaria,46,"ул. Николай Хайтов 2,София,София - град",1113,+35924225422,42.671073,23.352031
G01N,Bulgaria,47,"пл. Иван Миндиликов 1,Плевен,Плевен",5800,+35964910590,43.419949,24.614088
G021,Bulgaria,49,"ул. Йордан Йосифов 6,София,София - град",1700,+35924225426,42.653832,23.345553
G005,Bulgaria,5,"ул. Гено Чолаков 1,Силистра,Силистра",7500,+35986510992,44.120744,27.260642
G022,Bulgaria,50,"бул. Сливница 24,Варна,Варна",9000,+359882466450,43.206939,27.918169
G023,Bulgaria,51,"бул. Царица Йоанна 15,София,София - град",1336,+35924225325,42.710672,23.271004
G024,Bulgaria,52,"М. Рудник, Районен център сгр. 421,Бургас,Бургас",8009,+359882466452,42.458199,27.414536
G027,Bulgaria,55,"Христо Ботев 1,Велико Търново,Велико Търново",5000,+35962526102,43.08292,25.633175
G02A,Bulgaria,58,"ул. Райко Даскалов 8,Пловдив,Пловдив",4000,+35932307890,42.148979,24.748029
G02B,Bulgaria,59,"ул. Търговска 45,Ловеч,Ловеч",5500,+35968588573,43.13564,24.717005
G006,Bulgaria,6,"ул. Цар Симеон Велики 132,Стара Загора,Стара Загора",6000,+35942910992,42.425832,25.634816
G02E,Bulgaria,62,"бул. Джавахарлал Неру 28,София,София - град",1324,+35924242035,42.714804,23.254104
G02G,Bulgaria,64,"бул. Ломско шосе 34,София,София - град",1220,+35924475979,42.726392,23.302966
G02H,Bulgaria,65,"ул. Методи Андонов 4,София,София - град",1784,+35924475995,42.651918,23.373155
G02I,Bulgaria,66,"Васил Левски 16,Бургас,Бургас",8000,+35956706471,42.4987222,27.470333
G02J,Bulgaria,67,"Сан Стефано 22,София,София - град",1504,+35924244597,42.691976,23.338196
G007,Bulgaria,7,"бул. Мария Луиза 75,София,София - град",1202,+35924211992,42.703632,23.323374
G02M,Bulgaria,70,"Монтевидео 45,София,София - град",1618,+35924516177,42.686651,23.25511
G02N,Bulgaria,71,"бул. Княз Александър Дондуков 32,София,София - град",1000,+35924478792,42.698116,23.330821
G030,Bulgaria,72,"ул. ген. Никола Жеков 14,София,София - град",1231,+35924510150,42.733857,23.309442
G031,Bulgaria,73,"бул. България 17,Разград,Разград",7200,+35984587079,43.524754,26.523684
G033,Bulgaria,75,"ул. Студентска 1,Варна,Варна",9000,+35952813666,43.224357,27.930097
G034,Bulgaria,76,"Константин и Фружин 481,Варна,Варна",9023,+35952816199,43.2468878,27.8470297
G035,Bulgaria,77,"ул. Хубча 2,София,София - град",1618,+35924514761,42.677181,23.286495
G036,Bulgaria,78,"Околовръстен път 214,София,София - град",1434,+35924512975,42.6247641,23.3524717
G037,Bulgaria,79,"Перущица 8,Пловдив,Пловдив",4002,+359882466479,42.141632,24.719108
G038,Bulgaria,80,"бул. Александър Стамболийски 101,София,София - град",1303,+35924885794,42.698548,23.308559
G039,Bulgaria,81,"ул.Македония 95,Пловдив,Пловдив",4004,+359882466481,42.122722,24.741083
G03A,Bulgaria,82,"бул.България 115А,Пловдив,Пловдив",4003,+359882466482,42.157145,24.72833
G03B,Bulgaria,83,"ул. Александровска 73,Русе,Русе",7000,+359882466483,43.8508264,25.9529544
G03D,Bulgaria,85,"ул.Тодор Александров 30,Бургас,Бургас",8001,+359882466485,42.503357,27.460163
G03E,Bulgaria,86,"бул. Сливница 185,Варна,Варна",9009,+359882466486,43.227998,27.8749
G03F,Bulgaria,87,"ул. Славянска 34,Костинброд,София област",2230,+359882466487,42.808466,23.21335
G03G,Bulgaria,88,"бул. Цариградско шосе бл.10,София,София - град",1113,+359882466488,42.675103,23.358261
G03H,Bulgaria,89,"жк. Чайка бл.202 бл. 202,Варна,Варна",9010,+359882466489,43.214658,27.941244
G009,Bulgaria,9,"ул. Никола Войводов 9/2,Враца,Враца",3000,+359882466409,43.20541,23.553936
G03I,Bulgaria,90,"бул. Осми приморски полк 115,Варна,Варна",9010,+359882466490,43.214414,27.925609
G03J,Bulgaria,91,"ул.Тодор Каблешков 30,София,София - град",1618,+359882466491,42.659649,23.30087
G03K,Bulgaria,92,"бул.Братя Бъкстон 30,София,София - град",1618,+359882466492,42.669265,23.276474
G03L,Bulgaria,93,"бул. Цар Симеон Велики 37,Шумен,Шумен",9700,+359882466493,43.274627,26.942746
G03M,Bulgaria,94,"ул.Панаирски ливади 1,Гоце Делчев,Благоевград",2900,+359882466494,41.575548,23.74264
G03N,Bulgaria,95,"пл. Севтополис 1,Казанлък,Стара Загора",6100,+359882466495,42.618806,25.392819
G040,Bulgaria,96,"ул. Битоля 37,Ямбол,Ямбол",8600,+359882466496,42.475666,26.512375
G041,Bulgaria,97,"бул.Трети март 137Б,Монтана,Монтана",3400,+359882466497,43.418479,23.226785
G042,Bulgaria,98,"бул. Джеймс Баучер 103,София,София - град",1407,+359882466498,42.670028,23.314139
G043,Bulgaria,99,"бул. България 69,София,София - град",1404,+359882466499,42.664148,23.288553
U048,Hungry,104,"Kossuth utca 10-16.,Hajdúböszörmény,HAJDU-BIHAR",4220,+36304124098,47.6708754,21.5093366
U049,Hungry,105,"Fő utca 6-10.,Csongrád,CSONGRÁD",6640,+36304123968,46.71048,20.14869
U050,Hungry,120,"Péterfia utca 18.,Debrecen,HAJDU-BIHAR",4026,+36304012819,47.5348922,21.625441
U05A,Hungry,130,"Andrássy út 37-43.,Békéscsaba,BÉKÉS",5600,+36304008184,46.67691,21.09078
U05D,Hungry,133,"Bocskai út 1.,Püspökladány,HAJDU-BIHAR",4150,+36307817240,47.31731,21.11798
U05I,Hungry,138,"Bajcsy-Zsilinszky utca 23.,Mátészalka,SZABOLCS",4700,+36304010456,47.95483,22.32395
U05N,Hungry,143,"Kárász utca 8.,Szeged,CSONGRÁD",6720,+36304012717,46.25172,20.14721
U061,Hungry,145,"Bajcsy-Zsilinszky utca 2-4.,Miskolc,BORSOD",3530,+36303023078,48.1027787,20.7923522
U06N,Hungry,167,"Kossuth tér 2.,Mezőberény,BÉKÉS",5650,+36304124161,46.82395,21.0285
U07M,Hungry,190,"Pazonyi út 39/a.,Nyíregyháza,SZABOLCS",4400,+36308869711,47.96911,21.73934
U090,Hungry,216,"Kétegyházi út 6660/1 hrs,Gyula,BÉKÉS",5700,+36304123595,46.64027,21.26149
U095,Hungry,221,"Szentgyörgyfalvi u. 9.,Debrecen,HAJDU-BIHAR",4225,+36304125821,47.5977128,21.5787777
U09F,Hungry,231,"Vasvári tér 8.,Hajdúdorog,HAJDU-BIHAR",4087,+36304017807,47.81583,21.50028
U09L,Hungry,237,"Szabadkai út 7.,Szeged,CSONGRÁD",6725,+36304125816,46.2436819,20.119716
U09M,Hungry,238,"Mátyás király út 3.,Tiszaújváros,BORSOD",3580,+36304121883,47.9303066,21.0303967
U0A5,Hungry,245,"Nagy Imre tér 1.,Nyíregyháza,SZABOLCS",4400,+36304102946,47.9579157,21.7177754
U0AA,Hungry,250,"Kazinczy Ferenc út 156.,Sátoraljaújhely,BORSOD",3980,+36304015009,48.41353,21.6488
U0AD,Hungry,253,"Törvényház utca 4.,Eger,HEVES",3300,+36304107399,47.9007057,20.3680731
U0AE,Hungry,254,"Kishatár utca 9.,Debrecen,HAJDU-BIHAR",4031,+36303018012,47.54322,21.58129
U0AI,Hungry,258,"Fő tér 15,Újfehértó,SZABOLCS",4244,+36304024190,47.79863,21.68218
U0BD,Hungry,277,"Csapó utca 30.,Debrecen,HAJDU-BIHAR",4024,+36304102437,47.5326399,21.628941
U0C4,Hungry,292,"Kossuth utca 14.,Szentes,CSONGRÁD",6600,+36304024130,46.65173,20.26103
U0C6,Hungry,294,"Mátyás király út 29.,Szolnok,JÁSZ",5000,+36308869719,47.1802771,20.182412
U0C7,Hungry,295,"Gyár utca 40.,Szerencs,BORSOD",3900,+36304015077,48.15356,21.19246
U0CG,Hungry,304,"Londoni körút 3.,Szeged,CSONGRÁD",6724,+36308869691,46.2547691,20.1377251
U0D5,Hungry,317,"Kaszap utca 20.,Hódmezővásárhely,CSONGRÁD",6800,+36304007455,46.4099,20.32195
U0D8,Hungry,320,"Dobó tér 1.,Eger,HEVES",3300,+36304111491,47.90275,20.37604
U0DA,Hungry,322,"Széchenyi tér 21-23.,Makó,CSONGRÁD",6900,+36304109414,46.21471,20.4773
U0EA,Hungry,346,"Szarvasi út 68/2.,Békéscsaba,BÉKÉS",5600,+36304125062,46.6806683,21.071252
U0ED,Hungry,349,"Szegfű utca 75.,Nyíregyháza,SZABOLCS",4400,+36304020217,47.955263,21.732125
U0EL,Hungry,357,"Andrássy Gyula utca 32.,Miskolc,BORSOD",3530,+36304124139,48.1021476,20.7312838
U0F4,Hungry,364,"Kishegyesi út 1-11.,Debrecen,HAJDU-BIHAR",4031,+36303023765,47.5306476,21.6077487
U0F8,Hungry,368,"Szentpéteri kapu 103.,Miskolc,BORSOD",3526,+36304015159,48.1260498,20.7828295
U0FG,Hungry,376,"József Attila utca 87.,Miskolc,BORSOD",3527,+36304124951,48.1085373,20.8361739
U0FH,Hungry,377,"MÁTYÁS KIRÁLY ÚT 60-64.,Mezőkövesd,BORSOD",3400,+36304125514,47.8077253,20.5662867
U01E,Hungry,38,"Sas utca 1.,Eger,HEVES",3300,+36304023978,47.88991,20.38116
U0FL,Hungry,381,"Kabai útfél HRSZ.0228,Hajdúszoboszló,HAJDU-BIHAR",4200,+36303022528,47.4337163,21.3767736
U0H5,Hungry,413,"CIFRAKAPU U. 164.,Eger,HEVES",3300,+36304124376,47.9221603,20.370855
U0H6,Hungry,414,"HADAK ÚTJA 11.,Kazincbarcika,BORSOD",3700,+36303061915,48.259131,20.6208691
U0HD,Hungry,421,"Földvári út 349/110 hr,Martfű,JÁSZ",5435,+36304796722,47.01604,20.28973
U0I8,Hungry,440,"Kossuth Lajos utca 41.,Szarvas,BÉKÉS",5540,+36304111990,46.8609046,20.5588067
U0IE,Hungry,446,"Sánc  utca 10.,Orosháza,BÉKÉS",5900,+36304012365,46.5493,20.6501
U0IK,Hungry,452,"Rókusi krt. 42-64.,Szeged,CSONGRÁD",6724,+36304515790,46.2688,20.1393
U0J2,Hungry,458,"Sárli u. 1.,Ózd,BORSOD",3600,+36304111831,48.2200906,20.2787507
U0J3,Hungry,459,"Mésztelep utca 1/A.,Miskolc,BORSOD",3508,+36304124837,48.07327,20.77839
U0J8,Hungry,464,"Ady Endre út 15.,Szolnok,JÁSZ",5000,+36304026614,47.1777015,20.1933998
U02E,Hungry,62,"56-osok tere 6/a.,Debrecen,HAJDU-BIHAR",4032,+36304123852,47.54765,21.61126
U02L,Hungry,69,"Angyalföld tér 17.,Debrecen,HAJDU-BIHAR",4031,+36304124010,47.52289,21.60405
M00A,North Macedonia,10,"ул. Народен Фронт 23,Скопје,Скопски",1000,+38923201290,41.99348,21.4151384
M00C,North Macedonia,12,"ул. Народни Херои 12,Скопје,Скопски",1000,+38922749284,41.9772724,21.4436485
M00D,North Macedonia,13,"ул. Маршал Тито 1,Куманово,Североисточен",1300,+38931473309,42.13615,21.7186016
M00F,North Macedonia,15,"ул. Никола Тесла 18,Битола,Пелагониски",7000,+38947222968,41.0306952,21.3372984
M00H,North Macedonia,17,"Бул. Македонско-Косовска Бригада 67,Скопје,Скопски",1000,+38922630370,42.0247024,21.4287716
M00J,North Macedonia,19,"Бул. Гоце Делчев 42,Гостивар,Полошки",1230,+38942361130,41.7964975,20.9133952
M002,North Macedonia,2,"Кеј 13-ти ноември,Скопје,Скопски",1000,+38923213604,41.9949509,21.43373
M00L,North Macedonia,21,"ул. Беласица 2,Скопје,Скопски",1000,+38923144005,41.9977867,21.4512593
M00M,North Macedonia,22,"ул. Маршал Тито 1,Струга,Југозападен",6330,+38946440111,41.177018,20.672477
M00N,North Macedonia,23,"ул. Д.р Слободан Јовановски 2,Штип,Источен",2000,+38932440400,41.7438209,22.1870315
M010,North Macedonia,24,"Бул. Србија 31a,Скопје,Скопски",1000,+38922459550,41.9809,21.468
M011,North Macedonia,25,"ул. Перо Наков 108,Скопје,Скопски",1000,+38922580260,41.99615,21.47796
M012,North Macedonia,26,"ул. Илинденска 1Г,Битола,Скопски",7000,+38947277810,41.03886,21.34609
M013,North Macedonia,27,"ул. Јордан Мијалков 37,Скопје,Скопски",1000,+38923227019,41.9908,21.4293
M014,North Macedonia,28,"ул. Ѓорче Петров 22,Скопје,Скопски",1000,+38922045422,42.0077,21.365
M015,North Macedonia,29,"ул. Алексо Демниевски Бауман 53,Велес,Вардарски",1400,+38943239080,41.7235,21.768
M003,North Macedonia,3,"ул. Љубљанска 4,Скопје,Скопски",1000,+38923067250,42.0044227,21.3916976
M016,North Macedonia,30,"ул. 15-ти Корпус 1Б,Охрид,Југозападен",6000,+38946284584,41.1243,20.8125
M018,North Macedonia,32,"ул. Братство Единство 63,Струмица,Југоисточен",2400,+38934340045,41.4431,22.648
M004,North Macedonia,4,"Бул. Крсте Мисирков 61,Скопје,Скопски",1000,+38923118520,42.0009209,21.43974
M005,North Macedonia,5,"Бул. Кочо Рацин 1,Скопје,Скопски",1000,+38923118715,41.9931284,21.4421115
M006,North Macedonia,6,"Бул. Јане Сандански 71a,Скопје,Скопски",1000,+38922464724,41.9858836,21.4662524
M007,North Macedonia,7,"ул. Скопски Пат 8,Тетово,Полошки",1200,+38944349469,42.00417,20.9894924
M008,North Macedonia,8,"ул. Митрополит Теодосиј Гологанов 74,Скопје,Скопски",1000,+38923094996,41.99661,21.4063824
W00D,Poland,13,"ul. Lwowska 53,Tarnów,Małopolskie",33-100,+48146400990,50.0139412,21.000705
W00M,Poland,22,"os. Na Lotnisku 3,Kraków,Małopolskie",31-801,+48126660130,50.0866086,20.0187072
W012,Poland,26,"ul. T. Śliwiaka 38,Kraków,Małopolskie",30-797,+48126660580,50.0367619,20.0508147
W014,Poland,28,"ul. Tarnowska 133,Nowy Sącz,Małopolskie",33-300,+48183500670,49.6512789,20.6896557
W015,Poland,29,"al. Jana Pawła II 29,Tarnów,Małopolskie",33-100,+48146400980,50.0344547,21.0138969
W018,Poland,32,"Kardynała Stefana Wyszyńskiego 9,Ropczyce,Podkarpackie",39-100,+48172831900,50.0548425,21.6103677
W01G,Poland,40,"ul. T. Kościuszki 50,Limanowa,Małopolskie",34-600,+48183500690,49.7002359,20.4249279
W022,Poland,50,"ul. Starowiślna 8,Warszawa,Mazowieckie",03-193,+48225808730,52.3014435,20.9928171
W02A,Poland,58,"ul. Gen. W. Sikorskiego 53,Nowy Targ,Małopolskie",34-400,+48183500490,49.4765128,20.03631
W02F,Poland,63,"ul. Łopuszańska 22,Warszawa,Mazowieckie",02-220,+48225808280,52.1919329,20.9512019
W02G,Poland,64,"ul. Puławska 56A,Mysiadło (Warszawa),Mazowieckie",05-500,+48225808140,52.1029221,21.0201824
W030,Poland,72,"ul. Dojazdowa 7c,Nowy Sącz,Małopolskie",33-300,+48183500480,49.633226,20.6965762
W031,Poland,73,"ul. Głębocka 15,Warszawa,Mazowieckie",03-287,+48226604630,52.302529,21.0586647
W032,Poland,74,"ul. Prymasa Tysiąclecia 7c,Ciechanów,Mazowieckie",06-400,+48616007230,52.8918581,20.6178842
W036,Poland,78,"Zgrupowania AK Kampinos 15,Warszawa,Mazowieckie",01-943,+48226006610,52.2956952,20.9305091
W03E,Poland,86,"ul. Geodetów 2a,Wołomin,Mazowieckie",05-200,+48223335770,52.3579044,21.2571753
W03F,Poland,87,"ul. Czesława Liska 1,Skierniewice,Mazowieckie",96-100,+48464444130,51.9725366,20.1467484
R045,Romenia,101,"Bd. Tudor Vladimirescu FN,Iaşi,Iasi",700291,+40374772101,47.155134,27.605706
R046,Romenia,102,"Calea Unirii 22,Suceava,Suceava",720018,+40374772102,47.659369,26.271191
R047,Romenia,103,"Bazaltului 2,Braşov,Brasov",500053,+40374772103,45.657322,25.561289
R048,Romenia,104,"Şoseaua Ştefan cel Mare 1-3,Bucureşti,Bucuresti",011736,+40374772104,44.453762,26.098347
R049,Romenia,105,"Blvd.Alexandru Lapusneanu 116 C,Constanţa,Constanta",900419,+40374772105,44.203328,28.631656
R04B,Romenia,107,"Fabricii 7,Cluj-Napoca,Cluj",400620,+40374772107,46.782425,23.612815
R04D,Romenia,109,"Ziduri Moşi 23,Bucureşti,Bucuresti",021203,+40374772109,44.452408,26.129821
R04E,Romenia,110,"Barajului 15,Tulcea,Tulcea",820222,+40374772110,45.165905,28.785444
R04F,Romenia,111,"Blvd. Nicolae Balcescu 46,Câmpina,Prahova",105600,+40374772111,45.115612,25.745243
R04G,Romenia,112,"Şoseaua Sibiului FN,Mediaş,Sibiu",551118,+40374772112,46.144846,24.323172
R04I,Romenia,114,"Blvd.Decebal 79,Piatra-Neamţ,Neamt",610046,+40374772114,46.934705,26.348626
R04J,Romenia,115,"Aleea Griviţa 7,Botoşani,Botosani",710270,+40374772115,47.748404,26.666841
R04M,Romenia,118,"Calea Bucureşti 80,Craiova,Dolj",200465,+40374772118,44.311997,23.832799
R04N,Romenia,119,"Ferdinand 38,Ramnicu Valcea,Valcea",240159,+40374772119,45.109708,24.380606
R050,Romenia,120,"Sos.Bucureşti-Ploieşti km 20,Baloteşti,Ilfov",077015,+40374772120,44.604778,26.068731
R051,Romenia,121,"Bd.Timisoara 56,Bucuresti,Bucuresti",061333,+40374772121,44.426299,26.017982
R052,Romenia,122,"Blvd.Gheorghe Magheru 43,Bucureşti,Bucuresti",010326,+40374772122,44.446318,26.096542
R053,Romenia,123,"Crisan 2,Arad,Arad",310016,+40374772123,46.178882,21.319525
R055,Romenia,125,"Stefan Octavian Iosif 7,Oradea,Bihor",410230,+40374772125,47.059592,21.913308
R056,Romenia,126,"Ionita Sandu Sturza 2,Bacau,Bacau",600269,+40374772126,46.565623,26.911577
R057,Romenia,127,"Republicii 76,Blejoi,Prahova",107070,+40374772127,44.965448,25.973666
R058,Romenia,128,"Blvd.Gheorghe Sincai 1-1A,Bucureşti,Bucuresti",040311,+40374772128,44.415504,26.106533
R05A,Romenia,130,"Careiului 3-5,Satu Mare,Satu Mare",440180,+40374772130,47.78506,22.86931
R05B,Romenia,131,"Calea Văcăreşti 214,Bucureşti,Bucuresti",040054,+40374772131,44.413102,26.113983
R05C,Romenia,132,"B-dul 1 Decembrie 1918 242,Târgu Mureş,Mures",540470,+40374772132,46.52894,24.59519
R05D,Romenia,133,"Mihai Viteazu 3-5,Roman,Neamt",611118,+40374772133,46.93775,26.921146
R05E,Romenia,134,"Amurgului 34,Popeşti Leordeni,Ilfov",077160,+40374772134,44.373202,26.149795
R05F,Romenia,135,"Calea Borşului 2C,Oradea,Bihor",410605,+40374772135,47.074598,21.903619
R05G,Romenia,136,"Blvd. Dacia 169,Bucureşti,Bucuresti",020057,+40374772136,44.444071,26.11826
R05H,Romenia,137,"Bd. Regele Carol I 51,Târgovişte,Dambovita",130024,+40374772137,44.911188,25.463813
R05I,Romenia,138,"Calea Victoriei 155,Bucureşti,Bucuresti",010073,+40374772138,44.451529,26.08506
R05J,Romenia,139,"Calea Buziaşului 11,Timişoara,Timis",300714,+40374772139,45.732764,21.261562
R05L,Romenia,141,"Lector 1-3A,Sibiu,Sibiu",550245,+40374772141,45.796494,24.162725
R05M,Romenia,142,"Niciman 2,Iaşi,Iasi",700521,+40374772142,47.1726,27.559055
R060,Romenia,144,"Nicolae Balcescu 4,Sibiu,Sibiu",550159,+40374772144,45.79556,24.15031
R061,Romenia,145,"Lunca Oltului 31-35,Sfântu Gheorghe,Covasna",520027,+40374772145,45.869473,25.798813
R062,Romenia,146,"Bd. Carol I 48,Iaşi,Iasi",700503,+40374772146,47.179642,27.568574
