Mercury; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Venus; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Earth; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Mars; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Jupiter; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Saturn; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Uranus; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
Neptune; Planet; Sun; ; ; ; ; ; ; ; ; ; ; ; 
16 Cygni Bb; Planet; ; 2.38; ; 799.5; 1.66; ; radial vel.; 1996; 68.99; 1.04; 5750; ; 
11 Comae Berenices b; Planet; ; 19.4; ; 326.03; 1.29; ; radial vel.; 2007; 304.54; 2.7; 4742; ; 
11 Ursae Minoris b; Planet; ; 14.74; ; 516.21997; 1.53; ; radial vel.; 2009; 410.06; 2.78; 4213; ; 
14 Andromedae b; Planet; ; 4.8; ; 185.84; 0.83; ; radial vel.; 2008; 246.55; 2.2; 4813; Spe; 
14 Herculis b; Planet; ; 4.66; ; 1773.4; 2.93; ; radial vel.; 2002; 58.51; 0.9; 5338; ; 
14 Herculis c; Planet; ; 5.8+1.4 −1.0; ; 25,000+23,000 −9,000; 16.4+9.3 −4.3; ; radial vel.; 2005; 58.52±0.02; 0.9; 5,518±102; ; 
18 Delphini b; Planet; ; 10.3; ; 993.3; 2.6; ; radial vel.; 2008; 249.13; 2.3; 4979; Arion; 
23 Librae c; Planet; ; 0.82; ; 5000; 5.8; ; radial vel.; 2009; 85.46; 1.1; 5736; ; 
30 Arietis Bb; Planet; ; 13.82; ; 335.1; 0.99; ; radial vel.; 2009; 145.83; 1.93; 6331; ; 
41 Lyncis b; Planet; ; 2.7; ; 184.02; 0.81; ; radial vel.; 2007; 280.24; 2.1; 4753; Arkas; 
42 Draconis b; Planet; ; 3.88; ; 479.1; 1.19; ; radial vel.; 2008; 296.36; 0.98; 4200; Orbitar; 
47 Ursae Majoris c; Planet; ; 0.54; ; 2391; 3.6; ; radial vel.; 2001; 45.01; 1.03; 5892; Taphao; 
47 Ursae Majoris d; Planet; ; 1.64; ; 14002; 11.6; ; radial vel.; 2009; 45.01; 1.03; 5892; ; 
54 Piscium b; Planet; ; 0.228; ; 62.25; 0.295; ; radial vel.; 2003; 36.34; 0.8; 5221; ; 
55 Cancri c; Planet; ; 0.1714; ; 44.4175; 0.241376; ; radial vel.; 2004; 41.06; 0.91; 5196; Brahe; 
55 Cancri d; Planet; ; 3.878; ; 4825; 5.503; ; radial vel.; 2002; 41.06; 0.91; 5196; Lipperhey; 
55 Cancri e; Planet; ; 0.02542; 0.17; 0.736539; 0.01544; 1958; radial vel.; 2004; 41.06; 0.91; 5196; Janssen; 
55 Cancri f; Planet; ; 0.141; ; 262; 0.788; ; radial vel.; 2007; 41.06; 0.91; 5196; Harriot; 
61 Virginis b; Planet; ; 0.016; ; 4.215; 0.050201; ; radial vel.; 2009; 27.76; 0.94; 5577; ; 
61 Virginis c; Planet; ; 0.057; ; 38.021; 0.2175; ; radial vel.; 2009; 27.76; 0.94; 5577; ; 
61 Virginis d; Planet; ; 0.072; ; 123.01; 0.476; ; radial vel.; 2009; 27.76; 0.94; 5577; ; 
79 Ceti b; Planet; ; 0.26; ; 75.523; 0.36; ; radial vel.; 2000; 123.39; 1.11; 5757; ; 
81 Ceti b; Planet; ; 5.3; ; 952.7; 2.5; ; radial vel.; 2008; 331.16; 2.4; 4785; ; 
83 Leonis Bb; Planet; ; 0.07; ; 17.0431; 0.12; ; radial vel.; 2004; 59.4; 0.48; 4815; ; 
91 Aquarii b; Planet; ; 3.2; ; 181.4; 0.7; ; radial vel.; 2003; 148.5; 1.4; 4665; ; 
94 Ceti b; Planet; ; 1.37; ; 466.2; 1.305; ; radial vel.; 2003; 73.52; 1.36; 6188; ; 
AB Pictoris b; Planet; ; 13.5; ; ; 260; ; imaging; 2005; 163.47; 0.9; 5378; ; 
BD-08 2823 b; Planet; ; 0.04; ; 5.6; 0.06; ; radial vel.; 2009; 134.97; 0.5; 4816; ; 
BD-08 2823 c; Planet; ; 0.33; ; 237.6; 0.68; ; radial vel.; 2009; 134.97; 0.5; 4816; ; 
BD-10 3166 b; Planet; ; 0.59; ; 3.48777; 0.04; ; radial vel.; 2000; 275.97; 1.47; 5393; ; 
BD-17 63 b; Planet; ; 5.1; ; 655.6; 1.34; ; radial vel.; 2008; 112.49; 0.74; 4714; Finlay; 
BD+14 4559 b; Planet; ; 1.04; ; 268.94; 0.78; ; radial vel.; 2009; 161.19; 0.49; 4864; Pirx; 
BD+20 2457 b; Planet; ; 55.59; ; 379.63; 1.05; ; radial vel.; 2009; 5450; 10.83; 4259; ; 
BD+20 2457 c; Planet; ; 12.47; ; 621.99; 2.01; ; radial vel.; 2009; 5450; 10.83; 4259; ; 
Beta Pictoris b; Planet; ; 11; 1.65; 7665; 9.1; 1612; imaging; 2008; 64.42; 1.76; 7099; ; 
Chi Virginis b; Planet; ; 11.09; ; 835.477; 2.14; ; radial vel.; 2009; 329.36; 2.17; 4445; ; 
CHXR 73 b; Planet; ; 12.569; ; ; 210; ; imaging; 2006; 623.14; 0.35; ; ; 
CoRoT-1b; Planet; ; 1.03; 1.49; 1.5089557; 0.02752; 1898; transit; 2008; 2627; 0.95; 5950; ; 
CoRoT-2b; Planet; ; 3.47; 1.466; 1.7429935; 0.02798; 1521; transit; 2008; 652.33; 0.96; 5625; ; 
CoRoT-3b; Planet; ; 21.66; 1.01; 4.2568; 0.05783; 1695; transit; 2008; 2218; 1.37; 6740; ; 
CoRoT-4b; Planet; ; 0.72; 1.19; 9.20205; 0.09; 1074; transit; 2008; 2419; 1.16; 6190; ; 
CoRoT-5b; Planet; ; 0.467; 1.388; 4.0378962; 0.04947; 1438; transit; 2009; 2951; 1; 6100; ; 
CoRoT-6b; Planet; ; 2.96; 1.166; 8.886593; 0.0855; 1017; transit; 2009; 2144; 1.05; 6090; ; 
CoRoT-7b; Planet; ; 0.01; 0.15; 0.85359163; 0.017016; 1756; transit; 2009; 523.95; 0.82; 5275; ; 
CoRoT-7c; Planet; ; 0.02643; ; 3.698; 0.046; ; radial vel.; 2009; 523.95; 0.82; 5275; ; 
CoRoT-9b; Planet; ; 0.84; 1.066; 95.272656; 0.4021; 420; transit; 2009; 1363; 0.96; 5625; ; 
CT Chamaeleontis b; Planet; ; 17; 2.2; ; 440; 2600; imaging; 2007; 538.18; ; 4200; ; 
DH Tauri b; Planet; ; 11; 2.7; ; 330; 2200; imaging; 2004; 456.63; 0.33; 3751; ; 
DP Leonis b; Planet; ; 6.28; ; 10220; 8.19; ; timing; 2009; 995.01; 0.69; 13500; ; 
Epsilon Eridani b; Planet; ; 1.55; ; 2502; 3.39; ; radial vel.; 2000; 10.47; 0.83; 5136; Ægir; 
Epsilon Reticuli b; Planet; ; 1.56; ; 428.1; 1.271; ; radial vel.; 2000; 59.62; 1.23; 4846; ; 
Epsilon Tauri b; Planet; ; 7.6; ; 594.9; 1.93; ; radial vel.; 2006; 160.57; 2.7; 4901; Amateru; 
Eta2 Hydri b; Planet; ; 6.54; ; 711; 1.93; ; radial vel.; 2005; 221.96; 1.91; 4970; ; 
FU Tauri b; Planet; ; 16; ; ; 800; 2375; imaging; 2008; 456.63; 0.05; 2838; ; 
Gamma Leonis b; Planet; ; 8.78; ; 428.5; 1.19; ; radial vel.; 2009; 125.64; 1.23; 4330; ; 
Gliese 176 b; Planet; ; 0.026; ; 8.7836; 0.066; 450; radial vel.; 2008; 30.89; 0.45; 3679; ; 
Gliese 179 b; Planet; ; 0.82; ; 2288; 2.41; ; radial vel.; 2009; 40.31; 0.36; 3370; ; 
Gliese 317 b; Planet; ; 2.5; ; 692; 1.15; ; radial vel.; 2007; 49.25; 0.42; 3510; ; 
Gliese 436 b; Planet; ; 0.07; 0.372; 2.64388312; 0.0291; 686; radial vel.; 2004; 31.83; 0.47; 3479; ; 
Gliese 581 b; Planet; ; 0.0497; ; 5.3686; 0.04061; ; radial vel.; 2005; 20.55; 0.31; 3660; ; 
Gliese 581 c; Planet; ; 0.0173; ; 12.914; 0.0721; ; radial vel.; 2007; 20.55; 0.31; 3660; ; 
Gliese 581 e; Planet; ; 0.0053; ; 3.149; 0.02815; ; radial vel.; 2009; 20.55; 0.31; 3660; ; 
Gliese 649 b; Planet; ; 0.328; ; 598.3; 1.135; ; radial vel.; 2009; 33.86; 0.54; 3700; ; 
Gliese 667 Cb; Planet; ; 0.018; ; 7.2004; 0.0505; ; radial vel.; 2009; 22.18; 0.33; 3350; ; 
Gliese 674 b; Planet; ; 0.035; ; 4.6938; 0.039; ; radial vel.; 2007; 14.84; 0.35; 3600; ; 
Gliese 777 b; Planet; ; 1.54; ; 2915.03687; 3.97; ; radial vel.; 2003; 52.22; 0.99; 5552; ; 
Gliese 777 c; Planet; ; 0.06; ; 17.111; 0.1304; ; radial vel.; 2005; 52.22; 0.99; 5552; ; 
Gliese 832 b; Planet; ; 0.68; ; 3657; 3.56; ; radial vel.; 2008; 16.21; 0.45; 3472; ; 
Gliese 849 b; Planet; ; 1; ; 1882; 2.35; ; radial vel.; 2006; 28.7; 0.65; 3241; ; 
Gliese 876 c; Planet; ; 0.7142; ; 30.0881; 0.12959; ; radial vel.; 2000; 15.26; 0.32; 3129; ; 
Gliese 876 d; Planet; ; 0.021; ; 1.93778; 0.020807; ; radial vel.; 2005; 15.26; 0.32; 3129; ; 
Gliese 1214 b; Planet; ; 0.0197; 0.254; 1.58040456; 0.01411; 547; transit; 2009; 47.78; 0.15; 3026; ; 
Gliese 3021 b; Planet; ; 3.37; ; 133.71; 0.49; 350; radial vel.; 2000; 57.27; 0.9; 5540; ; 
GQ Lupi b; Planet; ; 20; 3; ; 100; 2650; imaging; 2004; 495.19; 0.7; 4092; ; 
HAT-P-1b; Planet; ; 0.525; 1.319; 4.46529976; 0.05561; 1322; transit; 2006; 520.92; 1.15; 5980; ; 
HAT-P-2b; Planet; ; 8.7; 0.951; 5.6335158; 0.06814; 1540; transit; 2007; 418.31; 1.33; 6380; Magor; 
HAT-P-3b; Planet; ; 0.65; 0.94; 2.8997; 0.03866; 1189; transit; 2007; 440.59; 1.06; 5185; Teberda; 
HAT-P-4b; Planet; ; 0.671; 1.274; 3.056536; 0.04438; 1686; transit; 2007; 1024; 0.56; 5860; ; 
HAT-P-5b; Planet; ; 0.98; 1.21; 2.78849; 0.04073; 1539; transit; 2007; 998.1; 1.04; 5960; Kráľomoc; 
HAT-P-6b; Planet; ; 1.32; 1.48; 3.85298; 0.05239; 1675; transit; 2007; 905.11; 1.79; 6570; Nachtwacht; 
HAT-P-7b; Planet; ; 1.84; 1.51; 2.20474; 0.03676; 2733; transit; 2008; 1124; 1.56; 6389; ; 
HAT-P-8b; Planet; ; 1.28; 1.4; 3.07634; 0.04496; 1700; transit; 2008; 694.21; 1.27; 6200; ; 
HAT-P-9b; Planet; ; 0.749; 1.393; 3.92281072; 0.05287; 1540; transit; 2008; 1566; 1.28; 6350; Alef; 
HAT-P-11b; Planet; ; 0.084; 0.389; 4.88780244; 0.05254; 838; transit; 2008; 123.32; 0.81; 4780; ; 
HAT-P-12b; Planet; ; 0.211; 0.959; 3.2130598; 0.0384; 963; transit; 2009; 464.79; 0.73; 4650; ; 
HAT-P-13b; Planet; ; 0.851; 1.272; 2.91625; 0.04383; 1740; transit; 2009; 698; 1.22; 5653; ; 
HAT-P-13c; Planet; ; 14.28; ; 446.27; 1.258; 340; radial vel.; 2009; 698; 1.22; 5653; ; 
HD 142 b; Planet; ; 1.25; ; 349.7; 1.02; ; radial vel.; 2001; 85.49; 1.23; 6245; ; 
HD 2039 b; Planet; ; 6.29; ; 1120; 2.2; ; radial vel.; 2002; 280.18; 1.23; 5945; ; 
HD 2638 b; Planet; ; 0.42; ; 3.4442; 0.04; ; radial vel.; 2005; 179.55; 0.77; 5186; ; 
HD 4113 b; Planet; ; 1.56; ; 526.62; 1.28; ; radial vel.; 2007; 136.73; 0.99; 5688; ; 
HD 4203 b; Planet; ; 2.23; ; 431.88; 1.17; ; radial vel.; 2001; 266.05; 1.25; 5596; ; 
HD 4208 b; Planet; ; 0.81; ; 832.97; 1.662; ; radial vel.; 2001; 111.65; 0.88; 5717; Xolotlan; 
HD 4308 b; Planet; ; 0.05; ; 15.56; 0.12; ; radial vel.; 2005; 71.85; 0.93; 5686; ; 
HD 4313 b; Planet; ; 1.927; ; 356.21; 1.157; ; radial vel.; 2009; 446.26; 1.63; 4943; ; 
HD 5319 b; Planet; ; 1.556; ; 637.1; 1.57; ; radial vel.; 2007; 397.37; 1.27; 4871; ; 
HD 6434 b; Planet; ; 0.49; ; 21.998; 0.14; ; radial vel.; 2003; 138.33; 1.1; 5769; Eyeke; 
HD 6718 b; Planet; ; 1.68; ; 2496; 3.55; ; radial vel.; 2009; 167.72; 1.08; 5801; ; 
HD 7924 b; Planet; ; 0.02; ; 5.39792; 0.06; 826; radial vel.; 2008; 55.45; 0.65; 5131; ; 
HD 8574 b; Planet; ; 2.03; ; 227; 0.76; ; radial vel.; 2002; 146.38; 1.34; 6064; Bélisama; 
HD 8673 b; Planet; ; 14.2; ; 1634; 3.02; ; radial vel.; 2009; 123.62; 1.35; 6472; ; 
HD 9446 b; Planet; ; 0.7; ; 30.052; 0.189; ; radial vel.; 2009; 164.45; 1; 5793; ; 
HD 9446 c; Planet; ; 1.82; ; 192.9; 0.654; ; radial vel.; 2009; 164.45; 1; 5793; ; 
HD 11506 b; Planet; ; 4.83; ; 1622.1; 2.9; ; radial vel.; 2007; 167.45; 1.24; 6030; ; 
HD 11964 b; Planet; ; 0.622; ; 1945; 3.16; ; radial vel.; 2005; 109.49; 1.12; 5349; ; 
HD 11964 c; Planet; ; 0.0788; ; 37.91; 0.229; ; radial vel.; 2008; 109.49; 1.12; 5349; ; 
HD 12661 b; Planet; ; 2.43; ; 262.70862; 0.84; ; radial vel.; 2000; 123.58; 1.2; 5645; ; 
HD 12661 c; Planet; ; 1.812; ; 1708; 2.8145; ; radial vel.; 2002; 123.58; 1.2; 5645; ; 
HD 13189 b; Planet; ; 10.95; ; 471.6; 1.25; ; radial vel.; 2005; 1646; 2.24; 4175; ; 
HD 13931 b; Planet; ; 2.2; ; 4218; 5.15; ; radial vel.; 2009; 154.8; 1.3; 5867; ; 
HD 16175 b; Planet; ; 5.1; ; 990; 2.12; ; radial vel.; 2009; 195.57; 1.63; 5981; Abol; 
HD 16417 b; Planet; ; 0.0696; ; 17.24; 0.14; ; radial vel.; 2008; 82.88; 1.2; 5841; ; 
HD 17092 b; Planet; ; 10.13; ; 359.9; 1.31; ; radial vel.; 2007; 749.83; 6.73; 4326; ; 
HD 17156 b; Planet; ; 3.51; 1.1; 21.21663; 0.16278; 883; radial vel.; 2007; 255.26; 1.41; 6040; Mulchatna; 
HD 20782 b; Planet; ; 1.4878; ; 597.0643; 1.3649; ; radial vel.; 2006; 117.49; 1.07; 5790; ; 
HD 20868 b; Planet; ; 1.25; ; 380.85001; 0.95; ; radial vel.; 2008; 155.88; 0.39; 4802; Baiduri; 
HD 23079 b; Planet; ; 2.61; ; 730.6; 1.6; ; radial vel.; 2001; 109.23; 1.12; 5974; Guarani; 
HD 23127 b; Planet; ; 1.527; ; 1211.17; 2.37; ; radial vel.; 2006; 306.96; 1.21; 5843; ; 
HD 23596 b; Planet; ; 9.03; ; 1561; 2.77; ; radial vel.; 2003; 169.87; 1.47; 6040; ; 
HD 24040 b; Planet; ; 3.86; ; 3668; 4.92; ; radial vel.; 2006; 152.25; 1.11; 5802; ; 
HD 27894 b; Planet; ; 0.665; ; 18.02; 0.125; ; radial vel.; 2005; 143.12; 0.8; 4894; ; 
HD 28185 b; Planet; ; 5.9; ; 379; 1.02; ; radial vel.; 2001; 128.61; 1.02; 5662; ; 
HD 30177 b; Planet; ; 8.622; ; 2527.83; 3.704; ; radial vel.; 2002; 181.61; 1.05; 5607; ; 
HD 30562 b; Planet; ; 1.22; ; 1157; 2.34; ; radial vel.; 2009; 85.39; 1.12; 5882; ; 
HD 32518 b; Planet; ; 3.04; ; 157.54; 0.59; ; radial vel.; 2009; 399.72; 1.13; 4580; Neri; 
HD 33283 b; Planet; ; 0.329; ; 18.1991; 0.1508; ; radial vel.; 2006; 293.88; 1.38; 5935; ; 
HD 33564 b; Planet; ; 9.1; ; 388; 1.1; ; radial vel.; 2005; 68.4; 1.25; 6250; ; 
HD 34445 b; Planet; ; 0.82; ; 1049; 2.07; ; radial vel.; 2009; 150.53; 1.14; 5879; ; 
HD 37124 b; Planet; ; 0.675; ; 154.378; 0.53364; ; radial vel.; 2002; 103.36; 0.85; 5492; ; 
HD 37124 c; Planet; ; 0.652; ; 885.5; 1.71; ; radial vel.; 2002; 103.36; 0.85; 5492; ; 
HD 37124 d; Planet; ; 0.696; ; 1862; 2.807; ; radial vel.; 2005; 103.36; 0.85; 5492; ; 
HD 37605 b; Planet; ; 2.69; ; 55.01292; 0.277; ; radial vel.; 2004; 152.81; 0.94; 5329; ; 
HD 38529 b; Planet; ; 0.797; ; 14.30944; 0.1294; ; radial vel.; 2000; 138.33; 1.41; 5541; ; 
HD 38529 c; Planet; ; 12.99; ; 2136.1; 3.64; ; radial vel.; 2000; 138.33; 1.41; 5541; ; 
HD 38801 b; Planet; ; 9.698; ; 685.25; 1.623; ; radial vel.; 2009; 299.03; 1.21; 5338; ; 
HD 40307 b; Planet; ; 0.0126; ; 4.3123; 0.0468; 910; radial vel.; 2008; 42.21; 0.77; 4956; ; 
HD 40307 c; Planet; ; 0.0208; ; 9.6184; 0.0799; 696; radial vel.; 2008; 42.21; 0.77; 4956; ; 
HD 40307 d; Planet; ; 0.0299; ; 20.432; 0.1321; 541; radial vel.; 2008; 42.21; 0.77; 4956; ; 
HD 40979 b; Planet; ; 4.67; ; 264.15; 0.85; ; radial vel.; 2002; 111.29; 1.45; 6165; ; 
HD 41004 Ab; Planet; ; 2.54; ; 963; ; ; radial vel.; 2004; 140.35; 0.7; 5010; ; 
HD 41004 Bb; Planet; ; 18.37; ; 1.3283; ; ; radial vel.; 2003; 140.35; 0.4; ; ; 
HD 43691 b; Planet; ; 2.55; ; 36.9987; 0.238; ; radial vel.; 2007; 279.88; 1.32; 6093; ; 
HD 45350 b; Planet; ; 1.79; ; 963.6; 1.92; ; radial vel.; 2004; 153.1; 1.02; 5616; Peitruss; 
HD 45364 b; Planet; ; 0.1872; ; 226.93; 0.6813; ; radial vel.; 2008; 112.17; 0.82; 5434; ; 
HD 45364 c; Planet; ; 0.6579; ; 342.85; 0.8972; ; radial vel.; 2008; 112.17; 0.82; 5434; ; 
HD 45652 b; Planet; ; 0.433; ; 44.073; 0.237; ; radial vel.; 2008; 113.8; 0.92; 5294; Viriato; 
HD 46375 b; Planet; ; 0.226; ; 3.023573; 0.0398; ; radial vel.; 2000; 96.48; 0.92; 5285; ; 
HD 47186 b; Planet; ; 0.07; ; 4.0845; 0.05; ; radial vel.; 2008; 122.31; 0.96; 5657; ; 
HD 47186 c; Planet; ; 0.35061; ; 1353.6; 2.395; ; radial vel.; 2008; 122.31; 0.96; 5657; ; 
HD 47536 b; Planet; ; 7.32; ; 712.13; 1.93; ; radial vel.; 2002; 401.02; 0.91; 4424; ; 
HD 48265 b; Planet; ; 1.525; ; 778.51; 1.814; ; radial vel.; 2008; 296.09; 1.31; 5733; Naqaỹa; 
HD 49674 b; Planet; ; 0.1; ; 4.94737; 0.06; ; radial vel.; 2002; 140.55; 1.03; 5602; Eburonia; 
HD 50499 b; Planet; ; 1.636; ; 2447.1; 3.833; ; radial vel.; 2005; 151.18; 1.25; 6102; ; 
HD 50554 b; Planet; ; 4.954; ; 1293; 2.353; ; radial vel.; 2002; 101.73; 1.04; 5987; ; 
HD 52265 b; Planet; ; 1.21; ; 119.27; 0.52; 405; radial vel.; 2000; 97.88; 1.2; 6136; Cayahuanca; 
HD 59686 b; Planet; ; 6.92+0.18 −0.24; ; 299.36+0.26 −0.31; 1.0860+0.0006 −0.0007; ; radial vel.; 2003; 292±2; 1.43±0.23; 4670±34; ; 
HD 60532 b; Planet; ; 1.06; ; 201.9; 0.77; ; radial vel.; 2008; 84.77; 1.5; 6245; ; 
HD 60532 c; Planet; ; 2.51; ; 600.1; 1.6; ; radial vel.; 2008; 84.77; 1.5; 6245; ; 
HD 63454 b; Planet; ; 0.25; 1.098; 2.81805; 0.04; ; radial vel.; 2005; 123.06; 0.42; 4812; Ibirapitá; 
HD 63765 b; Planet; ; 0.53; ; 358; 0.94; ; radial vel.; 2009; 106.23; 0.65; 5449; Yvaga; 
HD 65216 b; Planet; ; 1.295; ; 577.6; 1.301; ; radial vel.; 2003; 114.68; 0.87; 5612; ; 
HD 66428 b; Planet; ; 3.204; ; 2263.12; 3.467; ; radial vel.; 2005; 174.04; 1.08; 5773; ; 
HD 68988 b; Planet; ; 1.97; ; 6.27711; 0.07; ; radial vel.; 2001; 198.8; 1.28; 5932; Albmi; 
HD 69830 b; Planet; ; 0.0321; ; 8.667; 0.0785; ; radial vel.; 2006; 40.97; 0.86; 5385; ; 
HD 69830 c; Planet; ; 0.0371; ; 31.56; 0.186; ; radial vel.; 2006; 40.97; 0.86; 5385; ; 
HD 69830 d; Planet; ; 0.057; ; 197; 0.63; ; radial vel.; 2006; 40.97; 0.86; 5385; ; 
HD 70573 b; Planet; ; 6.1; ; 851.8; 1.76; ; radial vel.; 2007; 149.06; 1; 5737; ; 
HD 70642 b; Planet; ; 1.993; ; 2124.54; 3.318; ; radial vel.; 2003; 95.57; 1.08; 5732; ; 
HD 72659 b; Planet; ; 3.85; ; 3658; 4.75; ; radial vel.; 2002; 169.51; 1.43; 5932; ; 
HD 73267 b; Planet; ; 3.097; ; 1245.36; 2.187; ; radial vel.; 2008; 179.1; 0.9; 5387; ; 
HD 73526 b; Planet; ; 3.08; ; 188.3; 0.65; ; radial vel.; 2002; 318.05; 1.14; 5601; ; 
HD 73526 c; Planet; ; 2.25; ; 379.1; 1.03; ; radial vel.; 2005; 318.05; 1.14; 5601; ; 
HD 73534 b; Planet; ; 1.112; ; 1750; 2.99; ; radial vel.; 2008; 272.45; 1.16; 4917; Drukyul; 
