Municipality, Municipality Cyrillic, Province, Largest City, 
Letnitsa, Летница, Lovech, Letnitsa, 
Lovech, Ловеч, Lovech, Lovech, 
Lukovit, Луковит, Lovech, Lukovit, 
Teteven, Тетевен, Lovech, Teteven, 
Troyan, Троян, Lovech, Troyan, 
Ugarchin, Угърчин, Lovech, Ugarchin, 
Yablanitsa, Ябланица, Lovech, Yablanitsa, 
Berkovitsa, Берковица, Montana, Berkovitsa, 
Boychinovtsi, Бойчиновци, Montana, Boychinovtsi, 
Brusartsi, Брусарци, Montana, Brusartsi, 
Chiprovtsi, Чипровци, Montana, Chiprovtsi, 
Georgi Damyanovo, Георги Дамяново, Montana, Georgi Damyanovo, 
Lom, Лом, Montana, Lom, 
Medkovets, Медковец, Montana, Medkovets, 
Montana, Монтана, Montana, Montana, 
Valchedram, Вълчедръм, Montana, Valchedram, 
Varshets, Вършец, Montana, Varshets, 
Yakimovo, Якимово, Montana, Yakimovo, 
Batak, Батак, Pazardzhik, Batak, 
Belovo, Белово, Pazardzhik, Belovo, 
Bratsigovo, Брацигово, Pazardzhik, Bratsigovo, 
Lesichovo, Лесичово, Pazardzhik, Lesichovo, 
Panagyurishte, Панагюрище, Pazardzhik, Panagyurishte, 
Pazardzhik, Пазарджик, Pazardzhik, Pazardzhik, 
Peshtera, Пещера, Pazardzhik, Peshtera, 
Rakitovo, Ракитово, Pazardzhik, Rakitovo, 
Sarnitsa, Сърница, Pazardzhik, Sarnitsa, 
Septemvri, Септември, Pazardzhik, Septemvri, 
Strelcha, Стрелча, Pazardzhik, Strelcha, 
Velingrad, Велинград, Pazardzhik, Velingrad, 
Breznik, Брезник, Pernik, Breznik, 
Kovachevtsi, Ковачевци, Pernik, Kovachevtsi, 
Pernik, Перник, Pernik, Pernik, 
Radomir, Радомир, Pernik, Radomir, 
Tran, Трън, Pernik, Tran, 
Zemen, Земен, Pernik, Zemen, 
Belene, Белене, Pleven, Belene, 
Cherven Bryag, Червен бряг, Pleven, Cherven Bryag, 
Dolna Mitropoliya, Долна Митрополия, Pleven, Dolna Mitropoliya, 
Dolni Dabnik, Долни Дъбник, Pleven, Dolni Dabnik, 
Gulyantsi, Гулянци, Pleven, Gulyantsi, 
Iskar, Искър, Pleven, Iskar, 
Knezha, Кнежа, Pleven, Knezha, 
Levski, Левски, Pleven, Levski, 
Nikopol, Никопол, Pleven, Nikopol, 
Pleven, Плевен, Pleven, Pleven, 
Pordim, Пордим, Pleven, Pordim, 
Asenovgrad, Асеновград, Plovdiv, Asenovgrad, 
Brezovo, Брезово, Plovdiv, Brezovo, 
Hisarya, Хисаря, Plovdiv, Hisarya, 
Kaloyanovo, Калояново, Plovdiv, Kaloyanovo, 
Karlovo, Карлово, Plovdiv, Karlovo, 
Krichim, Кричим, Plovdiv, Krichim, 
Kuklen, Куклен, Plovdiv, Kuklen, 
Laki, Лъки, Plovdiv, Laki, 
Maritsa  (administrative city, Марица, Plovdiv, Plovdiv, 
Parvomay, Първомай, Plovdiv, Parvomay, 
Perushtitsa, Перущица, Plovdiv, Perushtitsa, 
Plovdiv, Пловдив, Plovdiv, Plovdiv, 
Rakovski, Раковски, Plovdiv, Rakovski, 
Rodopi  (administrative town, Родопи, Plovdiv, Plovdiv, 
Sadovo, Садово, Plovdiv, Sadovo, 
Saedinenie, Съединение, Plovdiv, Saedinenie, 
Sopot, Сопот, Plovdiv, Sopot, 
Stamboliyski, Стамболийски, Plovdiv, Stamboliyski, 
Isperih, Исперих, Razgrad, Isperih, 
Kubrat, Кубрат, Razgrad, Kubrat, 
Loznitsa, Лозница, Razgrad, Loznitsa, 
Razgrad, Разград, Razgrad, Razgrad, 
Samuil, Самуил, Razgrad, Samuil, 
Tsar Kaloyan, Цар Калоян, Razgrad, Tsar Kaloyan, 
Zavet, Завет, Razgrad, Zavet, 
Borovo, Борово, Ruse, Borovo, 
Byala, Бяла, Ruse, Byala, 
Dve Mogili, Две могили, Ruse, Dve Mogili, 
Ivanovo, Иваново, Ruse, Ivanovo, 
Ruse, Русе, Ruse, Ruse, 
Slivo Pole, Сливо поле, Ruse, Slivo Pole, 
Tsenovo, Ценово, Ruse, Tsenovo, 
Vetovo, Ветово, Ruse, Vetovo, 
Hitrino, Хитрино, Shumen, Hitrino, 
Kaolinovo, Каолиново, Shumen, Kaolinovo, 
Kaspichan, Каспичан, Shumen, Kaspichan, 
Nikola Kozlevo, Никола Козлево, Shumen, Nikola Kozlevo, 
Novi Pazar, Нови Пазар, Shumen, Novi Pazar, 
Shumen, Шумен, Shumen, Shumen, 
Smyadovo, Смядово, Shumen, Smyadovo, 
Varbitsa, Върбица, Shumen, Varbitsa, 
Veliki Preslav, Велики Преслав, Shumen, Veliki Preslav, 
Venets, Венец, Shumen, Venets, 
Alfatar, Алфатар, Silistra, Alfatar, 
Dulovo, Дулово, Silistra, Dulovo, 
Glavinitsa, Главиница, Silistra, Glavinitsa, 
Kaynardzha, Кайнарджа, Silistra, Kaynardzha, 
Silistra, Силистра, Silistra, Silistra, 
Sitovo, Ситово, Silistra, Sitovo, 
Tutrakan, Тутракан, Silistra, Tutrakan, 
Kotel, Котел, Sliven, Kotel, 
Nova Zagora, Нова Загора, Sliven, Nova Zagora, 
Sliven, Сливен, Sliven, Sliven, 
Tvarditsa, Твърдица, Sliven, Tvarditsa, 
Banite, Баните, Smolyan, Banite, 
Borino, Борино, Smolyan, Borino, 
Chepelare, Чепеларе, Smolyan, Chepelare, 
Devin, Девин, Smolyan, Devin, 
Dospat, Доспат, Smolyan, Dospat, 
Madan, Мадан, Smolyan, Madan, 
Nedelino, Неделино, Smolyan, Nedelino, 
Rudozem, Рудозем, Smolyan, Rudozem, 
Smolyan, Смолян, Smolyan, Smolyan, 
Zlatograd, Златоград, Smolyan, Zlatograd, 
Sofia, София, Sofia City, Sofia, 
Anton, Антон, Sofia Porvince, Anton, 
Botevgrad, Ботевград, Sofia Porvince, Botevgrad, 
Bozhurishte, Божурище, Sofia Porvince, Bozhurishte, 
Chavdar, Чавдар, Sofia Porvince, Chavdar, 
Chelopech, Челопеч, Sofia Porvince, Chelopech, 
Dolna Banya, Долна баня, Sofia Porvince, Dolna Banya, 
Dragoman, Драгоман, Sofia Porvince, Dragoman, 
Elin Pelin, Елин Пелин, Sofia Porvince, Elin Pelin, 
Etropole, Етрополе, Sofia Porvince, Etropole, 
Godech, Годеч, Sofia Porvince, Godech, 
Gorna Malina, Горна Малина, Sofia Porvince, Gorna Malina, 
Ihtiman, Ихтиман, Sofia Porvince, Ihtiman, 
Koprivshtitsa, Копривщица, Sofia Porvince, Koprivshtitsa, 
Kostenets, Костенец, Sofia Porvince, Kostenets, 
Kostinbrod, Костинброд, Sofia Porvince, Kostinbrod, 
Mirkovo, Мирково, Sofia Porvince, Mirkovo, 
Pirdop, Пирдоп, Sofia Porvince, Pirdop, 
Pravets, Правец, Sofia Porvince, Pravets, 
Samokov, Самоков, Sofia Porvince, Samokov, 
Slivnitsa, Сливница, Sofia Porvince, Slivnitsa, 
Svoge, Своге, Sofia Porvince, Svoge, 
Zlatitsa, Златица, Sofia Porvince, Zlatitsa, 
Bratya Daskalovi, Братя Даскалови, Stara Zagora, Bratya Daskalovi, 
Chirpan, Чирпан, Stara Zagora, Chirpan, 
Galabovo, Гълъбово, Stara Zagora, Galabovo, 
Gurkovo, Гурково, Stara Zagora, Gurkovo, 
Kazanlak, Казанлък, Stara Zagora, Kazanlak, 
Maglizh, Мъглиж, Stara Zagora, Maglizh, 
Nikolaevo, Николаево, Stara Zagora, Nikolaevo, 
Opan, Опан, Stara Zagora, Opan, 
Pavel Banya, Павел баня, Stara Zagora, Pavel Banya, 
Radnevo, Раднево, Stara Zagora, Radnevo, 
Stara Zagora, Стара Загора, Stara Zagora, Stara Zagora, 
Antonovo, Антоново, Targovishte, Antonovo, 
Omurtag, Омуртаг, Targovishte, Omurtag, 
Opaka, Опака, Targovishte, Opaka, 
Popovo, Попово, Targovishte, Popovo, 
Targovishte, Търговище, Targovishte, Targovishte, 
Aksakovo, Аксаково, Varna, Aksakovo, 
Avren, Аврен, Varna, Avren, 
Beloslav, Белослав, Varna, Beloslav, 
Byala, Бяла, Varna, Byala, 
Dalgopol, Дългопол, Varna, Dalgopol, 
Devnya, Девня, Varna, Devnya, 
Dolni Chiflik, Долни чифлик, Varna, Dolni Chiflik, 
Provadiya, Провадия, Varna, Provadiya, 
Suvorovo, Суворово, Varna, Suvorovo, 
Valchi Dol, Вълчи дол, Varna, Valchi Dol, 
Varna, Варна, Varna, Varna, 
Vetrino, Ветрино, Varna, Vetrino, 
Elena, Елена, Veliko Tarnovo, Elena, 
Gorna Oryahovitsa, Горна Оряховица, Veliko Tarnovo, Gorna Oryahovitsa, 
Lyaskovets, Лясковец, Veliko Tarnovo, Lyaskovets, 
Pavlikeni, Павликени, Veliko Tarnovo, Pavlikeni, 
Polski Trambesh, Полски Тръмбеш, Veliko Tarnovo, Polski Trambesh, 
Strazhitsa, Стражица, Veliko Tarnovo, Strazhitsa, 
Suhindol, Сухиндол, Veliko Tarnovo, Suhindol, 
Svishtov, Свищов, Veliko Tarnovo, Svishtov, 
Veliko Tarnovo, Велико Търново, Veliko Tarnovo, Veliko Tarnovo, 
Zlataritsa, Златарица, Veliko Tarnovo, Zlataritsa, 
Belogradchik, Белоградчик, Vidin, Belogradchik, 
Boynitsa, Бойница, Vidin, Boynitsa, 
Bregovo, Брегово, Vidin, Bregovo, 
Chuprene, Чупрене, Vidin, Chuprene, 
Dimovo, Димово, Vidin, Dimovo, 
Gramada, Грамада, Vidin, Gramada, 
Kula, Кула, Vidin, Kula, 
Makresh, Макреш, Vidin, Makresh, 
Novo Selo, Ново Село, Vidin, Novo Selo, 
Ruzhintsi, Ружинци, Vidin, Ruzhintsi, 
Vidin, Видин, Vidin, Vidin, 
Borovan, Борован, Vratsa, Borovan, 
Byala Slatina, Бяла Слатина, Vratsa, Byala Slatina, 
Hayredin, Хайредин, Vratsa, Hayredin, 
Kozloduy, Козлодуй, Vratsa, Kozloduy, 
Krivodol, Криводол, Vratsa, Krivodol, 
Mezdra, Мездра, Vratsa, Mezdra, 
Miziya, Мизия, Vratsa, Miziya, 
Oryahovo, Оряхово, Vratsa, Oryahovo, 
Roman, Роман, Vratsa, Roman, 
Vratsa, Враца, Vratsa, Vratsa, 
Bolyarovo, Болярово, Yambol, Bolyarovo, 
Elhovo, Елхово, Yambol, Elhovo, 
Straldzha, Стралджа, Yambol, Straldzha, 
Tundzha, Тунджа, Yambol, Tundzha, 
Yambol, Ямбол, Yambol, Yambol, 
