Fund Name, Type, Replication method, Inception date, Fund size [M€], Distribution policy, WKN, ISIN, 
iShares MSCI Pacific ex-Japan UCITS ETF (Dist), Equity Asia Pacific, Full replication, 17.04.09, 173, Distributing, A0RL8Z, IE00B4WXJD03, 
UBS ETF (LU) MSCI Pacific (ex Japan) UCITS ETF (USD) A-dis, Equity Asia Pacific, Full replication, 02.10.09, 83, Distributing, A0X97T, LU0446734526, 
iShares Core MSCI Pacific ex Japan UCITS ETF (Acc), Equity Asia Pacific, Full replication, 12.01.10, 2326, Accumulating, A0YEDR, IE00B52MJY50, 
HSBC MSCI Pacific ex Japan UCITS ETF USD, Equity Asia Pacific, Full replication, 03.09.10, 365, Distributing, A1C22H, IE00B5SG8Z57, 
Lyxor MSCI Pacific Ex Japan UCITS ETF - Dist, Equity Asia Pacific, Swap based; Unfunded, 29.04.15, 15, Distributing, LYX0TS, LU1220245556, 
UBS ETF (LU) MSCI Pacific (ex Japan) UCITS ETF (USD) A-acc, Equity Asia Pacific, Full replication, 29.11.19, 13, Accumulating, A1W3LC, LU0940748279, 
Lyxor MSCI Eastern Europe ex Russia UCITS ETF - Acc, Equity Eastern Europe, Swap based; Unfunded, 21.07.05, 130, Accumulating, LYX02C, LU1900066462, 
Lyxor MSCI Eastern Europe Ex Russia UCITS ETF - Dist, Equity Eastern Europe, Swap based; Unfunded, 02.07.20, 7, Distributing, LYX043, LU2090063160, 
iShares BIC 50 UCITS ETF USD (Dist), Equity Emerging Markets, Full replication, 20.04.07, 108, Distributing, A0MR61, IE00B1W57M07, 
Vanguard FTSE Emerging Markets UCITS ETF Distributing, Equity Emerging Markets, Optimized; sampling, 22.05.12, 2076, Distributing, A1JX51, IE00B3VVMM84, 
Vanguard FTSE Emerging Markets UCITS ETF Acc, Equity Emerging Markets, Optimized; sampling, 24.09.19, 369, Accumulating, A2PLTC, IE00BK5BR733, 
iShares MSCI EM UCITS ETF (Dist), Equity Emerging Markets, Optimized; sampling, 18.11.05, 3619, Distributing, A0HGWC, IE00B0M63177, 
Lyxor MSCI Emerging Markets UCITS ETF - Acc EUR, Equity Emerging Markets, Swap based; Unfunded, 17.04.07, 748, Accumulating, LYX0BX, FR0010429068, 
Lyxor MSCI Emerging Markets UCITS ETF - Acc USD, Equity Emerging Markets, Swap based; Unfunded, 23.04.07, 111, Accumulating, LYX0CV, FR0010435297, 
Xtrackers MSCI Emerging Markets Swap UCITS ETF 1C, Equity Emerging Markets, Swap based; Unfunded, 22.06.07, 655, Accumulating, DBX1EM, LU0292107645, 
iShares MSCI EM UCITS ETF (Acc), Equity Emerging Markets, Optimized; sampling, 25.09.09, 1946, Accumulating, A0RPWJ, IE00B4L5YC18, 
Invesco MSCI Emerging Markets UCITS ETF, Equity Emerging Markets, Swap based; Unfunded, 26.04.10, 366, Accumulating, A1CWJF, IE00B3DWVS88, 
Deka MSCI Emerging Markets UCITS ETF, Equity Emerging Markets, Swap based; Unfunded, 01.07.10, 76, Accumulating, ETFL34, DE000ETFL342, 
UBS ETF (LU) MSCI Emerging Markets UCITS ETF (USD) A-dis, Equity Emerging Markets, Optimized; sampling, 12.11.10, 1338, Distributing, UB42AA, LU0480132876, 
Amundi MSCI Emerging Markets UCITS ETF EUR (C), Equity Emerging Markets, Swap based; Unfunded, 30.11.10, 2258, Accumulating, A2H58J, LU1681045370, 
UBS ETF (IE) MSCI Emerging Markets SF UCITS ETF (USD) A-acc, Equity Emerging Markets, Swap based, 27.04.11, 90, Accumulating, A1JGBJ, IE00B3Z3FS74, 
SPDR MSCI Emerging Markets UCITS ETF, Equity Emerging Markets, Optimized; sampling, 13.05.11, 317, Accumulating, A1JJTE, IE00B469F816, 
HSBC MSCI Emerging Markets UCITS ETF USD, Equity Emerging Markets, Optimized; sampling, 05.09.11, 2022, Distributing, A1JCMZ, IE00B5SSQT16, 
Amundi Index MSCI Emerging Markets UCITS ETF DR (C), Equity Emerging Markets, Full replication, 05.05.17, 2586, Accumulating, A2ATYY, LU1437017350, 
Xtrackers MSCI Emerging Markets UCITS ETF 1C, Equity Emerging Markets, Optimized; sampling, 21.06.17, 4385, Accumulating, A12GVR, IE00BTJRMP35, 
Amundi Index MSCI Emerging Markets UCITS ETF DR EUR (D), Equity Emerging Markets, Full replication, 06.02.18, 486, Distributing, A2H9Q0, LU1737652583, 
Amundi MSCI Emerging Markets UCITS ETF USD, Equity Emerging Markets, Swap based; Unfunded, 18.04.18, 931, Accumulating, A2H58K, LU1681045453, 
UBS ETF (LU) MSCI Emerging Markets UCITS ETF (USD) A-acc, Equity Emerging Markets, Optimized; sampling, 18.06.18, 2179, Accumulating, A1W3CN, LU0950674175, 
Amundi Index MSCI Emerging Markets UCITS ETF DR - USD (D), Equity Emerging Markets, Full replication, 02.02.21, 143, Distributing, A2QLH9, LU2277591868, 
Xtrackers MSCI Emerging Markets UCITS ETF 1D, Equity Emerging Markets, Full replication, 03.11.21, 162, Distributing, DBX0RB, IE000GWA2J58, 
HSBC MSCI Emerging Markets UCITS ETF USD (Acc), Equity Emerging Markets, Optimized; sampling, 28.06.22, 108, Accumulating, A3DN5N, IE000KCS7J59, 
Amundi MSCI Emerging Markets II UCITS ETF Dist, Equity Emerging Markets, Swap based; Unfunded, 24.03.23, 1477, Distributing, ETF019, LU2573966905, 
Lyxor MSCI Emerging Markets Ex China UCITS ETF - Acc, Equity Emerging Markets, Swap based; Unfunded, 20.06.19, 418, Accumulating, LYX99G, LU2009202107, 
iShares MSCI EM ex-China UCITS ETF USD (Acc), Equity Emerging Markets, Full replication, 26.04.21, 236, Accumulating, A2QAFK, IE00BMG6Z448, 
UBS ETF (LU) MSCI Emerging Markets ex China UCITS ETF (USD) A-acc, Equity Emerging Markets, Optimized; sampling, 25.08.23, 8, Accumulating, A2PRUG, LU2050966394, 
iShares Core MSCI Emerging Markets IMI UCITS ETF (Acc), Equity Emerging Markets, Optimized; sampling, 30.05.14, 16070, Accumulating, A111X9, IE00BKM4GZ66, 
iShares Core MSCI Emerging Markets IMI UCITS ETF, Equity Emerging Markets, Optimized; sampling, 05.03.18, 1066, Distributing, A2JDYF, IE00BD45KH83, 
Xtrackers MSCI GCC Select Swap UCITS ETF 1C, Equity Emerging Markets, Swap based; Unfunded, 05.02.15, 20, Accumulating, A12B98, IE00BQXKVQ19, 
Xtrackers S&P Select Frontier Swap UCITS ETF 1C, Equity Emerging Markets, Swap based; Unfunded, 15.01.08, 87, Accumulating, DBX1A9, LU0328476410, 
Amundi Prime Emerging Markets UCITS ETF DR (C), Equity Emerging Markets, Full replication, 14.09.21, 17, Accumulating, A3CM5D, LU2300295123, 
iShares EURO STOXX UCITS ETF (DE), Equity Europe, Full replication, 03.05.05, 1820, Distributing, A0D8Q0, DE000A0D8Q07, 
iShares Core EURO STOXX 50 UCITS ETF EUR (Dist), Equity Europe, Full replication, 03.04.00, 2898, Distributing, 935927, IE0008471009, 
iShares EURO STOXX 50 UCITS ETF (DE), Equity Europe, Full replication, 27.12.00, 6044, Distributing, 593395, DE0005933956, 
Lyxor EURO STOXX 50 (DR) UCITS ETF - Acc, Equity Europe, Full replication, 19.02.01, 2359, Accumulating, 798328, FR0007054358, 
UBS ETF (LU) EURO STOXX 50 UCITS ETF (EUR) A-dis, Equity Europe, Full replication, 29.10.01, 370, Distributing, 794357, LU0136234068, 
Xtrackers EURO STOXX 50 UCITS ETF 1D, Equity Europe, Full replication, 04.01.07, 2335, Distributing, DBX1EU, LU0274211217, 
Deka EURO STOXX 50 UCITS ETF, Equity Europe, Full replication, 14.03.08, 683, Distributing, ETFL02, DE000ETFL029, 
Xtrackers EURO STOXX 50 UCITS ETF 1C, Equity Europe, Full replication, 29.08.08, 3120, Accumulating, DBX1ET, LU0380865021, 
Amundi EURO STOXX 50 UCITS ETF EUR (C), Equity Europe, Full replication, 16.09.08, 1549, Accumulating, A2H59L, LU1681047236, 
Invesco EURO STOXX 50 UCITS ETF, Equity Europe, Swap based; Unfunded, 18.03.09, 381, Accumulating, A0RGCL, IE00B60SWX25, 
HSBC EURO STOXX 50 UCITS ETF EUR, Equity Europe, Full replication, 05.10.09, 455, Distributing, A0YF4H, IE00B4K6B022, 
Invesco EURO STOXX 50 UCITS ETF Dist, Equity Europe, Swap based; Unfunded, 25.11.09, 13, Distributing, A0YESX, IE00B5B5TG76, 
iShares Core EURO STOXX 50 UCITS ETF EUR (Acc), Equity Europe, Full replication, 26.01.10, 3382, Accumulating, A0YEDJ, IE00B53L3W79, 
Amundi EURO STOXX 50 UCITS ETF DR - EUR (D), Equity Europe, Full replication, 29.06.10, 82, Distributing, A2H59M, LU1681047319, 
Lyxor Core EURO STOXX 50 (DR) UCITS ETF Acc, Equity Europe, Full replication, 03.04.13, 161, Accumulating, LYX0Q2, LU0908501215, 
Deka EURO STOXX 50 (thesaurierend) UCITS ETF, Equity Europe, Full replication, 04.05.15, 133, Distributing, ETFL46, DE000ETFL466, 
BNP Paribas Easy EURO STOXX 50 UCITS ETF, Equity Europe, Full replication, 27.07.15, 281, Accumulating, A14UTE, FR0012739431, 
BNP Paribas Easy EURO STOXX 50 UCITS ETF, Equity Europe, Full replication, 27.07.15, 139, Distributing, A14UTF, FR0012740983, 
Amundi EURO STOXX 50 UCITS ETF DR USD (C), Equity Europe, Full replication, 15.10.15, 9, Accumulating, A2H59N, LU1681047400, 
Lyxor Core EURO STOXX 50 (DR) UCITS ETF Dist, Equity Europe, Full replication, 03.09.20, 198, Distributing, LYX049, LU0908501488, 
HSBC EURO STOXX 50 UCITS ETF EUR (Acc), Equity Europe, Full replication, 28.06.22, 13, Accumulating, A3DN5E, IE000MWUQBJ0, 
Lyxor EURO STOXX 50 (DR) UCITS ETF - Daily Hedged to CHF - Acc, Equity Europe, Full replication, 19.05.15, 20, Accumulating, LYX0VB, FR0012399731, 
Lyxor EURO STOXX 50 (DR) UCITS ETF - Daily Hedged to GBP - Acc, Equity Europe, Full replication, 30.01.15, 53, Accumulating, LYX0T9, FR0012399772, 
Lyxor EURO STOXX 50 (DR) UCITS ETF - Daily Hedged to USD - Acc, Equity Europe, Full replication, 07.01.15, 36, Accumulating, LYX0R9, FR0012399806, 
Vanguard FTSE Developed Europe UCITS ETF Distributing, Equity Europe, Full replication, 21.05.13, 2614, Distributing, A1T8FS, IE00B945VV12, 
Vanguard FTSE Developed Europe UCITS ETF (EUR) Accumulating, Equity Europe, Full replication, 23.07.19, 620, Accumulating, A2PLBK, IE00BK5BQX27, 
Vanguard FTSE Developed Europe ex UK UCITS ETF Distributing, Equity Europe, Full replication, 30.09.14, 1868, Distributing, A12CXZ, IE00BKX55S42, 
Vanguard FTSE Developed Europe ex UK UCITS ETF (EUR) Accumulating, Equity Europe, Full replication, 23.07.19, 330, Accumulating, A2PLBL, IE00BK5BQY34, 
UBS ETF (LU) MSCI EMU UCITS ETF (EUR) A-dis, Equity Europe, Full replication, 19.09.02, 482, Distributing, 633611, LU0147308422, 
Lyxor Core MSCI EMU (DR) UCITS ETF - Dist, Equity Europe, Full replication, 06.08.03, 304, Distributing, LYX0XB, LU1646360971, 
iShares Core MSCI EMU UCITS ETF EUR (Acc), Equity Europe, Full replication, 12.01.10, 2734, Accumulating, A0YEDX, IE00B53QG562, 
Xtrackers MSCI EMU UCITS ETF 1D, Equity Europe, Full replication, 28.11.12, 1263, Distributing, DBX0GJ, LU0846194776, 
SPDR MSCI EMU UCITS ETF, Equity Europe, Full replication, 25.01.13, 218, Accumulating, A1KBQ3, IE00B910VR50, 
UBS ETF (LU) MSCI EMU UCITS ETF (EUR) A-acc, Equity Europe, Full replication, 12.08.16, 974, Accumulating, A1W3AA, LU0950668870, 
iShares Core MSCI EMU UCITS ETF EUR (Dist), Equity Europe, Full replication, 28.04.17, 242, Distributing, A2DN92, IE00BYXZ2585, 
Lyxor Core MSCI EMU (DR) UCITS ETF - Acc, Equity Europe, Full replication, 06.02.20, 11, Accumulating, LYX0ZY, LU1646361276, 
iShares MSCI EMU CHF Hedged UCITS ETF (Acc), Equity Europe, Full replication, 29.05.15, 75, Accumulating, A14R3K, IE00BWK1SP74, 
Xtrackers MSCI EMU UCITS ETF 3C CHF hedged, Equity Europe, Full replication, 30.06.15, 24, Accumulating, DBX0Q1, LU1215828218, 
UBS ETF (LU)  MSCI EMU UCITS ETF (hedged to CHF) A-acc, Equity Europe, Full replication, 17.06.20, 382, Accumulating, A14MET, LU1169819635, 
Xtrackers MSCI EMU UCITS ETF 2C GBP hedged, Equity Europe, Full replication, 31.03.15, 23, Accumulating, DBX0PV, LU1127516455, 
UBS ETF (LU) MSCI EMU UCITS ETF (hedged to GBP) A-acc, Equity Europe, Full replication, 31.07.17, 31, Accumulating, A14MEX, LU1169820138, 
UBS ETF (LU) MSCI EMU UCITS ETF (hedged to GBP) A-dis, Equity Europe, Full replication, 31.07.17, 41, Distributing, A14MEW, LU1169819981, 
Xtrackers MSCI EMU UCITS ETF 1C USD hedged, Equity Europe, Full replication, 31.03.15, 215, Accumulating, DBX0PU, LU1127514245, 
iShares MSCI EMU USD Hedged UCITS ETF (Acc), Equity Europe, Full replication, 30.06.15, 172, Accumulating, A14SMA, IE00BWZN1T31, 
iShares Core MSCI EMU UCITS ETF USD Hedged (Acc), Equity Europe, Full replication, 05.06.19, 508, Accumulating, A2PKUR, IE00BKBF6616, 
UBS ETF (LU) MSCI EMU UCITS ETF (hedged to USD) A-acc, Equity Europe, Full replication, 24.06.20, 368, Accumulating, A14MEV, LU1169819809, 
UBS ETF (LU) MSCI EMU UCITS ETF (hedged to USD) A-dis, Equity Europe, Full replication, 24.06.20, 77, Distributing, A14MEU, LU1169819718, 
Lyxor MSCI Europe (DR) UCITS ETF - Acc, Equity Europe, Full replication, 09.01.06, 737, Accumulating, A0JDGC, FR0010261198, 
Xtrackers MSCI Europe UCITS ETF 1C, Equity Europe, Full replication, 10.01.07, 3622, Accumulating, DBX1ME, LU0274209237, 
iShares Core MSCI Europe UCITS ETF EUR (Dist), Equity Europe, Optimized; sampling, 06.07.07, 6894, Distributing, A0MZWQ, IE00B1YZSC51, 
Invesco MSCI Europe UCITS ETF, Equity Europe, Swap based; Unfunded, 23.03.09, 62, Accumulating, A0RGCM, IE00B60SWY32, 
Deka MSCI Europe UCITS ETF, Equity Europe, Full replication, 09.06.09, 420, Distributing, ETFL28, DE000ETFL284, 
iShares Core MSCI Europe UCITS ETF EUR (Acc), Equity Europe, Optimized; sampling, 25.09.09, 5474, Accumulating, A0RPWG, IE00B4K48X80, 
UBS ETF (LU) MSCI Europe UCITS ETF (EUR) A-dis, Equity Europe, Full replication, 05.10.09, 221, Distributing, A0X97P, LU0446734104, 
HSBC MSCI Europe UCITS ETF EUR, Equity Europe, Full replication, 01.06.10, 132, Distributing, A1CY17, IE00B5BD5K76, 
SPDR MSCI Europe UCITS ETF, Equity Europe, Full replication, 05.12.14, 259, Accumulating, A1191Q, IE00BKWQ0Q14, 
Xtrackers MSCI Europe UCITS ETF 1D, Equity Europe, Full replication, 30.09.15, 95, Distributing, DBX0P1, LU1242369327, 
Amundi Index ETF MSCI Europe UCITS ETF DR (C), Equity Europe, Full replication, 29.06.16, 1732, Accumulating, A2ATYJ, LU1437015735, 
Amundi Index MSCI Europe UCITS ETF DR EUR (D), Equity Europe, Full replication, 19.12.17, 340, Distributing, A2H9QZ, LU1737652310, 
HSBC MSCI Europe UCITS ETF EUR (Acc), Equity Europe, Full replication, 12.07.22, 0, Accumulating, A3DN5F, IE000ZQOIPB1, 
UBS ETF (LU) MSCI Europe UCITS ETF (hedged to CHF) A-acc, Equity Europe, Full replication, 21.06.17, 36, Accumulating, A2DQQA, LU1589327680, 
UBS ETF (LU) MSCI Europe UCITS ETF (hedged to EUR) A-acc, Equity Europe, Full replication, 21.06.17, 47, Accumulating, A2DQDG, LU1600334798, 
Xtrackers MSCI Europe UCITS ETF 2C USD hedged, Equity Europe, Full replication, 27.02.15, 122, Accumulating, DBX0PW, LU1184092051, 
Amundi ETF MSCI Europe ex EMU UCITS ETF EUR (C), Equity Europe, Swap based; Unfunded, 15.01.10, 214, Accumulating, A0YF2V, FR0010821819, 
Deka MSCI Europe ex EMU UCITS ETF, Equity Europe, Full replication, 10.02.15, 11, Distributing, ETFL45, DE000ETFL458, 
iShares MSCI Europe ex-UK UCITS ETF, Equity Europe, Optimized; sampling, 02.06.06, 1076, Distributing, A0J204, IE00B14X4N27, 
Invesco MSCI Europe ex-UK UCITS ETF, Equity Europe, Swap based; Unfunded, 07.06.17, 64, Accumulating, A2AN46, IE00BYX5K108, 
Xtrackers MSCI Nordic UCITS ETF 1D, Equity Europe, Full replication, 04.09.13, 689, Distributing, A1T791, IE00B9MRHC27, 
Amundi MSCI Nordic UCITS ETF EUR (C), Equity Europe, Swap based; Unfunded, 22.03.18, 202, Accumulating, A2H569, LU1681044647, 
Xtrackers S&P Europe ex UK UCITS ETF, Equity Europe, Full replication, 14.01.19, 410, Distributing, A2JCAG, IE00BGV5VM45, 
Amundi Prime Europe UCITS ETF DR (D), Equity Europe, Full replication, 30.01.19, 33, Distributing, A2PBLF, LU1931974262, 
Amundi Prime Europe UCITS ETF DR (C), Equity Europe, Full replication, 15.01.20, 24, Accumulating, A2PWMH, LU2089238039, 
Amundi Prime Eurozone UCITS ETF DR (D), Equity Europe, Full replication, 30.01.19, 27, Distributing, A2PBLH, LU1931974429, 
Amundi Prime Eurozone UCITS ETF DR (C), Equity Europe, Full replication, 15.01.20, 51, Accumulating, A2PWMJ, LU2089238112, 
iShares STOXX Europe 50 UCITS ETF, Equity Europe, Full replication, 03.04.00, 505, Distributing, 935926, IE0008470928, 
iShares STOXX Europe 50 UCITS ETF (DE), Equity Europe, Full replication, 27.12.00, 105, Distributing, 593394, DE0005933949, 
Deka STOXX Europe 50 UCITS ETF, Equity Europe, Full replication, 08.04.09, 61, Distributing, ETFL25, DE000ETFL250, 
Amundi ETF STOXX Europe 50 UCITS ETF EUR (C), Equity Europe, Swap based; Unfunded, 29.09.09, 407, Accumulating, A0X9QJ, FR0010790980, 
iShares STOXX Europe 600 UCITS ETF (DE), Equity Europe, Full replication, 13.02.04, 5795, Distributing, 263530, DE0002635307, 
Xtrackers STOXX Europe 600 UCITS ETF 1C, Equity Europe, Full replication, 20.01.09, 1921, Accumulating, DBX1A7, LU0328475792, 
Invesco STOXX Europe 600 UCITS ETF, Equity Europe, Swap based; Unfunded, 01.04.09, 212, Accumulating, A0RGCK, IE00B60SWW18, 
Lyxor Core STOXX Europe 600 (DR) UCITS ETF Acc, Equity Europe, Full replication, 03.04.13, 5860, Accumulating, LYX0Q0, LU0908500753, 
BNP Paribas Easy STOXX Europe 600 UCITS ETF, Equity Europe, Swap based; Unfunded, 16.09.13, 762, Accumulating, A1W37K, FR0011550193, 
BNP Paribas Easy STOXX Europe 600 UCITS ETF, Equity Europe, Swap based; Unfunded, 16.09.13, 90, Distributing, A1W6FD, FR0011550672, 
iShares STOXX Europe 600 UCITS ETF (DE) EUR (Acc), Equity Europe, Full replication, 24.02.23, 193, Accumulating, A2QP4B, DE000A2QP4B6, 
Xtrackers Stoxx Europe 600 UCITS ETF 1D, Equity Europe, Full replication, 08.03.23, 1, Distributing, DBX0TR, LU2581375156, 
Lyxor Core STOXX Europe 600 (DR) UCITS ETF Monthly Hedged to EUR - Dist, Equity Europe, Full replication, 12.04.17, 90, Distributing, LYX0WH, LU1574142243, 
Xtrackers STOXX Europe 600 UCITS ETF 2C EUR Hedged, Equity Europe, Full replication, 21.06.18, 7, Accumulating, DBX0QN, LU1772333404, 
Lyxor MSCI EM Latin America UCITS ETF - Acc, Equity Latin America, Swap based; Unfunded, 15.05.07, 28, Accumulating, LYX02D, LU1900066629, 
HSBC MSCI EM Latin America UCITS ETF USD, Equity Latin America, Full replication, 10.03.11, 30, Distributing, A1H8BL, IE00B4TS3815, 
Amundi MSCI Emerging Markets Latin America UCITS ETF EUR (C), Equity Latin America, Swap based; Unfunded, 22.03.18, 398, Accumulating, A2H58P, LU1681045024, 
Amundi MSCI Emerging Markets Latin America UCITS ETF USD, Equity Latin America, Swap based; Unfunded, 22.03.18, 164, Accumulating, A2H58Q, LU1681045297, 
iShares MSCI EM Latin America UCITS ETF (Dist), Equity Latin America, Optimized; sampling, 15.10.07, 197, Distributing, A0NA45, IE00B27YCK28, 
Vanguard FTSE North America UCITS ETF Distributing, Equity North America, Full replication, 30.09.14, 1784, Distributing, A12CXY, IE00BKX55R35, 
Vanguard FTSE North America UCITS ETF (USD) Accumulating, Equity North America, Full replication, 23.07.19, 719, Accumulating, A2PLBJ, IE00BK5BQW10, 
iShares MSCI North America UCITS ETF, Equity North America, Optimized; sampling, 02.06.06, 897, Distributing, A0J201, IE00B14X4M10, 
Lyxor DJ Global Titans 50 UCITS ETF - Dist, Equity World, Swap based; Unfunded, 17.09.02, 143, Distributing, 787716, FR0007075494, 
Vanguard FTSE All-World UCITS ETF Distributing, Equity World, Optimized; sampling, 22.05.12, 10487, Distributing, A1JX52, IE00B3RBWM25, 
Vanguard FTSE All-World UCITS ETF (USD) Accumulating, Equity World, Optimized; sampling, 23.07.19, 7284, Accumulating, A2PKXG, IE00BK5BQT80, 
Invesco FTSE All-World UCITS ETF Acc, Equity World, Sampling, 26.06.23, 6, Accumulating, A3D7QX, IE000716YHJ7, 
Invesco FTSE All-World UCITS ETF Dist, Equity World, Optimized; sampling, 26.06.23, 2, Distributing, A3D7QY, IE0000QLH0G6, 
Invesco FTSE All-World UCITS ETF EUR PfHdg Acc, Equity World, Sampling, 26.06.23, 1, Accumulating, A3EC3H, IE0006VDD4K1, 
Invesco FTSE All-World UCITS ETF GBP PfHdg Dist, Equity World, Sampling, 26.06.23, 1, Distributing, A3EC3G, IE000UJC4MR1, 
Vanguard FTSE Developed World UCITS ETF Distributing, Equity World, Optimized; sampling, 30.09.14, 1870, Distributing, A12CX1, IE00BKX55T58, 
Vanguard FTSE Developed World UCITS ETF Acc, Equity World, Optimized; sampling, 24.09.19, 1162, Accumulating, A2PLS9, IE00BK5BQV03, 
UBS ETF (IE) MSCI ACWI SF UCITS ETF (hedged to CHF) A-acc, Equity World, Swap based, 11.08.15, 432, Accumulating, A14VJU, IE00BYM11L64, 
UBS ETF (IE) MSCI ACWI SF UCITS ETF (hedged to EUR) A-acc, Equity World, Swap based, 11.08.15, 593, Accumulating, A14VJT, IE00BYM11K57, 
UBS ETF (IE) MSCI ACWI SF UCITS ETF (hedged to EUR) A-UKdis, Equity World, Swap based, 24.09.15, 13, Distributing, A14Z4A, IE00BYVDRD78, 
SPDR MSCI ACWI UCITS ETF EUR Hedged Acc, Equity World, Optimized; sampling, 30.09.19, 423, Accumulating, A2JQU5, IE00BF1B7389, 
UBS ETF (IE) MSCI ACWI SF UCITS ETF (hedged to USD) A-acc, Equity World, Swap based, 11.08.15, 707, Accumulating, A14VJS, IE00BYM11J43, 
SPDR MSCI ACWI UCITS ETF USD Hedged Acc, Equity World, Optimized; sampling, 21.10.20, 43, Accumulating, A2JQU4, IE00BF1B7272, 
SPDR MSCI ACWI UCITS ETF, Equity World, Optimized; sampling, 13.05.11, 2302, Accumulating, A1JJTC, IE00B44Z5B48, 
Lyxor MSCI All Country World UCITS ETF - Acc (EUR), Equity World, Swap based; Unfunded, 05.09.11, 944, Accumulating, LYX00C, LU1829220216, 
Lyxor MSCI All Country World UCITS ETF - Acc (USD), Equity World, Swap based; Unfunded, 05.09.11, 14, Accumulating, LYX00B, LU1829220133, 
iShares MSCI ACWI UCITS ETF (Acc), Equity World, Optimized; sampling, 21.10.11, 7911, Accumulating, A1JMDF, IE00B6R52259, 
UBS ETF (IE) MSCI ACWI SF UCITS ETF (USD) A-acc, Equity World, Swap based, 01.11.18, 672, Accumulating, A14VJR, IE00BYM11H29, 
UBS ETF (IE) MSCI ACWI SF UCITS ETF (USD) A-UKdis, Equity World, Swap based, 15.04.19, 213, Distributing, A2PGH1, IE00BJXFZ989, 
SPDR MSCI ACWI IMI UCITS ETF, Equity World, Optimized; sampling, 13.05.11, 623, Accumulating, A1JJTD, IE00B3YLTY66, 
iShares MSCI World UCITS ETF (Dist), Equity World, Optimized; sampling, 28.10.05, 5689, Distributing, A0HGV0, IE00B0M62Q58, 
Lyxor MSCI World UCITS ETF - Dist, Equity World, Swap based; Unfunded, 26.04.06, 4816, Distributing, LYX0AG, FR0010315770, 
Xtrackers MSCI World Swap UCITS ETF 1C, Equity World, Swap based; Unfunded, 19.12.06, 3313, Accumulating, DBX1MW, LU0274208692, 
UBS ETF (LU) MSCI World UCITS ETF (USD) A-dis, Equity World, Full replication, 25.06.08, 1014, Distributing, A0NCFR, LU0340285161, 
Invesco MSCI World UCITS ETF, Equity World, Swap based; Unfunded, 02.04.09, 3592, Accumulating, A0RGCS, IE00B60SX394, 
iShares Core MSCI World UCITS ETF USD (Acc), Equity World, Optimized; sampling, 25.09.09, 52906, Accumulating, A0RPWH, IE00B4L5Y983, 
