Municipality, Department, 
Soracá, Boyacá, 
Sotaquirá, Boyacá, 
Susacón, Boyacá, 
Sutamarchán, Boyacá, 
Sutatenza, Boyacá, 
Sáchica, Boyacá, 
Tasco, Boyacá, 
Tenza, Boyacá, 
Tibaná, Boyacá, 
Tibasosa, Boyacá, 
Tinjacá, Boyacá, 
Tipacoque, Boyacá, 
Toca, Boyacá, 
Togüí, Boyacá, Boyacá, 
Tota, Boyacá, 
Tunja, Boyacá, 
Tununguá, Boyacá, 
Turmequé, Boyacá, 
Tuta, Boyacá, 
Tutazá, Boyacá, 
Tópaga, Boyacá, 
Úmbita, Boyacá, 
Ventaquemada, Boyacá, 
Villa de Leyva, Boyacá, 
Viracachá, Boyacá, 
Zetaquirá, Boyacá, 
Aguadas, Caldas, 
Anserma, Caldas, 
Aranzazu, Caldas, 
Belalcázar, Caldas, 
Chinchiná, Caldas, 
Filadelfia, Caldas, 
La Dorada, Caldas, 
La Merced, Caldas, 
Manizales, Caldas, 
Manzanares, Caldas, 
Marmato, Caldas, 
Marquetalia, Caldas, 
Marulanda, Caldas, 
Neira, Caldas, 
Norcasia, Caldas, 
Pácora, Caldas, 
Palestina, Caldas, 
Pensilvania, Caldas, 
Riosucio, Caldas, 
Risaralda, Caldas, 
Salamina, Caldas, 
Samaná, Caldas, 
San José, Caldas, 
Supía, Caldas, 
Victoria, Caldas, 
Villamaría, Caldas, 
Viterbo, Caldas, 
Casanare, Caquetá, 
Cauca, Caquetá, 
Cesar, Caquetá, 
Chocó, Caquetá, 
Córdoba, Caquetá, 
Cundinamarca, Caquetá, 
Guainía, Caquetá, 
Guaviare, Caquetá, 
Huila, Caquetá, 
La Guajira, Caquetá, 
Magdalena, Caquetá, 
Meta, Caquetá, 
Nariño, Caquetá, 
Norte de Santander, Caquetá, 
Putumayo, Caquetá, 
Quindío, Caquetá, 
Risaralda, Caquetá, 
San Andrés y Providencia, Caquetá, 
Santander, Caquetá, 
Sucre, Caquetá, 
Tolima, Caquetá, 
Valle del Cauca, Caquetá, 
Vaupés, Caquetá, 
Vichada, Caquetá, 
Aguazul, Casanare, 
Chámeza, Casanare, 
Hato Corozal, Casanare, 
La Salina, Casanare, 
Maní, Casanare, 
Monterrey, Casanare, 
Nunchía, Casanare, 
Orocué, Casanare, 
Paz de Ariporo, Casanare, 
Pore, Casanare, 
Recetor, Casanare, 
Sabanalarga, Casanare, 
Sácama, Casanare, 
San Luis de Palenque, Casanare, 
Támara, Casanare, 
Tauramena, Casanare, 
Trinidad, Casanare, 
Villanueva, Casanare, 
Yopal, Casanare, 
Almaguer, Cauca, 
Argelia, Cauca, 
Balboa, Cauca, 
Bolívar, Cauca, 
Buenos Aires, Cauca, 
Cajibio, Cauca, 
Caldono, Cauca, 
Caloto, Cauca, 
Corinto, Cauca, 
El Tambo, Cauca, 
Florencia, Cauca, 
Guachené, Cauca, 
Guapi, Cauca, 
Inza, Cauca, 
Jambalo, Cauca, 
La Sierra, Cauca, 
La Vega, Cauca, 
López de Micay, Cauca, 
Mercaderes, Cauca, 
Miranda, Cauca, 
Morales, Cauca, 
Padilla, Cauca, 
Páez, Cauca, 
Patía, Cauca, 
Piamonte, Cauca, 
Piendamó, Cauca, 
Popayán, Cauca, 
Puerto Tejada, Cauca, 
Purace, Cauca, 
Rosas, Cauca, 
San Sebastián, Cauca, 
Santander de Quilichao, Cauca, 
Santa Rosa, Cauca, 
Silvia, Cauca, 
Sotará, Cauca, 
Suarez, Cauca, 
Sucre, Cauca, 
Timbío, Cauca, 
Timbiqui, Cauca, 
Toribío, Cauca, 
Totoro, Cauca, 
Villa Rica, Cauca, 
Aguachica, Cesar, 
Astrea, Cesar, 
Becerril, Cesar, 
Bosconia, Cesar, 
Chimichagua, Cesar, 
Chiriguaná, Cesar, 
Codazzi, Cesar, 
Curumaní, Cesar, 
El Copey, Cesar, 
El Paso, Cesar, 
Gamarra, Cesar, 
González, Cesar, 
La Gloria, Cesar, 
La Jagua de Ibirico, Cesar, 
Manaure, Cesar, 
Pailitas, Cesar, 
Pelaya, Cesar, 
Pueblo Bello, Cesar, 
Rio de Oro, Cesar, 
Los Robles La Paz, Cesar, 
San Alberto, Cesar, 
San Diego, Cesar, 
San Martín, Cesar, 
Tamalameque, Cesar, 
Valledupar, Cesar, 
Acandí, Chocó, 
Alto Baudó, Chocó, 
Atrato, Chocó, 
Bagadó, Chocó, 
Bahía Solano, Chocó, 
Bajo Baudó, Chocó, 
Belén de Bajirá, Chocó, 
Bojayá, Chocó, 
Cértegui, Chocó, 
Condoto, Chocó, 
El Cantón de San Pablo, Chocó, 
El Carmen de Atrato, Chocó, 
El Carmen del Darién, Chocó, 
Istmina, Chocó, 
Juradó, Chocó, 
Litoral del San Juan, Chocó, 
Lloró, Chocó, 
Medio Atrato, Chocó, 
Medio Baudó, Chocó, 
Medio San Juan, Chocó, 
Nóvita, Chocó, 
Nuquí, Chocó, 
Quibdó, Chocó, 
Río Iró, Chocó, 
Río Quito, Chocó, 
Riosucio, Chocó, 
San José del Palmar, Chocó, 
Sipí, Chocó, 
Tadó, Chocó, 
Unguía, Chocó, 
Unión Panamericana, Chocó, 
Ayapel, Córdoba, 
Buenavista, Córdoba, 
Canalete, Córdoba, 
Cereté, Córdoba, 
Chimá, Córdoba, 
Chinú, Córdoba, 
Ciénaga de Oro, Córdoba, 
Cotorra, Córdoba, 
La Apartada, Córdoba, 
Lorica, Córdoba, 
Los Córdobas, Córdoba, 
Momil, Córdoba, 
Moñitos, Córdoba, 
Montelíbano, Córdoba, 
Montería, Córdoba, 
Planeta Rica, Córdoba, 
Pueblo Nuevo, Córdoba, 
Puerto Escondido, Córdoba, 
Puerto Libertador, Córdoba, 
Purísima, Córdoba, 
Sahagún, Córdoba, 
San Andrés de Sotavento, Córdoba, 
San Antero, Córdoba, 
San Bernardo del Viento, Córdoba, 
San Carlos, Córdoba, 
San José de Uré, Córdoba, 
San Pelayo, Córdoba, 
Tierralta, Córdoba, 
Tuchín, Córdoba, 
Valencia, Córdoba, 
Agua de Dios, Cundinamarca, 
Albán, Cundinamarca, 
Anapoima, Cundinamarca, 
Anolaima, Cundinamarca, 
Apulo, Cundinamarca, 
Arbeláez, Cundinamarca, 
Beltrán, Cundinamarca, 
Bituima, Cundinamarca, 
Bojacá, Cundinamarca, 
Cabrera, Cundinamarca, 
Cachipay, Cundinamarca, 
Cajicá, Cundinamarca, 
Caparrapí, Cundinamarca, 
Cáqueza, Cundinamarca, 
Carmen de Carupa, Cundinamarca, 
Chaguaní, Cundinamarca, 
Chipaque, Cundinamarca, 
Choachí, Cundinamarca, 
Chocontá, Cundinamarca, 
Chía, Cundinamarca, 
Cogua, Cundinamarca, 
Cota, Cundinamarca, 
Cucunubá, Cundinamarca, 
El Colegio, Cundinamarca, 
El Peñón, Cundinamarca, 
El Rosal, Cundinamarca, 
Facatativá, Cundinamarca, 
Fómeque, Cundinamarca, 
Fosca, Cundinamarca, 
Funza, Cundinamarca, 
Fusagasugá, Cundinamarca, 
Fúquene, Cundinamarca, 
Gachalá, Cundinamarca, 
Gachancipá, Cundinamarca, 
Gachetá, Cundinamarca, 
Gama, Cundinamarca, 
Girardot, Cundinamarca, 
Granada, Cundinamarca, 
Guachetá, Cundinamarca, 
Guaduas, Cundinamarca, 
Guasca, Cundinamarca, 
Guataquí, Cundinamarca, 
Guatavita, Cundinamarca, 
Guayabal de Síquima, Cundinamarca, 
Guayabetal, Cundinamarca, 
Gutiérrez, Cundinamarca, 
Jerusalen, Cundinamarca, 
Junín, Cundinamarca, 
La Calera, Cundinamarca, 
La Mesa, Cundinamarca, 
La Palma, Cundinamarca, 
La Peña, Cundinamarca, 
La Vega, Cundinamarca, 
Lenguazaque, Cundinamarca, 
Machetá, Cundinamarca, 
Madrid, Cundinamarca, 
Manta, Cundinamarca, 
Medina, Cundinamarca, 
Mosquera, Cundinamarca, 
Nariño, Cundinamarca, 
Nemocón, Cundinamarca, 
Nilo, Cundinamarca, 
Nimaima, Cundinamarca, 
Nocaima, Cundinamarca, 
Pacho, Cundinamarca, 
Paime, Cundinamarca, 
Pandi, Cundinamarca, 
Paratebueno, Cundinamarca, 
Pasca, Cundinamarca, 
Puerto Salgar, Cundinamarca, 
Pulí, Cundinamarca, 
Quebradanegra, Cundinamarca, 
Quetame, Cundinamarca, 
Quipile, Cundinamarca, 
Ricaurte, Cundinamarca, 
San Antonio del Tequendama, Cundinamarca, 
San Bernardo, Cundinamarca, 
San Cayetano, Cundinamarca, 
San Francisco, Cundinamarca, 
San Juan de Rioseco, Cundinamarca, 
Sasaima, Cundinamarca, 
Sesquilé, Cundinamarca, 
Sibaté, Cundinamarca, 
Silvania, Cundinamarca, 
Simijaca, Cundinamarca, 
Soacha, Cundinamarca, 
Sopó, Cundinamarca, 
Subachoque, Cundinamarca, 
Suesca, Cundinamarca, 
Supatá, Cundinamarca, 
Susa, Cundinamarca, 
Sutatausa, Cundinamarca, 
Tabio, Cundinamarca, 
Tausa, Cundinamarca, 
Tena, Cundinamarca, 
Tenjo, Cundinamarca, 
Tibacuy, Cundinamarca, 
Tibiritá, Cundinamarca, 
Tocaima, Cundinamarca, 
Tocancipá, Cundinamarca, 
Topaipí, Cundinamarca, 
Ubalá, Cundinamarca, 
Ubaque, Cundinamarca, 
Ubaté, Cundinamarca, 
Une, Cundinamarca, 
Útica, Cundinamarca, 
Venecia, Cundinamarca, 
Vergara, Cundinamarca, 
Vianí, Cundinamarca, 
Villagómez, Cundinamarca, 
Villapinzón, Cundinamarca, 
Villeta, Cundinamarca, 
Viotá, Cundinamarca, 
Yacopí, Cundinamarca, 
Zipacón, Cundinamarca, 
Zipaquirá, Cundinamarca, 
Albania, La Guajira, 
Barrancas, La Guajira, 
Dibulla, La Guajira, 
Distracción, La Guajira, 
El Molino, La Guajira, 
Fonseca, La Guajira, 
Hatonuevo, La Guajira, 
La Jagua del Pilar, La Guajira, 
Maicao, La Guajira, 
Manaure, La Guajira, 
Riohacha, La Guajira, 
San Juan del Cesar, La Guajira, 
Uribia, La Guajira, 
Urumita, La Guajira, 
Villanueva, La Guajira, 
Barrancominas, Guainía, 
Inirida, Guainía, 
Cacahual, Guainía, 
La Guadalupe, Guainía, 
Morichal Nuevo, Guainía, 
Pana Pana, Guainía, 
Puerto Colombia, Guainía, 
San Felipe, Guainía, 
Calamar, Guaviare, 
El Retorno, Guaviare, 
Miraflores, Guaviare, 
San José del Guaviare, Guaviare, 
Acevedo, Huila, 
Agrado, Huila, 
Aipe, Huila, 
Algeciras, Huila, 
Altamira, Huila, 
Baraya, Huila, 
Campoalegre, Huila, 
Colombia, Huila, 
Elias, Huila, 
Garzón, Huila, 
Gigante, Huila, 
Guadalupe, Huila, 
Hobo, Huila, 
Iquira, Huila, 
Isnos, Huila, 
La Argentina, Huila, 
La Plata, Huila, 
Nataga, Huila, 
Neiva, Huila, 
Oporapa, Huila, 
Paicol, Huila, 
Palermo, Huila, 
Palestina, Huila, 
Pital, Huila, 
Pitalito, Huila, 
Rivera, Huila, 
Saladoblanco, Huila, 
San Agustín, Huila, 
Santa María, Huila, 
Suaza, Huila, 
Tarqui, Huila, 
Tello, Huila, 
Teruel, Huila, 
Tesalia, Huila, 
Timaná, Huila, 
Villavieja, Huila, 
Yaguara, Huila, 
Algarrobo, Magdalena, 
Aracataca, Magdalena, 
Ariguaní, Magdalena, 
Cerro San Antonio, Magdalena, 
Chibolo, Magdalena, 
Ciénaga, Magdalena, 
Concordia, Magdalena, 
El Banco, Magdalena, 
El Piñón, Magdalena, 
El Retén, Magdalena, 
Fundación, Magdalena, 
Guamal, Magdalena, 
Nueva Granada, Magdalena, 
Pedraza, Magdalena, 
Pinto, Magdalena, 
Pijiño, Magdalena, 
Pivijay, Magdalena, 
Plato, Magdalena, 
Pueblo Viejo, Magdalena, 
Remolino, Magdalena, 
Sabanas de San Ángel, Magdalena, 
Salamina, Magdalena, 
San Sebastián de Buenavista, Magdalena, 
Santa Ana, Magdalena, 
Santa Marta, Magdalena, 
San Zenón, Magdalena, 
Sitionuevo, Magdalena, 
Tenerife, Magdalena, 
Zapayán, Magdalena, 
Zona Bananera, Magdalena, 
Acacías, Meta, 
Barranca de Upía, Meta, 
Cabuyaro, Meta, 
Castilla la Nueva, Meta, 
Cubarral, Meta, 
Cumaral, Meta, 
El Calvario, Meta, 
El Castillo, Meta, 
El Dorado, Meta, 
Fuente de Oro, Meta, 
Granada, Meta, 
Guamal, Meta, 
La Macarena, Meta, 
La Uribe, Meta, 
Lejanías, Meta, 
Mapiripán, Meta, 
Mesetas, Meta, 
Puerto Concordia, Meta, 
Puerto Gaitán, Meta, 
Puerto Lleras, Meta, 
Puerto López, Meta, 
Puerto Rico, Meta, 
Restrepo, Meta, 
San Carlos de Guaroa, Meta, 
San Juan de Arama, Meta, 
San Juanito, Meta, 
San Martín, Meta, 
Villavicencio, Meta, 
Vista Hermosa, Meta, 
Albán, Nariño, 
Aldana, Nariño, 
Ancuya, Nariño, 
Arboleda, Nariño, 
Barbacoas, Nariño, 
Belén, Nariño, 
Buesaco, Nariño, 
Chachagüí, Nariño, 
Colón (Génova), Nariño, 
Consaca, Nariño, 
Contadero, Nariño, 
Córdoba, Nariño, 
Cuaspud, Nariño, 
Cumbal, Nariño, 
Cumbitara, Nariño, 
El Charco, Nariño, 
El Peñol, Nariño, 
El Rosario, Nariño, 
El Tablón, Nariño, 
El Tambo, Nariño, 
Francisco Pizarro, Nariño, 
Funes, Nariño, 
Guachucal, Nariño, 
Guaitarilla, Nariño, 
Gualmatán, Nariño, 
Iles, Nariño, 
Imués, Nariño, 
Ipiales, Nariño, 
La Cruz, Nariño, 
La Florida, Nariño, 
La Llanada, Nariño, 
La Tola, Nariño, 
La Unión, Nariño, 
Leiva, Nariño, 
Linares, Nariño, 
Los Andes, Nariño, 
Magüí Payán, Nariño, 
Mallama, Nariño, 
Mosquera, Nariño, 
Nariño, Nariño, 
Olaya Herrera, Nariño, 
Ospina, Nariño, 
Pasto, Nariño, 
Policarpa, Nariño, 
Potosí, Nariño, 
Providencia, Nariño, 
Puerres, Nariño, 
Pupiales, Nariño, 
Ricaurte, Nariño, 
Roberto Payán, Nariño, 
Samaniego, Nariño, 
San Bernardo, Nariño, 
Sandona, Nariño, 
San Lorenzo, Nariño, 
San Pablo, Nariño, 
San Pedro de Cartago, Nariño, 
Santa Barbara, Nariño, 
Santacruz, Nariño, 
Sapuyes, Nariño, 
Taminango, Nariño, 
Tangua, Nariño, 
Tumaco, Nariño, 
Túquerres, Nariño, 
Abrego, Norte de Santander, 
Arboledas, Norte de Santander, 
Bochalema, Norte de Santander, 
Bucarasica, Norte de Santander, 
Cachira, Norte de Santander, 
Cácota, Norte de Santander, 
Chinácota, Norte de Santander, 
Chitagá, Norte de Santander, 
Convención, Norte de Santander, 
Cúcuta, Norte de Santander, 
Cucutilla, Norte de Santander, 
Durania, Norte de Santander, 
El Carmen, Norte de Santander, 
El Tarra, Norte de Santander, 
El Zulia, Norte de Santander, 
Gramalote, Norte de Santander, 
Hacari, Norte de Santander, 
Herrán, Norte de Santander, 
La Esperanza, Norte de Santander, 
La Playa, Norte de Santander, 
Labateca, Norte de Santander, 
Los Patios, Norte de Santander, 
Lourdes, Norte de Santander, 
Mutiscua, Norte de Santander, 
Ocaña, Norte de Santander, 
Pamplona, Norte de Santander, 
Pamplonita, Norte de Santander, 
Puerto Santander, Norte de Santander, 
Ragonvalia, Norte de Santander, 
Salazar de las Palmas, Norte de Santander, 
San Calixto, Norte de Santander, 
San Cayetano, Norte de Santander, 
Santiago, Norte de Santander, 
Sardinata, Norte de Santander, 
Silos, Norte de Santander, 
Teorama, Norte de Santander, 
Tibú, Norte de Santander, 
Toledo, Norte de Santander, 
Villa Caro, Norte de Santander, 
Villa del Rosario, Norte de Santander, 
Colón, Putumayo, 
Mocoa, Putumayo, 
Orito, Putumayo, 
Puerto Asís, Putumayo, 
Puerto Caicedo, Putumayo, 
Puerto Guzmán, Putumayo, 
Puerto Leguízamo, Putumayo, 
San Francisco, Putumayo, 
San Miguel, Putumayo, 
Santiago, Putumayo, 
Sibundoy, Putumayo, 
Valle del Guamez, Putumayo, 
Villa Garzón, Putumayo, 
Armenia, Quindío, 
Buenavista, Quindío, 
Calarcá, Quindío, 
Circasia, Quindío, 
Córdoba, Quindío, 
Filandia, Quindío, 
Génova, Quindío, 
La Tebaida, Quindío, 
Montenegro, Quindío, 
Pijao, Quindío, 
Quimbaya, Quindío, 
Salento, Quindío, 
Apía, Risaralda, 
Balboa, Risaralda, 
Belén de Umbría, Risaralda, 
Dosquebradas, Risaralda, 
Guática, Risaralda, 
La Celia, Risaralda, 
La Virginia, Risaralda, 
Marsella, Risaralda, 
Mistrató, Risaralda, 
Pereira, Risaralda, 
Pueblo Rico, Risaralda, 
Quinchía, Risaralda, 
Santa Rosa de Cabal, Risaralda, 
Santuario, Risaralda, 
Providencia and Santa Catalina Islands, San Andrés y Providencia, 
San Andrés Islands, San Andrés y Providencia, 
Aguada, Santander, 
Albania, Santander, 
Aratoca, Santander, 
Barbosa, Santander, 
Barichara, Santander, 
Barrancabermeja, Santander, 
Betulia, Santander, 
Bolívar, Santander, 
Bucaramanga, Santander, 
Cabrera, Santander, 
California, Santander, 
Capitanejo, Santander, 
Carcasí, Santander, 
Cepitá, Santander, 
Cerrito, Santander, 
Charalá, Santander, 
Charta, Santander, 
Chima, Santander, 
Chipatá, Santander, 
Cimitarra, Santander, 
Concepción, Santander, 
Confines, Santander, 
Contratación, Santander, 
Coromoro, Santander, 
Curití, Santander, 
El Carmen, Santander, 
El Guacamayo, Santander, 
El Peñón, Santander, 
El Playón, Santander, 
Encino, Santander, 
Enciso, Santander, 
Florián, Santander, 
Floridablanca, Santander, 
Galán, Santander, 
Gámbita, Santander, 
Girón, Santander, 
Guaca, Santander, 
Guadalupe, Santander, 
Guapotá, Santander, 
Guavatá, Santander, 
Güepsa, Santander, 
Hato, Santander, 
Jesus María, Santander, 
Jordán, Santander, 
La Belleza, Santander, 
Landázuri, Santander, 
La Paz, Santander, 
Lebrija, Santander, 
Los Santos, Santander, 
Macaravita, Santander, 
Málaga, Santander, 
Matanza, Santander, 
Mogotes, Santander, 
Molagavita, Santander, 
Ocamonte, Santander, 
Oiba, Santander, 
Onzaga, Santander, 
Palmar, Santander, 
Palmas Socorro, Santander, 
Páramo, Santander, 
