Country, Name, ID, Address, Postal Code, Latitude, Longitude, Telephone, Services
Austria,,, "Richard-Strauß-Str.  2 / Ecke SterngasseA-1230 Wien",,,,,,
Austria,,, "Römerstraße 1A-5301 Eugendorf",,,,,,
Austria,,, "Am Tivoli 1A-8700 Leoben",,,,,,
Austria,,, "Pluskaufstraße 7/Top 006A-4061 Pasching",,,,,,
Austria,,, "Rautenweg 2A-1220 Wien",,,,,,
Austria,,, "Dr. Karl-Renner Straße 58A-4470 Enns",,,,,,
Austria,,, "Kopernikusstraße 8A-4840 Vöcklabruck",,,,,,
Austria,,, "Pottendorferstraße 45A-2700 Wr. Neustadt",,,,,,
Austria,,, "Franz-Reisch-Straße 7A-6370 Kitzbühel",,,,,,
Austria,,, "St. Pöltner Straße 43A-3040 Neulengbach",,,,,,
Austria,,, "Burgauer Straße 25A-8280 Fürstenfeld",,,,,,
Austria,,, "Wiener Straße 116A-7100 Neusiedl / See",,,,,,
Austria,,, "Mariahilfer Straße 85-87A-1060 Wien",,,,,,
Austria,,, "Praterstern-Bahnhof NordA-1020 Wien",,,,,,
Austria,,, "Gschmeidlerstraße 14-18A-2020 Hollabrunn",,,,,,
Austria,,, "Mitterweg 1A-6020 Innsbruck",,,,,,
Austria,,, "Gasometer A / Shopping Mall Guglgasse 12-14, Top 14/15A-1110 Wien",,,,,,
Austria,,, "Karlsplatz/U-Bahnpassage,  Lokal Nr. 1A-1010 Wien",,,,,,
Austria,,, "Goldenberg 36A-4070 Eferding",,,,,,
Austria,,, "Rheinstraße 6A-6971 Hard",,,,,,
Austria,,, "Mitschastraße 37aA-2130 Mistelbach",,,,,,
Austria,,, "Grinzinger Allee 3A-1190 Wien",,,,,,
Austria,,, "Landstraße 3 (Taubenmarkt)A-4020 Linz",,,,,,
Austria,,, "Untermarktstraße 45A-6410 Telfs",,,,,,
Austria,,, "Poschacher Straße 12A-4310 Mauthausen",,,,,,
Austria,,, "Ossiacherstraße 4A-9300 St. Veit/Glan",,,,,,
Austria,,, "Feldkirchnerstraße 128A-9020 Klagenfurt",,,,,,
Austria,,, "Raststation Walserberg SüdA-5071 Walserberg",,,,,,
Austria,,, "Breitenleerstr. S2A-1220 Wien",,,,,,
Austria,,, "Pilgrambrücke 1A-1050 Wien",,,,,,
Austria,,, "Ecke Straße1, Straße 6A-2351 Wr. Neudorf",,,,,,
Austria,,, "Mariazeller Straße 93A-3100 St. Pölten",,,,,,
Austria,,, "Europastraße 148/EuroparkA-5020 Salzburg",,,,,,
Austria,,, "Brünnerstraße 170A-1210 Wien",,,,,,
Austria,,, "Gewerbestraße 4A-7111 Parndorf Villagio",,,,,,
Austria,,, "Wegscheiderstr. 1/GPO IA-4020 Linz",,,,,,
Austria,,, "Bad Fischau 531 - Raststation Föhrenberg Richtung WienA-2721 Bad Fischau-Brunn",,,,,,
Austria,,, "Hauptstraße 3A-6706 Bürs",,,,,,
Austria,,, "Stockerauer Straße 183A-2100 Korneuburg",,,,,,
Austria,,, "Singerstraße 4A-1010 Wien",,,,,,
Austria,,, "Teichstraße 3A-3442 Langenrohr",,,,,,
Austria,,, "Leoganger Straße 16 AA-5760 Saalfelden",,,,,,
Austria,,, "Ennsling 160A-8967 Haus im Ennstal",,,,,,
Austria,,, "Wagramer Straße 81-83, Top 320 DonauzentrumA-1220 Wien",,,,,,
Austria,,, "Ginzkeystraße 60A-4600 Wels",,,,,,
Austria,,, "Freistädterstraße 298A-4040 Linz-Dornach",,,,,,
Austria,,, "7. Haidequerstraße 2A-1110 Wien",,,,,,
Austria,,, "Kaplanstraße 3A-6063 Rum",,,,,,
Austria,,, "Südtirolerplatz, Shop 2.125 / Shop 1.132A-1100 Wien",,,,,,
Austria,,, "Erlauftalstraße 51A-3251 Purgstall",,,,,,
Austria,,, "A2 Richtung GrazA-2721 Bad Fischau",,,,,,
Austria,,, "Mariahilfer Gürtel, Europaplatz 2 OB 1.26A-1150 Wien/Westbahnhof",,,,,,
Austria,,, "Hauptbahnhof / Europaplatz 4A-8020 Graz",,,,,,
Austria,,, "Lugitschstraße 13A-8330 Feldbach",,,,,,
Austria,,, "St- Peter Gürtel 15A-8042 Graz",,,,,,
Austria,,, "Klagenfurter Straße 39A-9400 Wolfsberg",,,,,,
Austria,,, "Wilhelmstraße 64A-1120 Wien",,,,,,
Austria,,, "Sterneckstraße 49A-5020 Salzburg",,,,,,
Austria,,, "Fridolin Schröpfer-Platz 1A-4820 Bad Ischl",,,,,,
Austria,,, "Ausstellungsstraße 44aA-1020 Wien",,,,,,
Austria,,, "Schlitpacherstraße 3A-3390 Melk",,,,,,
Austria,,, "Südtiroler Platz 5A-6020 Innsbruck/Bahnhof",,,,,,
Austria,,, "Völkermarkter Straße 268A-9020 Klagenfurt",,,,,,
Austria,,, "Hornerstraße 101aA-2000 Stockerau",,,,,,
Austria,,, "Wiener Gasse 10A-9020 Klagenfurt",,,,,,
Austria,,, "Gewerbestraße 10A-3382 Loosdorf",,,,,,
Austria,,, "Kornfeldgasse 12A-2512 Tribuswinkel",,,,,,
Austria,,, "Landwehrstr. 6/S014 (Huma EKZ)A-1110 Wien",,,,,,
Austria,,, "Simmeringer Hauptstraße 113A-1110 Wien",,,,,,
Austria,,, "Triesterstraße 70A-1100 Wien",,,,,,
Austria,,, "Zehnergürtel 12-24 (EKZ Fischapark)A-2700 Wr. Neustadt",,,,,,
Austria,,, "Bahnhofplatz 1 Top 8+9A-3100 St.Pölten",,,,,,
Austria,,, "Waidhofner Straße 46A-3300 Amstetten-Greinsfurth",,,,,,
Austria,,, "Wiener Straße 64A-3400 Klosterneuburg",,,,,,
Austria,,, "Thaliastraße 17A-1160 Wien",,,,,,
Austria,,, "EKZ Gerasdorf G3, G3 Platz 1A-2201 Gerasdorf",,,,,,
Austria,,, "Industriestraße West 2A-8501 Lieboch",,,,,,
Austria,,, "Südtiroler Platz 13 Forum 1A-5020 Salzburg",,,,,,
Austria,,, "Julius Tandler Platz 3A-1090 Wien",,,,,,
Austria,,, "Langgasse 48A-6460 Imst",,,,,,
Austria,,, "Breitenfurterstr. 245-247A-1230 Wien",,,,,,
Austria,,, "Andre Freyskorn-Straße 2A-3910 Zwettl",,,,,,
Austria,,, "Handelskai 130A-1020 Wien",,,,,,
Austria,,, "Linzer Straße 70A-4780 Schärding",,,,,,
Austria,,, "Alpenstraße 110A-5020 Salzburg",,,,,,
Austria,,, "Färbergasse 25A-6850 Dornbirn",,,,,,
Austria,,, "Gewerbepark Nord 13A-8431 Gralla",,,,,,
Austria,,, "Hietzinger Kai 137A-1130 Wien",,,,,,
Austria,,, "Conrad von Hötzendorfstr. 91A-8010 Graz",,,,,,
Austria,,, "Albert-Schweitzer-Gasse 6A-1140 Wien",,,,,,
Austria,,, "Betriebsring 29A-2483 Ebreichsdorf",,,,,,
Austria,,, "Friedrich-Thurnerstraße 18A-4910 Ried im Innkreis",,,,,,
Austria,,, "Autobahn A10, Raststation GollingA-5440 Golling",,,,,,
Austria,,, "Wiener Straße 96-102 (im Bühl-Center)A-3500 Krems",,,,,,
Austria,,, "Tiroler Straße 24A-9900 Lienz/Osttirol",,,,,,
Austria,,, "Sägerstraße 102A-6890 Lustenau",,,,,,
Austria,,, "Rotenturmstraße 29A-1010 Wien",,,,,,
Austria,,, "Hadikgasse 62A-1140 Wien",,,,,,
Austria,,, "Hofstetten 1A-2230 Gänserndorf",,,,,,
Austria,,, "Wagramer Straße 54A-1220 Wien",,,,,,
Austria,,, "Wiener Straße 439A-4030 Linz",,,,,,
Austria,,, "Südtirolerplatz, EG Top 151A-1100 Wien/Hauptbahnhof",,,,,,
Austria,,, "Asamerstraße 1A-4655 Vorchdorf",,,,,,
Austria,,, "Arenaplatz 5A-7210 Mattersburg",,,,,,
Austria,,, "Am-See-Ring 12A-4880 St Georgen / Attergau",,,,,,
Austria,,, "Europastraße 2A-8200 Gleisdorf",,,,,,
Austria,,, "Brucker Bundesstraße 6A-2320 Schwechat",,,,,,
Austria,,, "Kinostraße 4A-5071 Wals",,,,,,
Austria,,, "Seestadtstraße 4A-1220 Wien",,,,,,
Austria,,, "Haider Straße 39A-4052 Ansfelden",,,,,,
Austria,,, "Landstraßer Hauptstraße 1B, EZ Wien MitteA-1030 Wien",,,,,,
Austria,,, "Wiener Straße 335A-8051 Graz",,,,,,
Austria,,, "Einkaufszentrum Cyta/Gießenweg 2A-6176 Völs",,,,,,
Austria,,, "Raststation A5 SüdA-2123 Wolfpassing an der Hochleithen",,,,,,
Austria,,, "Landstraße 71 -75A-4020 Linz",,,,,,
Austria,,, "Salzburger Straße 62A-5204 Straßwalchen",,,,,,
Austria,,, "Europastraße 3A-2544 Leobersdorf",,,,,,
Austria,,, "Shoppingcity Seiersberg 3A-8055 Seiersberg-Pirka",,,,,,
Austria,,, "Jakominiplatz 18A-8010 Graz",,,,,,
Austria,,, "Marlen-Haushofer Straße 1A-4400 Steyr",,,,,,
Austria,,, "Liesinger Platz 1A-1230 Wien",,,,,,
Austria,,, "Eco Plus Park 2. Straße 1A-2460 Bruck/Leitha",,,,,,
Austria,,, "Erlachweg 1A-5280 Braunau",,,,,,
Austria,,, "McDonald's Straße 1A-8642 St. Lorenzen",,,,,,
Austria,,, "Diepoldsauer Straße 51A-6845 Hohenems",,,,,,
Austria,,, "Nikolaus-August-Otto-Str. 1 /  Wiener Str. 128A-2700 Wr. Neustadt",,,,,,
Austria,,, "SCS Food Plaza - Eingang 9A-2334 Vösendorf-SCS",,,,,,
Austria,,, "Universitätsring 12A-1010 Wien",,,,,,
Austria,,, "Hadikgasse 254A-1140 Wien",,,,,,
Austria,,, "Museumstraße 38A-6020 Innsbruck / Sillpark",,,,,,
Austria,,, "Kaiser Ebersdorferstraße 322A-1110 Wien",,,,,,
Austria,,, "Rosentaler Strasse 129A-9020 Klagenfurt",,,,,,
Austria,,, "Plüddemanngasse 62A-8010 Graz",,,,,,
Austria,,, "Franz-Jonas-Platz 2A-1210 Wien",,,,,,
Austria,,, "Bahnhofplatz 3-6A-4020 Linz",,,,,,
Austria,,, "Taborstraße 39A-1020 Wien",,,,,,
Austria,,, "Wiener Straße 54A-8600 Bruck/Mur",,,,,,
Austria,,, "Industriestraße 2A-4565 Inzersdorf",,,,,,
Austria,,, "Weiberfelderweg 2A-8054 Graz",,,,,,
Austria,,, "Businesspark 1A-7453 Oberpullendorf",,,,,,
Austria,,, "Handelsstraße 5A-4300 St. Valentin",,,,,,
Austria,,, "Heiligenstädterstraße 68A-1190 Wien",,,,,,
Austria,,, "Innsbrucker Straße 56A-6300 Wörgl",,,,,,
Austria,,, "Carl Zuckmayerstraße 1A-5020 Salzburg",,,,,,
Austria,,, "Gewerbestraße 26A-4320 Perg",,,,,,
Austria,,, "Bergland Center 5A-3254 Bergland",,,,,,
Austria,,, "Amraserseestraße 56bA-6020 Innsbruck",,,,,,
Austria,,, "Rusterstraße 147A-7000 Eisenstadt",,,,,,
Austria,,, "Volksfeststraße 4A-4150 Rohrbach",,,,,,
Austria,,, "Arena im Waldfeld 2A-8753 Fohnsdorf",,,,,,
Austria,,, "Schönbrunnerstraße 222/702A-1120 Wien",,,,,,
Austria,,, "Geierau 5A-4680 Haag/Hausruck",,,,,,
Austria,,, "IGP 19 SüdA-9100 Völkermarkt",,,,,,
Austria,,, "Favoritenstrasse 89A-1100 Wien",,,,,,
Austria,,, "Kaplanweg 8A-8160 Weiz",,,,,,
Austria,,, "Triesterstr./Friedr. Schwarzottstr. 71A-2620 Neunkirchen",,,,,,
Austria,,, "Villacher Str. 113A-9800 Spittal/Drau",,,,,,
Austria,,, "Thermenweg 361A-8272 Bad Waltersdorf",,,,,,
Austria,,, "Rivergate / Handelskai 92A-1200 Wien",,,,,,
Austria,,, "Shopping City SüdA-2334 Vösendorf",,,,,,
Austria,,, "Haratzmüller Straße 80A-4400 Steyr",,,,,,
Austria,,, "Werner Simmer Straße 7/Gewerbestr. 7A-5310 Mondsee",,,,,,
Austria,,, "Jedletzbergerstraße 7A-1110 Wien",,,,,,
Austria,,, "Palfengasse 2A-5600 St. Johann/Pongau",,,,,,
Austria,,, "Eggendorferstraße 4A-8230 Hartberg",,,,,,
Austria,,, "Johannesgasse 3A-1010 Wien",,,,,,
Austria,,, "Blütenstraße 13-23A-4040 Linz/Lentia City",,,,,,
Austria,,, "Gewerbegebiet Nord 3A-6262 Schlitters",,,,,,
Austria,,, "Ludwig von Höhnel Gasse 15A-1100 Wien",,,,,,
Austria,,, "Hauptstraße 1A-6511 Zams",,,,,,
Austria,,, "Europabrücke-Parkplatz 1A-6141 Schönberg",,,,,,
Germany,, 350711, "Martin-Luther-Straße 26, München, Bayern", 81539, 48.112949075016, 11.576090082648,,
Germany,, 350712, "Wasserburger Landstraße 52, München, Bayern", 81825, 48.119108255, 11.677442716,,
Germany,, 350713, "Maria-Probst-Straße 1, München, Bayern", 80939, 48.192239262355, 11.584554473316,,
Germany,, 350714, "Clemensänger-Ring 1, Freising, Bayern", 85356, 48.381371544089, 11.753099096543,,
Germany,, 350715, "Terminalstraße Mitte 18, Oberding, Bayern", 85356, 48.353292009103, 11.788802605038,,
Germany,, 350716, "Flughafenstraße 4, Langenhagen, Niedersachsen", 30855, 52.458929, 9.694952,,
Germany,, 350717, "Oberwinkl 3, Grabenstätt, Bayern", 83355, 47.828599995428, 12.521380145761,,
Germany,, 350718, "Flughafen Terminal 2, Frankfurt am Main, Hessen", 60549, 50.051295657714, 8.587223790693,,
Germany,, 350727, "Karlsplatz 10, München, Bayern", 80335, 48.138929718, 11.566318677,,
Germany,, 366372, "Bodelschwinghstraße 17, Vechelde, Niedersachsen", 38159, 52.264495546423, 10.367971159491,,
Germany,, 366375, "Schleefstraße 17, Dortmund, Nordrhein-Westfalen", 44287, 51.505235102754, 7.573132197071,,
Germany,, 366377, "Michaelisstraße 1, Dresden, Sachsen", 01257, 50.994892994, 13.803397357,,
Germany,, 366378, "Portsmouthplatz 1, Duisburg, Nordrhein-Westfalen", 47051, 51.430165, 6.772924,,
Germany,, 366379, "Am Fiebig 1, Thiendorf, Sachsen", 01561, 51.294713996195, 13.734357818487,,
Germany,, 366380, "Holstenbrücke 3, Kiel, Schleswig-Holstein", 24103, 54.322441584352, 10.136609199212,,
Germany,, 366381, "Willy-Brandt-Platz 17, Mannheim, Baden-Württemberg", 68161, 49.479651534687, 8.46990562665,,
Germany,, 366382, "Kamenzer Bogen 11, Hoyerswerda, Sachsen", 02977, 51.427199471641, 14.235908502937,,
Germany,, 366383, "Am Friedenshügel 3, Flensburg, Schleswig-Holstein", 24941, 54.776809756159, 9.414198734995,,
Germany,, 366384, "Mössinger Straße 17, Ofterdingen, Baden-Württemberg", 72131, 48.411181701, 9.034837437,,
Germany,, 366385, "An der Sielbrücke 3, Nordenham, Niedersachsen", 26954, 53.503546352317, 8.474574079149,,
Germany,, 366386, "Heinrich-Hertz-Straße 1, Cottbus, Brandenburg", 03044, 51.778371783, 14.31960848,,
Germany,, 366387, "Königsberger Straße 17, Kehl, Baden-Württemberg", 77694, 48.576836816315, 7.812593507863,,
Germany,, 366388, "Ludwig-Erhard-Straße 1, Massen-Niederlausitz, Brandenburg", 03238, 51.636726946, 13.737116614,,
Germany,, 366389, "AG-Weser-Straße 3, Bremen, Bremen", 28237, 53.110547458, 8.747035812,,
Germany,, 366391, "Brühl 1, Leipzig, Sachsen", 04109, 51.343455, 12.374798,,
Germany,, 366392, "Am Schwarzen Moor 3, Stuhr, Niedersachsen", 28816, 53.011788144, 8.7022484613,,
Germany,, 366393, "Petersstraße 14, Leipzig, Sachsen", 04109, 51.339154284, 12.374358144,,
Germany,, 366394, "Rudolf-Diesel-Straße 17, Memmingen, Bayern", 87700, 48.00078595, 10.167195745777,,
Germany,, 366395, "Siedemeierkamp 3, Celle, Niedersachsen", 29227, 52.60125292, 10.107233363,,
Germany,, 366396, "Industriestraße 17, Hirschaid, Bayern", 96114, 49.82044935, 11.002367657234,,
Germany,, 366397, "Willy-Brandt-Platz 3-7, Leipzig, Sachsen", 04109, 51.345253433, 12.379715397,,
Germany,, 366398, "Horstfeldweg 3, Bispingen, Niedersachsen", 29646, 53.100776526911, 9.978132482258,,
Germany,, 366399, "Paunsdorfer Allee 1, Leipzig, Sachsen", 04329, 51.348944765, 12.478633376,,
Germany,, 366400, "Industriestraße 17, Bad Neustadt an der Saale, Bayern", 97616, 50.333020905, 10.225590973,,
Germany,, 366401, "Ferniestraße 3, Linden, Hessen", 35440, 50.537935109197, 8.648923060133,,
Germany,, 366402, "Handelsstraße 1, Leipzig, Sachsen", 04356, 51.399831457, 12.400517883,,
Germany,, 366403, "Kokenhorststraße 18, Burgwedel, Niedersachsen", 30938, 52.48549083, 9.84502936,,
Germany,, 366404, "Hansestraße 3, Einbeck, Niedersachsen", 37574, 51.818101462, 9.8362890325,,
Germany,, 366405, "Dieselstraße 18, Helmstedt, Niedersachsen", 38350, 52.240879765, 10.988242522,,
Germany,, 366407, "Gebrüder-Welger-Straße 3, Wolfenbüttel, Niedersachsen", 38304, 52.163014153, 10.522048813,,
Germany,, 366408, "Willy-Brandt-Platz 3, Wolfsburg, Niedersachsen", 38440, 52.429092, 10.788315,,
Germany,, 366409, "Frankfurter Damm 18, Solingen, Nordrhein-Westfalen", 42719, 51.184962675, 7.0545964771,,
Germany,, 366410, "Otto-Schmidt-Straße 1, Taucha, Sachsen", 04425, 51.372157364, 12.475854354,,
Germany,, 366411, "Pascalstr. 3, Neukirchen-Vluyn, Nordrhein-Westfalen", 47506, 51.433235641, 6.5458494111,,
Germany,, 366413, "Grimmaische Straße 1, Großpösna, Sachsen", 04463, 51.265738359, 12.498113448,,
Germany,, 366414, "C.-Schwarze-Straße 3, Diepholz, Niedersachsen", 49356, 52.606994548553, 8.360696500083,,
Germany,, 366415, "Hauptmarkt 18, Trier, Rheinland-Pfalz", 54290, 49.757085712245, 6.641373550864,,
Germany,, 366416, "Heiterer Blick 1, Großweitzschen, Sachsen", 04720, 51.153107056875, 13.119729766502,,
Germany,, 366417, "Sülzbührener Straße 3, Emstek, Niedersachsen", 49685, 52.810938140487, 8.215878796128,,
Germany,, 366418, "Gottlieb-Daimler-Straße 18, Wittlich, Rheinland-Pfalz", 54516, 49.980237596664, 6.90673945605,,
Germany,, 366419, "Hans-Dietrich-Genscher-Platz 1, Halle (Saale), Sachsen-Anhalt", 06112, 51.477580304, 11.987267087,,
Germany,, 366420, "Merseburger Landstraße 1, Leuna, Sachsen-Anhalt", 06237, 51.34666514, 12.175030177,,
Germany,, 366422, "Rudolf-Diesel-Straße 3, Düren, Nordrhein-Westfalen", 52351, 50.781313443, 6.5091998774,,
Germany,, 366423, "Am Mittelfeld 1, Sangerhausen, Sachsen-Anhalt", 06526, 51.450974522779, 11.304293727363,,
Germany,, 366424, "Im Grossen Tal 3, Düren, Nordrhein-Westfalen", 52353, 50.834071889, 6.4584650464,,
Germany,, 366425, "Zum Lappentascher Hof 18, Homburg, Saarland", 66424, 49.329166136753, 7.320442491795,,
Germany,, 366426, "Wittichenauer Straße 3, Bad Honnef, Nordrhein-Westfalen", 53604, 50.630608863823, 7.227766296196,,
Germany,, 366427, "Steinkreuzweg 1, Naumburg (Saale), Sachsen-Anhalt", 06618, 51.145069754, 11.831371248,,
Germany,, 366428, "Louis-Steitz-Straße 1, Kirchheimbolanden, Rheinland-Pfalz", 67292, 49.668933361882, 8.021026225637,,
Germany,, 366429, "Heinrich-Hertz-Straße 2, Weißenfels, Sachsen-Anhalt", 06667, 51.188095235368, 11.988670992346,,
Germany,, 366430, "Alfred-Nobel-Straße 3, Hennef (Sieg), Nordrhein-Westfalen", 53773, 50.767590649464, 7.312685184582,,
Germany,, 366431, "Kalkofenstraße 18, Weinstadt, Baden-Württemberg", 71384, 48.814465858, 9.3632805092,,
Germany,, 366432, "Lutz-Born-Straße 3, Wolfen, Sachsen-Anhalt", 06766, 51.667293495, 12.259751864,,
Germany,, 366433, "Weststraße 3, Hagen, Nordrhein-Westfalen", 58089, 51.386486454032, 7.440534624719,,
Germany,, 366434, "Am Eckey 3, Schwerte, Nordrhein-Westfalen", 58239, 51.454392313184, 7.561394369018,,
Germany,, 366435, "Mittlerer Watzenbach 1, Saalfeld, Thüringen", 07318, 50.658001717, 11.347990105,,
Germany,, 366438, "Güstener Straße 19, Aschersleben, Sachsen-Anhalt", 06449, 51.767725, 11.4849823,,
Germany,, 366439, "Harburger Straße 19, Buchholz in der Nordheide, Niedersachsen", 21244, 53.363678482569, 9.872573734501,,
Germany,, 366440, "Eichenweg 5, Petersberg, Thüringen", 07616, 50.96963981, 11.855116557,,
Germany,, 366441, "Röntgenstraße 3, Erlensee, Hessen", 63526, 50.18209250795, 9.007710926812,,
Germany,, 366442, "Kraftsdorfer Straße 1, Hermsdorf, Thüringen", 07629, 50.889972711, 11.872217056,,
Germany,, 366443, "Zeppelinstraße 3, Nidda, Hessen", 63667, 50.43118932359, 8.980982722064,,
Germany,, 366444, "Immelmannstraße 19, Wildeshausen, Niedersachsen", 27793, 52.896157202, 8.4124829344,,
Germany,, 366446, "Dr.-Otto-Röhm-Straße 3, Worms, Rheinland-Pfalz", 67547, 49.649935979992, 8.361803502977,,
Germany,, 366448, "Alexanderplatz 1, Berlin, Berlin", 10178, 52.521181593, 13.41194327,,
Germany,, 366450, "Rohrbacher Straße 3, Heidelberg, Baden-Württemberg", 69115, 49.40828649888, 8.692764051984,,
Germany,, 366453, "Bräuckenstraße 19, Lüdenscheid, Nordrhein-Westfalen", 58511, 51.213234325684, 7.645750325012,,
Germany,, 366454, "Europaplatz 1, Berlin, Berlin", 10557, 52.524994761, 13.369499075,,
Germany,, 366455, "Goldbeckstraße 3, Hirschberg an der Bergstraße, Baden-Württemberg", 69493, 49.506782571031, 8.638009218289,,
Germany,, 366457, "In der Grobach 19, Florstadt, Hessen", 61197, 50.330018702, 8.9294000244,,
Germany,, 366458, "Happenbacher Straße 3, Heilbronn, Baden-Württemberg", 74074, 49.125788251, 9.223973537,,
Germany,, 366461, "Am Autobahnkreuz 3, Ellhofen, Baden-Württemberg", 74248, 49.142718711262, 9.309128035129,,
Germany,, 366462, "Hansastraße 1, Berlin, Berlin", 13053, 52.547063994, 13.468367456,,
Germany,, 366464, "Ettlinger Straße 3, Rastatt, Baden-Württemberg", 76437, 48.86583715447, 8.22301142201,,
Germany,, 366465, "Max-Planck-Straße 19, Unterschleißheim, Bayern", 85716, 48.283461513954, 11.56376127192,,
Germany,, 366466, "Hanne-Sobek-Platz 1, Berlin, Berlin", 13357, 52.548832446498, 13.388892967202,,
Germany,, 366468, "Grunerstraße 20, Berlin, Berlin", 10179, 52.518069, 13.416123,,
Germany,, 366469, "Osloer Straße, Berlin, Berlin", 13359, 52.557130714, 13.372860008,,
Germany,, 366470, "Geiselbullacher Straße 3, Olching, Bayern", 82140, 48.224754324076, 11.333626640625,,
Germany,, 366471, "Walbergraben 16, Aßlar, Hessen", 35614, 50.584167, 8.480833,,
Germany,, 366472, "Horstweg 53B, Potsdam, Brandenburg", 14478, 52.382753879, 13.087400314,,
Germany,, 366473, "Am Pfingstanger 20, Salzgitter, Niedersachsen", 38259, 52.049891349, 10.378585043,,
Germany,, 366474, "Luitpoldpark 3, Wörth an der Isar, Bayern", 84109, 48.62647398, 12.31895615,,
Germany,, 366475, "Stern-Center 1, Potsdam, Brandenburg", 14480, 52.370649, 13.134371,,
Germany,, 366477, "Südeinfahrt 3, Pfarrkirchen, Bayern", 84347, 48.417402353, 12.946001118,,
Germany,, 366478, "Obstzüchterstraße 1, Werder (Havel), Brandenburg", 14542, 52.364752697, 12.937080152,,
Germany,, 366479, "Roermonder Straße 20, Hückelhoven, Nordrhein-Westfalen", 41836, 51.053000739, 6.2168023703,,
Germany,, 366480, "Schorsch-Meier-Straße 3, Mühldorf am Inn, Bayern", 84453, 48.251436, 12.505329,,
Germany,, 366481, "Rathenower Landstraße 1, Brandenburg an der Havel, Brandenburg", 14772, 52.433254246, 12.533351146,,
Germany,, 366482, "Ehrenfeldgürtel 20, Köln, Nordrhein-Westfalen", 50823, 50.949790812758, 6.916682935247,,
Germany,, 366484, "Altlandsberger Chaussee 1, Hoppegarten, Brandenburg", 15366, 52.543540184, 13.644523152,,
Germany,, 366486, "Zusestraße 3, Brunnthal, Bayern", 85649, 48.042244184143, 11.661347308859,,
Germany,, 366488, "Industriestraße 20, Montabaur, Rheinland-Pfalz", 56410, 50.4485837675, 7.851610930229,,
Germany,, 366489, "Rinderhofer Breite 3, Schrobenhausen, Bayern", 86529, 48.563965914, 11.288918053,,
