Province, Province Cyrillic, ISO 3166-1 code, Car Plate Code, # Municipalities, Planning Region, Population (2000), Population (2001), Population (2002), Population (2003), Population (2004), Population (2005), Population (2006), Population (2007), Population (2008), Population (2009), Population (2010), Population (2011), Population (2012), Population (2013), Population (2014), Population (2015), Population (2016), Population (2017), Population (2018), Population (2019), Population (2020), Population (2021), Population (2022), Population (2023),
Silistra, Силистра, BG-19, CC, 7, North Central, 151827, 140784, 138994, 137424, 135701, 134093, 132699, 130898, 129121, 127659, 125827, 118433, 117214, 116038, 114670, 113248, 111957, 110562, 109271, 108018, 106852, 104869, 95614, 94739, 
Sliven, Сливен, BG-20, CH, 4, South Eastern, 228611, 217226, 215443, 213194, 211005, 209694, 209169, 207786, 206566, 204887, 201972, 196712, 195345, 193925, 192644, 191185, 189788, 188433, 186495, 184119, 182551, 180058, 170583, 170051, 
Smolyan, Смолян, BG-21, CM, 10, South Central, 144558, 138802, 137005, 135029, 133015, 131010, 129731, 128200, 126536, 124795, 122602, 120456, 118751, 116218, 113984, 111601, 109425, 107282, 105421, 103532, 101887, 99318, 93354, 92107, 
Sofia City, София, BG-22, C; CA; CB, 1, South Western, 1222180, 1178579, 1194164, 1208930, 1221157, 1231622, 1237891, 1240788, 1247059, 1249798, 1259446, 1296615, 1302316, 1309634, 1316557, 1319804, 1323637, 1325429, 1328120, 1328790, 1308412, 1307439, 1280334, 1286965, 
Sofia Province, Софийска област, BG-23, CO, 22, South Western, 256270, 270459, 267879, 264988, 262032, 259961, 258397, 256511, 254220, 253010, 250464, 245616, 243254, 240877, 238061, 237080, 234185, 231563, 229041, 226671, 238476, 233607, 227610, 226420, 
Stara Zagora, Стара Загора, BG-24, CT, 11, South Eastern, 382977, 368771, 366636, 364051, 362090, 360203, 358342, 355626, 353494, 350925, 347412, 331135, 329832, 328104, 325963, 323685, 321377, 319067, 316356, 313396, 311400, 307140, 291852, 290350, 
Targovishte, Търговище, BG-25, T, 5, North Eastern, 143754, 140860, 139600, 138160, 136806, 135262, 134264, 132771, 131233, 129675, 127832, 119865, 118786, 117719, 116420, 115211, 113694, 112474, 111597, 110914, 110027, 108117, 96201, 95609, 
Varna, Варна, BG-03, B, 12, North Eastern, 435524, 461174, 460001, 458661, 458392, 457922, 456915, 459613, 463260, 465465, 465100, 474344, 473415, 474076, 473804, 472926, 472654, 472120, 471252, 469885, 470124, 468614, 430847, 434191, 
Veliko Tarnovo, Велико Търново, BG-04, BT, 10, North Central, 298738, 291121, 289229, 287011, 285677, 283599, 280883, 278764, 277520, 275395, 271400, 256279, 253580, 251126, 247782, 245006, 242259, 239132, 235708, 232568, 229718, 225674, 204033, 202232, 
Vidin, Видин, BG-05, BH, 11, North Western, 136212, 128050, 125158, 122609, 120192, 117809, 114769, 112604, 110310, 108067, 105837, 99481, 97546, 95467, 93361, 91235, 88867, 86927, 84865, 82835, 81212, 78814, 72754, 71773, 
Vratsa, Враца, BG-06, BP, 10, North Western, 253081, 223358, 219830, 216388, 212656, 209124, 205797, 202711, 199702, 196829, 193555, 184662, 181574, 178395, 175169, 172007, 168727, 165645, 162549, 159470, 157637, 153700, 148874, 147619, 
Yambol, Ямбол, BG-28, Y, 5, South Eastern, 166415, 154215, 151793, 149534, 147906, 146094, 144525, 142475, 140669, 138429, 135812, 130056, 128650, 127176, 125724, 123821, 122276, 120470, 118897, 117335, 116486, 114361, 107379, 106320, 
