Spanish Socialist Workers' Party, PSOE, Spain, 1879-05-02, —, Social democracy/ democratic socialism/ progressivism, Centre-left, Active
Humane Colombia, CH, Colombia, 2011, —, Social democracy/ Progressivism, Left-wing, Active
National Liberal Party, PLN, Panama, 1903, 2006, Liberalism, Centre to centre-right, Dissolved
People's Party, PP, Panama, 1960, —, Christian democracy, Centre to centre-right, Active
Democratic Revolutionary Party, PRD, Panama, 1979, —, Social democracy/ Populism, Centre-left, Active
Nationalist Republican Liberal Movement, MOLIRENA, Panama, 1982, —, National liberalism/ Conservatism, Centre-right, Active
Panameñista Party, PAN, Panama, 1990, —, National conservatism/ Populism, Centre-right, Active
Democratic Change, CD, Panama, 1998, —, Conservatism/ Economic liberalism, Centre-right to right-wing, Active
Patriotic Union, UP, Panama, 2006, 2011, Liberal conservatism, Centre-right, Dissolved
Alliance Party, ALIANZA, Panama, 2018, —, National liberalism, Centre-right, Active
Realizing Goals, RM, Panama, 2021, —, Right-wing populism, Right-wing, Active
Another Way Movement, MOCA, Panama, 2022, —, Anti-corruption/ Big tent, Centre, Active
Federalist Party, FED, United States of America, 1789, 1824, Classical conservatism/ Federalism, Centre-right, Dissolved
Democratic-Republican Party, DR, United States of America, 1792, 1825, Jeffersonian democracy/ Agrarianism, Centre-left, Dissolved
Whig Party, WHIG, United States of America, 1833, 1856, Modernization/ Economic nationalism, Centre-right, Dissolved
Free Soil Party, FS, United States of America, 1848, 1854, Anti-slavery expansion, Single-issue, Dissolved
Populist Party (People's Party), POP, United States of America, 1891, 1908, Populism/ Left-wing nationalism, Left-wing, Dissolved
Progressive Party (Bull Moose), PROG, United States of America, 1912, 1920, Progressivism/ Social liberalism, Centre-left, Dissolved
Democratic Party, D / DEM, United States of America, 1828, —, Modern liberalism/ Progressivism, Centre-left, Active
Libertarian Party, LP, United States of America, 1971, —, Libertarianism/ Laissez-faire, Right-wing, Active
Republican Party, R / GOP, United States of America, 1854, —, American conservatism/ Libertarianism, Centre-right to right-wing, Active
Green Party, GPUS, United States of America, 2001, —, Green politics/ Eco-socialism, Left-wing, Active
Progressive Party of Working People, AKEL, Republic of Cyprus, 1941, —, Communism/ Cypriotism, Left-wing, Active
Patriotic Front, PF, Republic of Cyprus, 1959, 1969, Big tent/ Pro-Makarios, Syncretic, Dissolved
United Democratic Union of the Center, EDEK, Republic of Cyprus, 1969, —, Social democracy, Centre-left, Active
Unified Party, ENIAION, Republic of Cyprus, 1969, 1976, Conservative liberalism, Centre-right, Dissolved
Democratic Rally, DISY, Republic of Cyprus, 1976, —, Liberal conservatism, Centre-right, Active
Democratic Party, DIKO, Republic of Cyprus, 1976, —, Centrism/ Cypriot nationalism, Centre, Active
National Popular Front, ELAM, Republic of Cyprus, 2008, —, Ultranationalism/ Far-right populism, Far-right, Active
Democratic Alignment, DIPA, Republic of Cyprus, 2018, —, Centrist liberalism, Centre, Active
Finnish Social Democratic Party, SDP, Finland, 1899, —, Social democracy/ labourism/ welfare state/ progressive politics, Centre-left, Active
National Coalition Party, KOK, Finland, 1918, —, Liberal conservatism/ economic liberalism/ pro-Europeanism, Centre-right, Active
Centre Party of Finland, KESK, Finland, 1906, —, Agrarianism/ social liberalism/ decentralisation, Centre, Active
Finns Party, PS, Finland, 1995, —, Finnish nationalism/ social conservatism/ economic nationalism/ immigration restrictionism, Right-wing / National conservative, Active
Green League, VIHR, Finland, 1987, —, Green politics/ environmentalism/ social liberalism, Centre-left / Green, Active
Left Alliance, VAS, Finland, 1990, —, Democratic socialism/ socialism/ labour rights/ feminism, Left-wing, Active
Swedish People's Party of Finland, RKP / SFP, Finland, 1906, —, Swedish-speaking minority rights/ liberalism/ social liberalism, Centre / Liberal, Active
Christian Democrats of Finland, KD, Finland, 1958, —, Christian democracy/ social conservatism, Centre-right, Active
Movement Now, LIIKE, Finland, 2018, —, Liberalism/ entrepreneurship/ political reform, Centre / Liberal, Active
Communist Party of Finland, SKP, Finland, 1918, —, Communism/ Marxism-Leninism (historically)/ socialism, Far-left, Active (minor party)
People's Democratic League, SKDL, Finland, 1944, 1990, Socialism/ communism/ left-wing populism, Left-wing, Dissolved (merged into Left Alliance)
Finnish Rural Party, SMP, Finland, 1959, 1995, Agrarian populism/ rural interests/ nationalism, Right-wing populist / Agrarian, Dissolved
Liberal People's Party, LKP, Finland, 1965, 2011, Classical liberalism/ market economy/ individual freedoms, Centre / Liberal, Dissolved
Young Finns, Nuorsuomalaiset, Finland, 1994, 1999, Liberalism/ economic reform/ modernisation, Centre-right / Liberal, Dissolved
Christian Social People's Party, CSV, Luxembourg, 1944, —, Christian democracy/ conservatism/ pro-Europeanism, Centre-right, Active
Democratic Party, DP, Luxembourg, 1955, —, Liberalism/ economic liberalism/ pro-Europeanism, Centre to Centre-right, Active
Luxembourg Socialist Workers' Party, LSAP, Luxembourg, 1902, —, Social democracy/ democratic socialism, Centre-left, Active
The Greens, déi gréng, Luxembourg, 1983, —, Green politics/ environmentalism/ social liberalism, Centre-left, Active
Alternative Democratic Reform Party, ADR, Luxembourg, 1987, —, National conservatism/ Euroscepticism/ pension reform, Right-wing, Active
The Left, déi Lénk, Luxembourg, 1999, —, Democratic socialism/ ecosocialism/ anti-capitalism, Left-wing, Active
Pirate Party Luxembourg, Piratepartei, Luxembourg, 2009, —, Digital rights/ transparency/ direct democracy/ liberalism, Centre, Active
Communist Party of Luxembourg, KPL, Luxembourg, 1921, —, Communism/ Marxism-Leninism, Far-left, Active (minor party)
Party for Integral Democracy, PID, Luxembourg, 2013, —, Direct democracy/ political reform, Centre, Active (minor party)
The Conservatives, Konservativ, Luxembourg, 2017, —, Social conservatism/ national conservatism, Right-wing, Active (minor party)
Social Democratic Party, PSD, Luxembourg, 1971, 1984, Social democracy, Centre-left, Dissolved (merged into LSAP)
Independent Democratic Party, PDI, Luxembourg, 1986, 1994, Liberalism/ pension reform, Centre-right, Dissolved (merged into ADR)
Communist League, KBL, Luxembourg, 1970, 1999, Trotskyism/ socialism, Far-left, Dissolved (merged into déi Lénk)
Social Democrats, A / S, Denmark, 1871, —, Social democracy/ democratic socialism, Centre-left, Active
Venstre – Denmark's Liberal Party, V, Denmark, 1870, —, Liberalism/ agrarianism/ economic liberalism, Centre-right, Active
Danish People's Party, DF / O, Denmark, 1995, —, National conservatism/ Danish nationalism/ immigration restrictionism, Right-wing, Active
Socialist People's Party, SF / F, Denmark, 1959, —, Democratic socialism/ green politics/ social democracy, Left-wing, Active
Liberal Alliance, LA / I, Denmark, 2007, —, Classical liberalism/ economic liberalism/ libertarianism, Centre-right / Right-wing, Active
Moderates, M, Denmark, 2022, —, Social liberalism/ centrism/ liberalism, Centre, Active
Conservative People's Party, KF / C, Denmark, 1916, —, Conservatism/ Christian democracy/ economic liberalism, Centre-right, Active
Red–Green Alliance, Enhedslisten, Denmark, 1989, —, Democratic socialism/ ecosocialism/ feminism, Left-wing, Active
Denmark Democrats, DD / Æ, Denmark, 2022, —, National conservatism/ social conservatism/ regionalism, Right-wing, Active
Danish Social Liberal Party, RV / B, Denmark, 1905, —, Social liberalism/ progressivism/ pro-Europeanism, Centre / Centre-left, Active
The Alternative, ALT / Å, Denmark, 2013, —, Green politics/ progressivism/ social liberalism, Centre-left / Green, Active
Citizens' Party, BP / H, Denmark, 2024, —, National conservatism/ populism/ immigration restrictionism, Right-wing / Populist, Active
Justice Party of Denmark, Retsforbundet, Denmark, 1919, 1982, Georgism/ social liberalism, Centre, Dissolved
Communist Party of Denmark, DKP, Denmark, 1919, —, Communism/ Marxism-Leninism, Far-left, Active
Centre Democrats, CD, Denmark, 1973, 2008, Social liberalism/ centrism, Centre, Dissolved
Progress Party, FP, Denmark, 1972, 1999, Classical liberalism/ tax opposition/ populism, Right-wing, Dissolved
Danish Union, Danmarks Retsforbund, Denmark, 1919, 1982, Georgism/ liberalism, Centre, Dissolved
Danish Nazi Party, DNSAP, Denmark, 1930, 1945, Nazism/ fascism, Far-right, Dissolved
Common Course, Fælles Kurs, Denmark, 1986, 1991, Left-wing populism/ socialism, Left-wing, Dissolved
New Alliance, Ny Alliance, Denmark, 2007, 2008, Liberalism/ social liberalism, Centre, Dissolved
New Conservatives, Nye Borgerlige, Denmark, 2015, 2024, National conservatism/ economic liberalism, Right-wing, Dissolved
