413, Payload Too Large, The request is larger than the server is willing or able to process. Previously called "Request Entity Too Large".: §10.4.14 , client errors, 
414, URI Too Long, The URI provided was too long for the server to process. Often the result of too much data being encoded as a query-string of a GET request in which case it should be converted to a POST request. Called "Request-URI Too Long" previously.: §10.4.15 , client errors, 
415, Unsupported Media Type, The request entity has a media type which the server or resource does not support. For example the client uploads an image as image/svg+xml but the server requires that images use a different format., client errors, 
416, Range Not Satisfiable, The client has asked for a portion of the file (byte serving) but the server cannot supply that portion. For example if the client asked for a part of the file that lies beyond the end of the file. Called "Requested Range Not Satisfiable" previously.: §10.4.17 , client errors, 
417, Expectation Failed, The server cannot meet the requirements of the Expect request-header field., client errors, 
418, I'm a teapot (RFC 2324; RFC 7168), This code was defined in 1998 as one of the traditional IETF April Fools' jokes in RFC 2324 Hyper Text Coffee Pot Control Protocol and is not expected to be implemented by actual HTTP servers. The RFC specifies this code should be returned by teapots requested to brew coffee. This HTTP status is used as an Easter egg in some websites such as Google.com's "I'm a teapot" easter egg. Sometimes this status code is also used as a response to a blocked request instead of the more appropriate 403 Forbidden., client errors, 
421, Misdirected Request, The request was directed at a server that is not able to produce a response (for example because of connection reuse)., client errors, 
422, Unprocessable Content, The request was well-formed (i.e. syntactically correct) but could not be processed.: §15.5.21 , client errors, 
423, Locked (WebDAV; RFC 4918), The resource that is being accessed is locked., client errors, 
424, Failed Dependency (WebDAV; RFC 4918), The request failed because it depended on another request and that request failed (e.g. a PROPPATCH)., client errors, 
425, Too Early (RFC 8470), Indicates that the server is unwilling to risk processing a request that might be replayed., client errors, 
426, Upgrade Required, The client should switch to a different protocol such as TLS/1.3 given in the Upgrade header field., client errors, 
428, Precondition Required (RFC 6585), The origin server requires the request to be conditional. Intended to prevent the 'lost update' problem where a client GETs a resource's state modifies it and PUTs it back to the server when meanwhile a third party has modified the state on the server leading to a conflict., client errors, 
429, Too Many Requests (RFC 6585), The user has sent too many requests in a given amount of time. Intended for use with rate-limiting schemes., client errors, 
431, Request Header Fields Too Large (RFC 6585), The server is unwilling to process the request because either an individual header field or all the header fields collectively are too large., client errors, 
451, Unavailable For Legal Reasons (RFC 7725), A server operator has received a legal demand to deny access to a resource or to a set of resources that includes the requested resource. The code 451 was chosen as a reference to the novel Fahrenheit 451 (see the Acknowledgements in the RFC)., client errors, 
500, Internal Server Error, A generic error message given when an unexpected condition was encountered and no more specific message is suitable., server errors, 
501, Not Implemented, The server either does not recognize the request method or it lacks the ability to fulfil the request. Usually this implies future availability (e.g. a new feature of a web-service API)., server errors, 
502, Bad Gateway, The server was acting as a gateway or proxy and received an invalid response from the upstream server., server errors, 
503, Service Unavailable, The server cannot handle the request (because it is overloaded or down for maintenance). Generally this is a temporary state., server errors, 
504, Gateway Timeout, The server was acting as a gateway or proxy and did not receive a timely response from the upstream server., server errors, 
505, HTTP Version Not Supported, The server does not support the HTTP version used in the request., server errors, 
506, Variant Also Negotiates (RFC 2295), Transparent content negotiation for the request results in a circular reference., server errors, 
507, Insufficient Storage (WebDAV; RFC 4918), The server is unable to store the representation needed to complete the request., server errors, 
508, Loop Detected (WebDAV; RFC 5842), The server detected an infinite loop while processing the request (sent instead of 208 Already Reported)., server errors, 
510, Not Extended (RFC 2774), Further extensions to the request are required for the server to fulfil it., server errors, 
511, Network Authentication Required (RFC 6585), The client needs to authenticate to gain network access. Intended for use by intercepting proxies used to control access to the network (e.g. "captive portals" used to require agreement to Terms of Service before granting full Internet access via a Wi-Fi hotspot)., server errors, 
