Country,week day,day,meaning,type,notes
antigua-and-barbuda,Saturday,Dec 26,Boxing Day,National Holiday,
argentina,Thursday,Jan 01,New Year's Day,National Holiday,
argentina,Monday,Feb 16,Carnival Monday,National Holiday,Monday before Ash Wednesday
argentina,Tuesday,Feb 17,Carnival Tuesday,National Holiday,Tuesday before Ash Wednesday
argentina,Tuesday,Mar 24,Truth and Justice Memorial Day,National Holiday,
argentina,Thursday,Apr 02,Malvinas Day,National Holiday,Veteran's Day
argentina,Thursday,Apr 02,Maundy Thursday,Not A Public Holiday,International Catholic holiday (optional)
argentina,Friday,Apr 03,Good Friday,National Holiday,
argentina,Friday,May 01,Labour Day,National Holiday,International Workers' Day
argentina,Monday,May 25,May Day Revolution,National Holiday,
argentina,Monday,Jun 15,Martin Miguel de Guemes Day,National Holiday,To be confirmed
argentina,Saturday,Jun 20,National Flag Day,National Holiday,
argentina,Sunday,Jun 21,Father's Day,Not A Public Holiday,3rd Sunday in June. Not a public holiday
argentina,Saturday,Jun 27,Day of the State Worker,Government Holiday,Public sector only
argentina,Thursday,Jul 09,Independence Day,National Holiday,
argentina,Monday,Aug 17,San Martin's Day,National Holiday,
argentina,Monday,Oct 12,Day of respect for cultural diversity,National Holiday,
argentina,Sunday,Oct 18,Mother's Day,Not A Public Holiday,3rd Sunday in October
argentina,Friday,Nov 20,Day of National Sovereignty,National Holiday,Monday before November 20th
argentina,Tuesday,Dec 08,Immaculate Conception Day,National Holiday,Also known as Virgins Day
argentina,Friday,Dec 25,Christmas Day,National Holiday,
armenia,Thursday,Jan 01,New Year's Day,
armenia,Tuesday,Jan 06,Christmas Day,
armenia,Wednesday,Jan 28,National Army Day,
armenia,Sunday,Mar 08,Women's Day,
armenia,Monday,Apr 06,Easter Monday,Merelots
armenia,Friday,Apr 24,Genocide Memorial Day,
armenia,Friday,May 01,Labor Day,International Workers' Day
armenia,Saturday,May 09,Victory Day,
armenia,Thursday,May 28,Day of the First Republic,National Day
armenia,Sunday,Jul 05,Constitution Day,
armenia,Friday,Sep 18,Exaltation of the Holy Cross,Merelots
armenia,Monday,Sep 21,Independence Day,
armenia,Thursday,Dec 31,New Year's Eve,
aruba,Thursday,Jan 01,New Year's Day,National Holiday,
aruba,Sunday,Jan 25,Betico Croes Day,National Holiday,
aruba,Monday,Feb 16,Carnival Monday,National Holiday,Monday before Ash Wednesday
aruba,Wednesday,Mar 18,National Anthem and Flag Day,National Holiday,National Day
aruba,Friday,Apr 03,Good Friday,National Holiday,
aruba,Monday,Apr 06,Easter Monday,National Holiday,
aruba,Monday,Apr 27,King's Birthday,National Holiday,National Day
aruba,Friday,May 01,Labour Day,National Holiday,International Workers' Day
aruba,Thursday,May 14,Ascension Day,National Holiday,39 days after Easter Sunday
aruba,Friday,Dec 25,Christmas Day,National Holiday,
aruba,Saturday,Dec 26,Boxing Day,National Holiday,
australia,Thursday,Jan 01,New Year's Day,National Holiday,
australia,Monday,Jan 26,Australia Day,National Holiday,
australia,Monday,Feb 09,Royal Hobart Regatta,Regional Holiday,Tasmania Regional
australia,Monday,Mar 02,Labour Day,Regional Holiday,WA
australia,Monday,Mar 09,Canberra Day,Regional Holiday,ACT. Second Monday in March
australia,Monday,Mar 09,Adelaide Cup,Regional Holiday,2nd Monday in March. SA
australia,Monday,Mar 09,Labour Day,Regional Holiday,VIC; TAS
australia,Friday,Apr 03,Good Friday,National Holiday,
australia,Saturday,Apr 04,Holy Saturday,Regional Holiday,Except TAS; WA
australia,Sunday,Apr 05,Easter Sunday,Regional Holiday,ACT; NSW; QLD; VIC; WA
australia,Monday,Apr 06,Easter Monday,National Holiday,Monday after Easter Sunday
australia,Tuesday,Apr 07,Easter Tuesday,Government Holiday,Tasmania. Government only
australia,Saturday,Apr 25,Anzac Day,National Holiday,
australia,Monday,Apr 27,Anzac Day (in lieu),Regional Holiday,ACT; WA
australia,Monday,May 04,Labour Day,Regional Holiday,QLD; NT
australia,Sunday,May 10,Mother's Day,Not A Public Holiday,2nd Sunday in May. Not a public holiday
australia,Monday,Jun 01,Western Australia Day,Regional Holiday,First Monday in June. WA
australia,Monday,Jun 01,Reconciliation Day,Regional Holiday,ACT
australia,Monday,Jun 08,King's Birthday,Regional Holiday,2nd Monday in June. except QLD; WA
australia,Monday,Aug 03,Picnic Day,Regional Holiday,1st Monday in August. NT
australia,Monday,Aug 03,Bank Holiday,Not A Public Holiday,New South Wales. Banks only
australia,Wednesday,Aug 12,Ekka People's Day,Regional Holiday,Royal Queensland Show. Brisbane
australia,Sunday,Sep 06,Father's Day,Not A Public Holiday,1st Sunday in September. Not a public holiday
australia,Friday,Sep 25,Grand Final Eve,Regional Holiday,Victoria. Probable Date
australia,Monday,Sep 28,King's Birthday,Regional Holiday,Last Monday in September. WA Only
australia,Monday,Oct 05,Labour Day,Regional Holiday,NSW; ACT; SA
australia,Monday,Oct 05,King's Birthday,Regional Holiday,1st Monday in October. QLD
australia,Monday,Nov 02,Recreation Day,Regional Holiday,Tasmania regional
australia,Tuesday,Nov 03,Melbourne Cup Day,Regional Holiday,1st Tuesday in November. VIC
australia,Thursday,Dec 24,Christmas Eve,Regional Holiday,South Australia. From 7pm - midnight
australia,Thursday,Dec 24,Christmas Eve,Regional Holiday,Northern Territory. From 7pm - midnight
australia,Thursday,Dec 24,Christmas Eve,Regional Holiday,Queensland. From 6pm - midnight
australia,Friday,Dec 25,Christmas Day,National Holiday,
australia,Saturday,Dec 26,Boxing Day,Regional Holiday,Except South Australia
australia,Monday,Dec 28,Proclamation Day,Regional Holiday,South Australia
australia,Monday,Dec 28,Boxing Day (in lieu),Regional Holiday,Except South Australia
australia,Thursday,Dec 31,New Year's Eve,Regional Holiday,Northern Territory. From 7pm - midnight
australia,Thursday,Dec 31,New Year's Eve,Regional Holiday,South Australia. From 7pm - midnight
austria,Thursday,Jan 01,New Year's Day,National Holiday,
austria,Tuesday,Jan 06,Epiphany,National Holiday,
austria,Friday,Apr 03,Good Friday,Not A Public Holiday,de facto
austria,Monday,Apr 06,Easter Monday,National Holiday,
austria,Friday,May 01,Labour Day,National Holiday,International Workers' Day
austria,Sunday,May 10,Mother's Day,Not A Public Holiday,2nd Sunday in May. Not a public holiday
austria,Thursday,May 14,Ascension Day,National Holiday,39 days after Easter Sunday
austria,Monday,May 25,Whit Monday,National Holiday,7th Monday after Easter
austria,Thursday,Jun 04,Corpus Christi,National Holiday,Second Thursday after Whitsun
austria,Sunday,Jun 14,Father's Day,Not A Public Holiday,2nd Sunday in June. Not a public holiday
austria,Saturday,Aug 15,Assumption Day,National Holiday,
austria,Thursday,Sep 24,Saint Rupert's Day,Regional Holiday,Salzburg
austria,Monday,Oct 26,National Day,National Holiday,
austria,Sunday,Nov 01,All Saints' Day,National Holiday,
austria,Sunday,Nov 15,Saint Leopold's Day,Regional Holiday,Vienna
austria,Tuesday,Dec 08,Immaculate Conception Day,National Holiday,
austria,Friday,Dec 25,Christmas Day,National Holiday,
austria,Saturday,Dec 26,St. Stephen's Day,National Holiday,
austria,Thursday,Dec 31,New Year's Eve,Not A Public Holiday,de facto
azerbaijan,Thursday,Jan 01,New Year's Day,National Holiday,
azerbaijan,Friday,Jan 02,Day after New Year,National Holiday,
azerbaijan,Tuesday,Jan 20,Martyrs' Day,National Holiday,
azerbaijan,Sunday,Mar 08,Women's Day,National Holiday,
azerbaijan,Monday,Mar 09,Women's Day (in lieu),National Holiday,
azerbaijan,Friday,Mar 20,Ramazan Bayrami,National Holiday,Eid Al-Fitr
azerbaijan,Friday,Mar 20,Novruz,National Holiday,Spring Festival. Persian New Year.
azerbaijan,Saturday,Mar 21,Ramazan Bayrami Holiday,National Holiday,
azerbaijan,Saturday,Mar 21,Novruz Holiday,National Holiday,
azerbaijan,Sunday,Mar 22,Novruz Holiday,National Holiday,
azerbaijan,Monday,Mar 23,Novruz Holiday,National Holiday,
azerbaijan,Saturday,May 09,Victory Day,National Holiday,
azerbaijan,Thursday,May 28,Republic Day,National Holiday,National Day
azerbaijan,Thursday,May 28,Gurban Bayrami,National Holiday,Feast of the Sacrifice
azerbaijan,Friday,May 29,Gurban Bayrami Holiday,National Holiday,
azerbaijan,Monday,Jun 15,National Salvation Day,National Holiday,15 June or following Monday
azerbaijan,Friday,Jun 26,Armed Forces Day,National Holiday,
azerbaijan,Sunday,Oct 18,Independence Day,Not A Public Holiday,Not a non-working day
azerbaijan,Sunday,Nov 08,Azerbaijani Victory Day,National Holiday,
azerbaijan,Monday,Nov 09,Flag Day,National Holiday,
azerbaijan,Tuesday,Nov 10,Azerbaijani Victory Day (in lieu),National Holiday,
azerbaijan,Thursday,Dec 31,World Azerbaijanis Solidarity Day,National Holiday,
bahamas,Thursday,Jan 01,New Year's Day,National Holiday,
bahamas,Monday,Jan 12,Majority Rule Day (in lieu),National Holiday,10th January
bahamas,Friday,Apr 03,Good Friday,National Holiday,
bahamas,Monday,Apr 06,Easter Monday,National Holiday,
bahamas,Monday,May 25,Whit Monday,National Holiday,7th Monday after Easter
bahamas,Friday,Jun 05,Randol Fawkes Labour Day,National Holiday,First Friday in June
bahamas,Friday,Jul 10,Independence Day,National Holiday,National Day
bahamas,Monday,Aug 03,Emancipation Day,National Holiday,First Monday in August
bahamas,Monday,Oct 12,National Heroes' Day,National Holiday,Second Monday in October
bahamas,Friday,Dec 25,Christmas Day,National Holiday,
bahamas,Saturday,Dec 26,Boxing Day,National Holiday,
bahrain,Thursday,Jan 01,New Year's Day,National Holiday,
bahrain,Friday,Mar 20,Eid Al Fitr,National Holiday,End of Ramadan
bahrain,Saturday,Mar 21,Eid Al Fitr Holiday,National Holiday,
bahrain,Sunday,Mar 22,Eid Al Fitr Holiday,National Holiday,
bahrain,Friday,May 01,Labour Day,National Holiday,International Workers' Day
bahrain,Wednesday,May 27,Arafat (Haj) Day,National Holiday,
bahrain,Thursday,May 28,Eid Al Adha,National Holiday,Feast of the Sacrifice
bahrain,Friday,May 29,Eid Al Adha Holiday,National Holiday,Feast of the Sacrifice
bahrain,Saturday,May 30,Eid Al Adha Holiday,National Holiday,Feast of the Sacrifice
bahrain,Tuesday,Jun 16,Hijri New Year,National Holiday,Hijri New Year
bahrain,Thursday,Jun 25,Ashoora Eve,National Holiday,9th day of Muharram
bahrain,Friday,Jun 26,Ashoora,National Holiday,9th day of Muharram
bahrain,Tuesday,Aug 25,Prophet's Birthday,National Holiday,Birthday of Prophet Muhammad
bahrain,Wednesday,Dec 16,National Day,National Holiday,Two day holiday
bahrain,Thursday,Dec 17,National Day Holiday,National Holiday,Two day holiday
bangladesh,Wednesday,Feb 04,Shab e-Barat,National Holiday,Executive Order
bangladesh,Saturday,Feb 21,Language Martyrs' Day,National Holiday,General Holiday
bangladesh,Tuesday,Mar 17,Shab-e-Qadr,National Holiday,Executive Order
bangladesh,Thursday,Mar 19,Eid al-Fitr Holiday,National Holiday,Executive Order
bangladesh,Friday,Mar 20,Jumatul Bidah,National Holiday,General Holiday
bangladesh,Friday,Mar 20,Eid al-Fitr Holiday,National Holiday,Executive Order
bangladesh,Saturday,Mar 21,Eid al-Fitr,National Holiday,General Holiday
bangladesh,Sunday,Mar 22,Eid al-Fitr Holiday,National Holiday,Executive Order
bangladesh,Monday,Mar 23,Eid al-Fitr Holiday,National Holiday,Executive Order
bangladesh,Thursday,Mar 26,Independence Day,National Holiday,General Holiday
bangladesh,Tuesday,Apr 14,Bengali New Year,National Holiday,Executive Order
bangladesh,Friday,May 01,Buddha Purnima,National Holiday,General Holiday
bangladesh,Friday,May 01,Labour Day,National Holiday,General Holiday
bangladesh,Tuesday,May 26,Eid-ul-Azha Holiday,National Holiday,Executive Order
bangladesh,Thursday,May 28,Eid-ul-Azha,National Holiday,General Holiday
bangladesh,Friday,May 29,Eid-ul-Azha Holiday,National Holiday,Executive Order
bangladesh,Saturday,May 30,Eid-ul-Azha Holiday,National Holiday,Executive Order
bangladesh,Sunday,May 31,Eid-ul-Azha Holiday,National Holiday,Executive Order
bangladesh,Tuesday,Jun 02,Eid-ul-Azha Holiday,National Holiday,Executive Order
bangladesh,Friday,Jun 26,Ashura,National Holiday,Executive Order
bangladesh,Wednesday,Aug 05,July Mass Uprising Day,National Holiday,General Holiday
bangladesh,Wednesday,Aug 26,Eid-e-Miladunnabi,National Holiday,General Holiday
bangladesh,Friday,Sep 04,Janmashtami,National Holiday,General Holiday
bangladesh,Tuesday,Oct 20,Navami of Durga Puja,National Holiday,Executive Order
bangladesh,Wednesday,Oct 21,Durga Puja,National Holiday,General Holiday
bangladesh,Wednesday,Dec 16,Victory Day,National Holiday,General Holiday
bangladesh,Friday,Dec 25,Christmas Day,National Holiday,General Holiday
barbados,Thursday,Jan 01,New Year's Day,Bank Holiday,
barbados,Wednesday,Jan 21,Errol Barrow Day,Bank Holiday,
barbados,Friday,Apr 03,Good Friday,Bank Holiday,
barbados,Monday,Apr 06,Easter Monday,Bank Holiday,
barbados,Tuesday,Apr 28,National Heroes' Day,Bank Holiday,
barbados,Friday,May 01,May Day,Bank Holiday,International Workers' Day
barbados,Monday,May 25,Whit Monday,Bank Holiday,7th Monday after Easter
barbados,Saturday,Aug 01,Emancipation Day,Bank Holiday,
barbados,Monday,Aug 03,Kadooment Day,Bank Holiday,1st Monday in August
barbados,Monday,Nov 30,Independence Day,Bank Holiday,National Day
barbados,Friday,Dec 25,Christmas Day,Bank Holiday,
barbados,Saturday,Dec 26,Boxing Day,Bank Holiday,
belarus,Thursday,Jan 01,New Year's Day,National Holiday,
belarus,Friday,Jan 02,Day after New Year's Day,National Holiday,
belarus,Wednesday,Jan 07,Orthodox Christmas,National Holiday,
belarus,Sunday,Mar 08,Women's Day,National Holiday,
belarus,Sunday,Apr 05,Easter Day (Catholic),Not A Public Holiday,
belarus,Sunday,Apr 12,Orthodox Easter Day,Not A Public Holiday,
belarus,Monday,Apr 20,Commemoration Day Holiday,National Holiday,Compensated by Sat 25 April
belarus,Tuesday,Apr 21,Commemoration Day,National Holiday,Radonitsa. 9 days after Orthodox Easter
belarus,Friday,May 01,Labour Day,National Holiday,International Workers' Day
belarus,Saturday,May 09,Victory Day,National Holiday,
belarus,Friday,Jul 03,Independence Day,National Holiday,Liberation of Belarus from the Nazis in 1944
belarus,Saturday,Nov 07,October Revolution Day,National Holiday,
belarus,Friday,Dec 25,Christmas Day (Catholic),National Holiday,
belgium,Thursday,Jan 01,New Year's Day,Public Holiday,
belgium,Tuesday,Jan 06,Three Kings' Day,Not A Public Holiday,Not a public holiday
belgium,Sunday,Apr 05,Easter Sunday,Public Holiday,
belgium,Monday,Apr 06,Easter Monday,Public Holiday,
belgium,Friday,May 01,Labour Day,Public Holiday,International Workers' Day
belgium,Sunday,May 10,Mother's Day,Not A Public Holiday,2nd Sunday in May
belgium,Thursday,May 14,Ascension Day,Public Holiday,39 days after Easter Sunday
belgium,Friday,May 15,Bank Holiday,Not A Public Holiday,Banks are closed
belgium,Sunday,May 24,Pentecost Sunday,Not A Public Holiday,50 Days after Easter
belgium,Monday,May 25,Pentecost Monday,Public Holiday,7th Monday after Easter
belgium,Sunday,Jun 14,Father's Day,Not A Public Holiday,2nd Sunday in June. Not a public holiday
belgium,Saturday,Jul 11,Celebration of the Golden Spurs,Government Holiday,Day of the Flemish Community
belgium,Tuesday,Jul 21,Independence Day,Public Holiday,National Day
belgium,Saturday,Aug 15,Assumption Day,Public Holiday,
belgium,Sunday,Sep 27,French Community Holiday,Regional Holiday,
belgium,Sunday,Nov 01,All Saints' Day,Public Holiday,
belgium,Monday,Nov 02,All Souls' Day,Not A Public Holiday,Not a public holiday
belgium,Wednesday,Nov 11,Armistice Day,Public Holiday,
belgium,Sunday,Nov 15,German Community Day,Regional Holiday,
belgium,Sunday,Dec 06,Feast of St. Nicholas,Not A Public Holiday,Not a public holiday
belgium,Friday,Dec 25,Christmas Day,Public Holiday,
belize,Thursday,Jan 01,New Year's Day,
belize,Thursday,Jan 15,George Price Day,
belize,Monday,Mar 09,National Heroes and Benefactors Day (in lieu),
belize,Friday,Apr 03,Good Friday,
belize,Saturday,Apr 04,Holy Saturday,
belize,Monday,Apr 06,Easter Monday,
belize,Friday,May 01,Labour Day,
belize,Saturday,Aug 01,Emancipation Day,
belize,Thursday,Sep 10,St. George's Caye Day,
belize,Monday,Sep 21,Independence Day,
belize,Monday,Oct 12,Indigenous People’s Resistance Day (in lieu),
belize,Thursday,Nov 19,Garifuna Settlement Day,
belize,Friday,Dec 25,Christmas Day,
belize,Saturday,Dec 26,Boxing Day,
benin,Thursday,Jan 01,New Year's Day,
benin,Saturday,Jan 10,Traditional Day,
benin,Friday,Mar 20,Korité,End of Ramadan
benin,Monday,Apr 06,Easter Monday,
benin,Friday,May 01,Labour Day,International Workers' Day
benin,Thursday,May 14,Ascension Day,39 days after Easter Sunday
benin,Monday,May 25,Whit Monday,7th Monday after Easter
benin,Thursday,May 28,Tabaski,Feast of the Sacrifice
benin,Saturday,Aug 01,Independence Day,National Day
benin,Saturday,Aug 15,Assumption Day,
benin,Tuesday,Aug 25,Prophet's Birthday,
benin,Sunday,Nov 01,All Saints' Day,
benin,Friday,Dec 25,Christmas Day,
bermuda,Thursday,Jan 01,New Year's Day,National Holiday,
bermuda,Friday,Apr 03,Good Friday,National Holiday,
bermuda,Friday,May 22,Bermuda Day,National Holiday,Friday before the final Monday of May
bermuda,Monday,Jun 15,National Heroes Day,National Holiday,Third Monday in June
bermuda,Thursday,Jul 30,Emancipation Day,National Holiday,Thursday before the first Monday of August
bermuda,Friday,Jul 31,Mary Prince Day,National Holiday,Friday before the first Monday in August
bermuda,Monday,Sep 07,Labour Day,National Holiday,First Monday in September
bermuda,Wednesday,Nov 11,Remembrance Day,National Holiday,Weekday nearest November 11
bermuda,Friday,Dec 25,Christmas Day,National Holiday,
bermuda,Saturday,Dec 26,Boxing Day,National Holiday,
bermuda,Monday,Dec 28,Boxing Day (in lieu),National Holiday,
bhutan,Friday,Jan 02,Winter Solstice,National Holiday,
bhutan,Monday,Jan 19,Traditional Day of Offering,National Holiday,
bhutan,Wednesday,Feb 18,Losar,National Holiday,Tibetan New Year
bhutan,Thursday,Feb 19,Losar Holiday,National Holiday,Tibetan New Year
bhutan,Saturday,Feb 21,Birth Anniversary Of His Majesty the King,National Holiday,
bhutan,Sunday,Feb 22,Birth Anniversary Of His Majesty the King Holiday,National Holiday,
bhutan,Monday,Feb 23,Birth Anniversary Of His Majesty the King Holiday,National Holiday,
bhutan,Sunday,Apr 26,Death Anniversary of Zhabdrung,National Holiday,
bhutan,Saturday,May 02,Birth Anniversary of the 3rd Druk Gyalpo,National Holiday,
bhutan,Sunday,May 31,Lord Buddha's Parinirvana ,National Holiday,
bhutan,Wednesday,Jun 24,Birth Anniversary Of Guru Rinpoche,National Holiday,
bhutan,Saturday,Jul 18,First Sermon Of Lord Buddha,National Holiday,
bhutan,Thursday,Sep 17,Thimphu Drubchen,Regional Holiday,Thimphu
bhutan,Monday,Sep 21,Thimphu Tshechu,Regional Holiday,Thimphu
bhutan,Tuesday,Sep 22,Thimphu Tshechu Holiday,Regional Holiday,Thimphu
bhutan,Wednesday,Sep 23,Blessed Rainy Day,National Holiday,
bhutan,Wednesday,Sep 23,Thimphu Tshechu Holiday,Regional Holiday,Thimphu
bhutan,Wednesday,Oct 21,Dassain,National Holiday,
bhutan,Sunday,Nov 01,Descending Day of Lord Buddha,National Holiday,
bhutan,Sunday,Nov 01,Coronation day of His Majesty the King,National Holiday,
bhutan,Wednesday,Nov 11,Birth Anniversary of the 4th Druk Gyalpo,National Holiday,Constitution Day
bhutan,Thursday,Dec 17,National Day,National Holiday,
