name,id,imageurl,xdescription,ydescription,height,category,weight,typeofpokemon/0,typeofpokemon/1,weaknesses/0,weaknesses/1,weaknesses/2,weaknesses/3,evolutions/0,evolutions/1,evolutions/2,abilities/0,hp,attack,defense,special_attack,special_defense,speed,total,male_percentage,female_percentage,genderless,cycles,egg_groups,evolvedfrom,reason,base_exp,weaknesses/4,evolutions/3,weaknesses/5,weaknesses/6,evolutions/4,evolutions/5,evolutions/6,evolutions/7,evolutions/8
Metapod,#011,https://assets.pokemon.com/assets/cms2/img/pokedex/full/011.png,The shell covering this Pokémon's body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,The shell covering this Pokémon's body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,"2' 04""",Cocoon,21.8 lbs,Bug,,Fire,Flying,Rock,,#010,#011,#012,Shed Skin,20,10,30,10,10,20,100,50%,50%,0,15 ,Bug ,#010,(Level 7),72,,,,,,,,,
Butterfree,#012,https://assets.pokemon.com/assets/cms2/img/pokedex/full/012.png,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.","Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.","3' 07""",Butterfly,70.5 lbs,Bug,Flying,Rock,Electric,Fire,Flying,#010,#011,#012,Compound Eyes,30,20,20,40,30,40,180,50%,50%,0,15 ,Bug ,#011,(Level 10),178,Ice,,,,,,,,
Weedle,#013,https://assets.pokemon.com/assets/cms2/img/pokedex/full/013.png,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,"1' 00""",Hairy Bug,7.1 lbs,Bug,Poison,Fire,Flying,Psychic,Rock,#013,#014,#015,Shield Dust,20,20,20,10,10,30,110,50%,50%,0,15 ,Bug ,,,39,,,,,,,,,
Kakuna,#014,https://assets.pokemon.com/assets/cms2/img/pokedex/full/014.png,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.","Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.","2' 00""",Cocoon,22.0 lbs,Bug,Poison,Fire,Flying,Psychic,Rock,#013,#014,#015,Shed Skin,20,10,20,10,10,20,90,50%,50%,0,15 ,Bug ,#013,(Level 7),72,,,,,,,,,
Beedrill,#015,https://assets.pokemon.com/assets/cms2/img/pokedex/full/015.png,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.","Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.","3' 03""",Poison Bee,65.0 lbs,Bug,Poison,Fire,Flying,Psychic,Rock,#013,#014,#015,Swarm,30,50,20,20,30,40,190,50%,50%,0,15 ,Bug ,#014,(Level 10),178,,,,,,,,,
Pidgey,#016,https://assets.pokemon.com/assets/cms2/img/pokedex/full/016.png,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.","Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.","1' 00""",Tiny Bird,4.0 lbs,Normal,Flying,Electric,Ice,Rock,,#016,#017,#018,Keen Eye,20,20,20,20,20,30,130,50%,50%,0,15 ,Flying ,,,50,,,,,,,,,
Pidgeotto,#017,https://assets.pokemon.com/assets/cms2/img/pokedex/full/017.png,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.","Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.","3' 07""",Bird,66.1 lbs,Normal,Flying,Electric,Ice,Rock,,#016,#017,#018,Keen Eye,30,30,30,20,20,40,170,50%,50%,0,15 ,Flying ,#016,(Level 18),122,,,,,,,,,
Pidgeot,#018,https://assets.pokemon.com/assets/cms2/img/pokedex/full/018.png,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.","This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.","4' 11""",Bird,87.1 lbs,Normal,Flying,Electric,Ice,Rock,,#016,#017,#018,Keen Eye,30,40,30,30,30,50,210,50%,50%,0,15 ,Flying ,#017,(Level 36),216,,,,,,,,,
Rattata,#019,https://assets.pokemon.com/assets/cms2/img/pokedex/full/019.png,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.","Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.","1' 00""",Mouse,7.7 lbs,Normal,,Fighting,,,,#019,#020,,Run Away,20,30,20,10,20,40,140,50%,50%,0,15 ,Field ,,,51,,,,,,,,,
Raticate,#020,https://assets.pokemon.com/assets/cms2/img/pokedex/full/020.png,"Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.","Raticate's sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.","2' 04""",Mouse,40.8 lbs,Normal,,Fighting,,,,#019,#020,,Run Away,20,40,30,20,30,50,190,50%,50%,0,15 ,Field ,#019,(Level 20),145,,,,,,,,,
Spearow,#021,https://assets.pokemon.com/assets/cms2/img/pokedex/full/021.png,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.","Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.","1' 00""",Tiny Bird,4.4 lbs,Normal,Flying,Electric,Ice,Rock,,#021,#022,,Keen Eye,20,30,20,20,10,40,140,50%,50%,0,15 ,Flying ,,,52,,,,,,,,,
Fearow,#022,https://assets.pokemon.com/assets/cms2/img/pokedex/full/022.png,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,"3' 11""",Beak,83.8 lbs,Normal,Flying,Electric,Ice,Rock,,#021,#022,,Keen Eye,30,50,30,30,30,50,220,50%,50%,0,15 ,Flying ,#021,(Level 20),155,,,,,,,,,
Ekans,#023,https://assets.pokemon.com/assets/cms2/img/pokedex/full/023.png,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,"6' 07""",Snake,15.2 lbs,Poison,,Ground,Psychic,,,#023,#024,,Shed Skin,20,30,20,20,20,30,140,50%,50%,0,20 ,"Dragon, Field ",,,58,,,,,,,,,
Arbok,#024,https://assets.pokemon.com/assets/cms2/img/pokedex/full/024.png,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.","This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.","11' 06""",Cobra,143.3 lbs,Poison,,Ground,Psychic,,,#023,#024,,Shed Skin,30,40,30,30,30,40,200,50%,50%,0,20 ,"Dragon, Field ",#023,(Level 22),157,,,,,,,,,
Pikachu,#025,https://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.,"Whenever Pikachu comes across something new, it blasts it with a jolt of electricity. If you come across a blackened berry, it's evidence that this Pokémon mistook the intensity of its charge.","1' 04""",Mouse,13.2 lbs,Electric,,Ground,,,,#172,#025,#026,Static,20,30,20,20,20,50,160,50%,50%,0,10 ,"Fairy, Field ",#172,(high Friendship),112,,,,,,,,,
Raichu,#026,https://assets.pokemon.com/assets/cms2/img/pokedex/full/026.png,This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.,"If the electrical sacs become excessively charged, Raichu plants its tail in the ground and discharges. Scorched patches of ground will be found near this Pokémon's nest.","2' 07""",Mouse,66.1 lbs,Electric,,Ground,,,,#172,#025,#026,Static,30,50,30,40,30,60,240,50%,50%,0,10 ,"Fairy, Field ",#025,(use Thunder Stone),218,,,,,,,,,
Sandshrew,#027,https://assets.pokemon.com/assets/cms2/img/pokedex/full/027.png,"Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.","Sandshrew's body is configured to absorb water without waste, enabling it to survive in an arid desert. This Pokémon curls up to protect itself from its enemies.","2' 00""",Mouse,26.5 lbs,Ground,,Grass,Ice,Water,,#027,#028,,Sand Veil,20,40,40,10,10,20,140,50%,50%,0,20 ,Field ,,,60,,,,,,,,,
Sandslash,#028,https://assets.pokemon.com/assets/cms2/img/pokedex/full/028.png,"Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.","Sandslash's body is covered by tough spikes, which are hardened sections of its hide. Once a year, the old spikes fall out, to be replaced with new spikes that grow out from beneath the old ones.","3' 03""",Mouse,65.0 lbs,Ground,,Grass,Ice,Water,,#027,#028,,Sand Veil,30,50,50,20,20,40,210,50%,50%,0,20 ,Field ,#027,(Level 22),158,,,,,,,,,
Nidoran♀,#029,https://assets.pokemon.com/assets/cms2/img/pokedex/full/029.png,"Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokémon. When enraged, it releases a horrible toxin from its horn.","Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokémon. When enraged, it releases a horrible toxin from its horn.","1' 04""",Poison Pin,15.4 lbs,Poison,,Ground,Psychic,,,#029,#030,#031,Poison Point,20,30,20,20,20,20,130,0%,100%,0,20 ,"Field, Monster ",,,55,,,,,,,,,
Nidorina,#030,https://assets.pokemon.com/assets/cms2/img/pokedex/full/030.png,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.","When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.","2' 07""",Poison Pin,44.1 lbs,Poison,,Ground,Psychic,,,#029,#030,#031,Poison Point,30,30,30,30,20,30,170,0%,100%,0,20 ,Undiscovered ,#029,(Level 16),128,,,,,,,,,
Nidoqueen,#031,https://assets.pokemon.com/assets/cms2/img/pokedex/full/031.png,Nidoqueen's body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,Nidoqueen's body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,"4' 03""",Drill,132.3 lbs,Poison,Ground,Ground,Ice,Psychic,Water,#029,#030,#031,Poison Point,40,50,40,40,40,40,250,0%,100%,0,20 ,Undiscovered ,#030,(use Moon Stone),227,,,,,,,,,
Nidoran♂,#032,https://assets.pokemon.com/assets/cms2/img/pokedex/full/032.png,"Nidoran♂ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon's notice.","Nidoran♂ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon's notice.","1' 08""",Poison Pin,19.8 lbs,Poison,,Ground,Psychic,,,#032,#033,#034,Poison Point,20,30,20,20,20,30,140,100%,0%,0,20 ,"Field, Monster ",,,55,,,,,,,,,
Nidorino,#033,https://assets.pokemon.com/assets/cms2/img/pokedex/full/033.png,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.","Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.","2' 11""",Poison Pin,43.0 lbs,Poison,,Ground,Psychic,,,#032,#033,#034,Poison Point,30,40,30,30,20,40,190,100%,0%,0,20 ,"Field, Monster ",#032,(Level 16),128,,,,,,,,,
Nidoking,#034,https://assets.pokemon.com/assets/cms2/img/pokedex/full/034.png,"Nidoking's thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.","Nidoking's thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.","4' 07""",Drill,136.7 lbs,Poison,Ground,Ground,Ice,Psychic,Water,#032,#033,#034,Poison Point,30,50,30,40,30,50,230,100%,0%,0,20 ,"Field, Monster ",#033,(use Moon Stone),227,,,,,,,,,
Clefairy,#035,https://assets.pokemon.com/assets/cms2/img/pokedex/full/035.png,"On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.","On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.","2' 00""",Fairy,16.5 lbs,Fairy,,Steel,Poison,,,#173,#035,#036,Cute Charm,30,20,20,30,30,20,150,25%,75%,0,10 ,Fairy ,#173,(high Friendship),113,,,,,,,,,
Clefable,#036,https://assets.pokemon.com/assets/cms2/img/pokedex/full/036.png,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.","Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.","4' 03""",Fairy,88.2 lbs,Fairy,,Steel,Poison,,,#173,#035,#036,Cute Charm,40,40,30,50,40,30,230,25%,75%,0,10 ,Fairy ,#035,(use Moon Stone),217,,,,,,,,,
Vulpix,#037,https://assets.pokemon.com/assets/cms2/img/pokedex/full/037.png,"Inside Vulpix's body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot.","At the time of its birth, Vulpix has one white tail. The tail separates into six if this Pokémon receives plenty of love from its Trainer. The six tails become magnificently curled.","2' 00""",Fox,21.8 lbs,Fire,,Ground,Rock,Water,,#037,#038,,Flash Fire,20,20,20,20,30,40,150,25%,75%,0,20 ,Field ,,,60,,,,,,,,,
Ninetales,#038,https://assets.pokemon.com/assets/cms2/img/pokedex/full/038.png,Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.,Ninetales casts a sinister light from its bright red eyes to gain total control over its foe's mind. This Pokémon is said to live for a thousand years.,"3' 07""",Fox,43.9 lbs,Fire,,Ground,Rock,Water,,#037,#038,,Flash Fire,30,40,30,40,40,50,230,25%,75%,0,20 ,Field ,#037,(use Fire Stone),177,,,,,,,,,
Jigglypuff,#039,https://assets.pokemon.com/assets/cms2/img/pokedex/full/039.png,"When this Pokémon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life.",Jigglypuff's vocal cords can freely adjust the wavelength of its voice. This Pokémon uses this ability to sing at precisely the right wavelength to make its foes most drowsy.,"1' 08""",Balloon,12.1 lbs,Normal,Fairy,Steel,Poison,,,#174,#039,#040,Cute Charm,50,20,10,20,10,10,120,25%,75%,0,10 ,Fairy ,#174,(high Friendship),95,,,,,,,,,
Wigglytuff,#040,https://assets.pokemon.com/assets/cms2/img/pokedex/full/040.png,"Wigglytuff's body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon.","Wigglytuff has large, saucerlike eyes. The surfaces of its eyes are always covered with a thin layer of tears. If any dust gets in this Pokémon's eyes, it is quickly washed away.","3' 03""",Balloon,26.5 lbs,Normal,Fairy,Steel,Poison,,,#174,#039,#040,Cute Charm,50,40,20,40,20,30,200,25%,75%,0,10 ,Fairy ,#039,(use Moon Stone),196,,,,,,,,,
Zubat,#041,https://assets.pokemon.com/assets/cms2/img/pokedex/full/041.png,"Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down.",Zubat remains quietly unmoving in a dark spot during the bright daylight hours. It does so because prolonged exposure to the sun causes its body to become slightly burned.,"2' 07""",Bat,16.5 lbs,Poison,Flying,Electric,Ice,Psychic,Rock,#041,#042,#169,Inner Focus,20,20,20,10,20,30,120,50%,50%,0,15 ,Flying ,,,49,,,,,,,,,
Golbat,#042,https://assets.pokemon.com/assets/cms2/img/pokedex/full/042.png,"Golbat bites down on prey with its four fangs and drinks the victim's blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon.","Golbat loves to drink the blood of living things. It is particularly active in the pitch black of night. This Pokémon flits around in the night skies, seeking fresh blood.","5' 03""",Bat,121.3 lbs,Poison,Flying,Electric,Ice,Psychic,Rock,#041,#042,#169,Inner Focus,30,40,30,30,30,50,210,50%,50%,0,15 ,Flying ,#041,(Level 22),159,,,,,,,,,
Oddish,#043,https://assets.pokemon.com/assets/cms2/img/pokedex/full/043.png,"Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon's feet are thought to change shape and become similar to the roots of trees.","During the daytime, Oddish buries itself in soil to absorb nutrients from the ground using its entire body. The more fertile the soil, the glossier its leaves become.","1' 08""",Weed,11.9 lbs,Grass,Poison,Fire,Flying,Ice,Psychic,#043,#044,#045,Chlorophyll,20,30,30,40,30,20,170,50%,50%,0,20 ,Grass ,,,64,,#182,,,,,,,
Gloom,#044,https://assets.pokemon.com/assets/cms2/img/pokedex/full/044.png,"From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.","Gloom releases a foul fragrance from the pistil of its flower. When faced with danger, the stench worsens. If this Pokémon is feeling calm and secure, it does not release its usual stinky aroma.","2' 07""",Weed,19.0 lbs,Grass,Poison,Fire,Flying,Ice,Psychic,#043,#044,#045,Chlorophyll,30,30,30,40,30,20,180,50%,50%,0,20 ,Grass ,#043,(Level 21),138,,#182,,,,,,,
Vileplume,#045,https://assets.pokemon.com/assets/cms2/img/pokedex/full/045.png,"Vileplume has the world's largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them.","Vileplume's toxic pollen triggers atrocious allergy attacks. That's why it is advisable never to approach any attractive flowers in a jungle, however pretty they may be.","3' 11""",Flower,41.0 lbs,Grass,Poison,Fire,Flying,Ice,Psychic,#043,#044,#045,Chlorophyll,30,40,40,50,40,30,230,50%,50%,0,20 ,Grass ,#044,(use Leaf Stone),221,,#182,,,,,,,
Paras,#046,https://assets.pokemon.com/assets/cms2/img/pokedex/full/046.png,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,"1' 00""",Mushroom,11.9 lbs,Bug,Grass,Fire,Flying,Bug,Ice,#046,#047,,Effect Spore,20,40,30,20,20,20,150,50%,50%,0,20 ,"Bug, Grass ",,,57,Poison,,Rock,,,,,,
Parasect,#047,https://assets.pokemon.com/assets/cms2/img/pokedex/full/047.png,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.","Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.","3' 03""",Mushroom,65.0 lbs,Bug,Grass,Fire,Flying,Bug,Ice,#046,#047,,Effect Spore,30,50,40,30,30,20,200,50%,50%,0,20 ,"Bug, Grass ",#046,(Level 24),142,Poison,,Rock,,,,,,
Venonat,#048,https://assets.pokemon.com/assets/cms2/img/pokedex/full/048.png,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.","Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.","3' 03""",Insect,66.1 lbs,Bug,Poison,Fire,Flying,Psychic,Rock,#048,#049,,Compound Eyes,30,30,20,20,20,30,150,50%,50%,0,20 ,Bug ,,,61,,,,,,,,,
Venomoth,#049,https://assets.pokemon.com/assets/cms2/img/pokedex/full/049.png,"Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.","Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.","4' 11""",Poison Moth,27.6 lbs,Bug,Poison,Fire,Flying,Psychic,Rock,#048,#049,,Shield Dust,30,30,30,40,30,50,210,50%,50%,0,20 ,Bug ,#048,(Level 31),158,,,,,,,,,
