Kingdom, Name, Birthdate, Deathdate, Reign start, Reign end, Dynasty, Other names
Spain, Charles II, 1661-11-06, 1700-11-01, 1665, 1700, House of Habsburg, Charles the Bewitched
Spain, Philip V, 1683-12-19, 1746-07-09, 1700, 1724, House of Bourbon, Philip of Anjou
Spain, Louis I, 1707-08-25, 1724-08-31, 1724, 1724, House of Bourbon, 
Spain, Philip V, 1683-12-19, 1746-07-09, 1724, 1746, House of Bourbon, (Second reign)
Spain, Ferdinand VI, 1713-09-23, 1759-08-10, 1746, 1759, House of Bourbon, Ferdinand the Learned
Spain, Charles III, 1716-01-20, 1788-12-14, 1759, 1788, House of Bourbon, Charles the Enlightened
Spain, Charles IV, 1748-11-11, 1819-01-20, 1788, 1808, House of Bourbon, 
Spain, Ferdinand VII, 1784-10-14, 1833-09-29, 1808, 1808, House of Bourbon, 
Spain, Joseph I, 1768-01-07, 1844-07-28, 1808, 1813, House of Bonaparte, Joseph Bonaparte
Spain, Ferdinand VII, 1784-10-14, 1833-09-29, 1813, 1833, House of Bourbon, (Restored)
Spain, Isabella II, 1830-10-10, 1904-04-09, 1833, 1868, House of Bourbon, 
Spain, Amadeo I, 1845-05-30, 1890-01-18, 1870, 1873, House of Savoy, Amadeus of Savoy
Spain, Alfonso XII, 1857-11-28, 1885-11-25, 1874, 1885, House of Bourbon, 
Spain, Alfonso XIII, 1886-05-17, 1941-02-28, 1886, 1931, House of Bourbon, 
Spain, Juan Carlos I, 1938-01-05, , 1975, 2014, House of Bourbon, 
Spain, Felipe VI, 1968-01-30, , 2014, Present, House of Bourbon, 
County of Portugal, Vímara Peres, ca. 820, 873, 868, 873, House of Vímara, 
County of Portugal, Lucídio Vimaranes, , 922, 873, 924, House of Vímara, 
County of Portugal, Hermenegildo González, , , c.924, c.950, House of Vímara, 
County of Portugal, Mumadona Dias, , , c.924, c.950, House of Vímara, 
County of Portugal, Gonzalo Menéndez, , , c.950, 997, House of Vímara, 
County of Portugal, Menendo González, , , 997, 1008, House of Vímara, 
County of Portugal, Alvito Nunes, , , 1008, 1015, House of Vímara, 
County of Portugal, Nuno Alvites, , , 1017, 1028, House of Vímara, 
County of Portugal, Ilduara Mendes, , , 1017, 1028, House of Vímara, 
County of Portugal, Mendo Nunes, , , 1028, 1050, House of Vímara, 
County of Portugal, Nuno Mendes, , , 1050, 1071, House of Vímara, 
County of Portugal, Henry, , , 1096, 1112, House of Burgundy, 
County of Portugal, Theresa, , , 1096, 1128, House of Burgundy, 
County of Portugal, Afonso, , , 1112/1128, 1143, House of Burgundy, 
Portugal, Afonso I, 1109-07-25, 1185-12-06, 1139, 1185, House of Burgundy - Afonsine Dynasty, Afonso Henriques; The Conqueror; The Great; The Founder; The Father of the Nation
Portugal, Sancho I, 1154-11-11, 1211-03-26, 1185, 1211, House of Burgundy - Afonsine Dynasty, Sancho the Populator
Portugal, Afonso II, 1185-04-23, 1223-03-25, 1211, 1223, House of Burgundy - Afonsine Dynasty, Afonso the Fat
Portugal, Sancho II, 1207-09-08, 1248-01-04, 1223, 1247, House of Burgundy - Afonsine Dynasty, Sancho the Capable
Portugal, Afonso III, 1210-05-05, 1279-02-16, 1248, 1279, House of Burgundy - Afonsine Dynasty, Afonso the Bolonhese
Portugal, Dinis I, 1261-10-09, 1325-01-07, 1279, 1325, House of Burgundy - Afonsine Dynasty, Dinis the Farmer
Portugal, Afonso IV, 1291-02-08, 1357-05-28, 1325, 1357, House of Burgundy - Afonsine Dynasty, Afonso the Brave
Portugal, Peter I, 1320-04-08, 1367-01-18, 1357, 1367, House of Burgundy - Afonsine Dynasty, Peter the Just
Portugal, Ferdinand I, 1345-10-31, 1383-10-22, 1367, 1383, House of Burgundy - Afonsine Dynasty, Ferdinand the Handsome
Portugal, John I, 1357-04-11, 1433-08-14, 1385, 1433, House of Aviz - Johanine Dynasty, John of Aviz
Portugal, Edward, 1391-10-31, 1438-09-09, 1433, 1438, House of Aviz - Johanine Dynasty, Edward the Eloquent
Portugal, Afonso V, 1432-01-15, 1481-08-28, 1438, 1481, House of Aviz - Johanine Dynasty, Afonso the African
Portugal, John II, 1455-05-03, 1495-10-25, 1481, 1495, House of Aviz - Johanine Dynasty, John the Perfect Prince
Portugal, Manuel I, 1469-05-31, 1521-12-13, 1495, 1521, House of Aviz - Johanine Dynasty, Manuel the Fortunate
Portugal, John III, 1502-06-06, 1557-06-11, 1521, 1557, House of Aviz - Johanine Dynasty, John the Pious
Portugal, Sebastian I, 1554-01-20, 1578-08-04, 1557, 1578, House of Aviz - Johanine Dynasty, Sebastian the Desired
Portugal, Philip I, 1527-05-21, 1598-09-13, 1580, 1598, House of Habsburg - Brigantine Dynasty, Philip II of Spain
Portugal, Philip II, 1578-04-14, 1621-03-31, 1598, 1621, House of Habsburg - Brigantine Dynasty, Philip III of Spain
Portugal, Philip III, 1605-04-08, 1665-09-17, 1621, 1640, House of Habsburg - Brigantine Dynasty, Philip IV of Spain
Portugal, John IV, 1604-03-19, 1656-11-06, 1640, 1656, House of Habsburg - Brigantine Dynasty, The Restorer
Portugal, Afonso VI, 1643-08-21, 1683-09-12, 1656, 1683, House of Habsburg - Brigantine Dynasty, Afonso the Victorious
Portugal, Peter II, 1648-04-26, 1706-12-09, 1683, 1706, House of Habsburg - Brigantine Dynasty, Regent before king
Portugal, John V, 1689-10-22, 1750-07-31, 1706, 1750, House of Habsburg - Brigantine Dynasty, John the Magnanimous
Portugal, Joseph I, 1714-06-06, 1777-02-24, 1750, 1777, House of Habsburg - Brigantine Dynasty, Joseph the Reformer
Portugal, Maria I, 1734-12-17, 1816-03-20, 1777, 1816, House of Habsburg - Brigantine Dynasty, Maria the Pious / the Mad
Portugal, John VI, 1767-05-13, 1826-03-10, 1816, 1826, House of Habsburg - Brigantine Dynasty, King of Portugal & Brazil
Portugal, Peter IV, 1798-10-12, 1834-09-24, 1826, 1826, House of Habsburg - Brigantine Dynasty, Pedro I of Brazil
Portugal, Miguel I, 1802-10-26, 1866-11-14, 1828, 1834, House of Habsburg - Brigantine Dynasty, Miguel the Absolutist
Portugal, Maria II, 1819-04-04, 1853-11-15, 1826, 1853, House of Habsburg - Brigantine Dynasty, Queen regnant
Portugal, Peter V, 1837-09-16, 1861-11-11, 1853, 1861, House of Habsburg - Brigantine Dynasty, 
Portugal, Louis I, 1838-10-31, 1889-10-19, 1861, 1889, House of Habsburg - Brigantine Dynasty, 
Portugal, Charles I, 1863-09-28, 1908-02-01, 1889, 1908, House of Habsburg - Brigantine Dynasty, 
Portugal, Manuel II, 1889-11-15, 1932-07-02, 1908, 1910, House of Habsburg - Brigantine Dynasty, Last King of Portugal
France, Clovis I, c.466, 0511-11-27, 481, 511, Merovingian, King of the Franks
France, Childebert I, c.496, 558, 511, 558, Merovingian, 
France, Clotaire I, c.497, 561, 558, 561, Merovingian, 
France, Charibert I, c.517, 567, 561, 567, Merovingian, 
France, Guntram, c.532, 592, 561, 592, Merovingian, 
France, Chilperic I, c.539, 584, 561, 584, Merovingian, 
France, Clotaire II, 584, 629, 584, 629, Merovingian, 
France, Dagobert I, 603, 639, 629, 639, Merovingian, 
France, Clovis II, 633, 657, 639, 657, Merovingian, 
France, Chlothar III, 652, 673, 657, 673, Merovingian, 
France, Theuderic III, 657, 691, 673, 691, Merovingian, 
France, Clovis IV, c.677, 694, 691, 694, Merovingian, 
France, Childebert III, c.683, 711, 694, 711, Merovingian, 
France, Dagobert III, c.699, 715, 711, 715, Merovingian, 
France, Chilperic II, c.672, 721, 715, 721, Merovingian, 
France, Theuderic IV, c.713, 737, 721, 737, Merovingian, 
France, Pepin the Short, 714, 0768-09-24, 751, 768, Carolingian, Pepin III
France, Charlemagne, 0742-04-02, 0814-01-28, 768, 814, Carolingian, Charles the Great
France, Louis I, 0778-04-16, 0840-06-20, 814, 840, Carolingian, Louis the Pious
France, Charles II, 0823-06-13, 0877-10-06, 843, 877, Carolingian, Charles the Bald
France, Louis II, 0846-11-01, 0879-04-10, 877, 879, Carolingian, Louis the Stammerer
France, Louis III, 863, 882, 879, 882, Carolingian, 
France, Carloman II, 866, 884, 879, 884, Carolingian, 
France, Charles III, 839, 888, 884, 888, Carolingian, Charles the Fat
France, Odo, c.860, 898, 888, 898, Robertian, 
France, Charles III, 0879-09-17, 0929-10-07, 898, 922, Carolingian, Charles the Simple
France, Robert I, 866, 923, 922, 923, Robertian, 
France, Rudolph, c.890, 936, 923, 936, Bosonid, 
France, Louis IV, 920, 954, 936, 954, Carolingian, Louis d’Outremer
France, Lothair, 941, 986, 954, 986, Carolingian, 
France, Louis V, 967, 987, 986, 987, Carolingian, Louis the Sluggard
France, Hugh Capet, 939, 0996-10-24, 987, 996, Capetian, 
France, Robert II, 0972-03-27, 1031-07-20, 996, 1031, Capetian, Robert the Pious
France, Henry I, 1008, 1060-08-04, 1031, 1060, Capetian, 
France, Philip I, 1052-05-23, 1108-07-29, 1060, 1108, Capetian, 
France, Louis VI, 1081-12-01, 1137-08-01, 1108, 1137, Capetian, Louis the Fat
France, Louis VII, 1120, 1180-09-18, 1137, 1180, Capetian, Louis the Young
France, Philip II, 1165-08-21, 1223-07-14, 1180, 1223, Capetian, Philip Augustus
France, Louis VIII, 1187-09-05, 1226-11-08, 1223, 1226, Capetian, 
France, Louis IX, 1214-04-25, 1270-08-25, 1226, 1270, Capetian, Saint Louis
France, Philip III, 1245-04-30, 1285-10-05, 1270, 1285, Capetian, Philip the Bold
France, Philip IV, 1268, 1314-11-29, 1285, 1314, Capetian, Philip the Fair
France, Louis X, 1289-10-04, 1316-06-05, 1314, 1316, Capetian, 
France, John I, 1316-11-15, 1316-11-19, 1316, 1316, Capetian, John the Posthumous
France, Philip V, 1293, 1322-01-03, 1316, 1322, Capetian, Philip the Tall
France, Charles IV, 1294, 1328-02-01, 1322, 1328, Capetian, Charles the Fair
France, Philip VI, 1293, 1350-08-22, 1328, 1350, Valois, 
France, John II, 1319-04-26, 1364-04-08, 1350, 1364, Valois, John the Good
France, Charles V, 1338-01-21, 1380-09-16, 1364, 1380, Valois, Charles the Wise
France, Charles VI, 1368-12-03, 1422-10-21, 1380, 1422, Valois, Charles the Mad
France, Charles VII, 1403-02-22, 1461-07-22, 1422, 1461, Valois, 
France, Louis XI, 1423-07-03, 1483-08-30, 1461, 1483, Valois, 
France, Charles VIII, 1470-06-30, 1498-04-07, 1483, 1498, Valois, 
France, Louis XII, 1462-06-27, 1515-01-01, 1498, 1515, Valois-Orléans, Father of the People
France, Francis I, 1494-09-12, 1547-03-31, 1515, 1547, Valois-Angoulême, 
France, Henry II, 1519-03-31, 1559-07-10, 1547, 1559, Valois, 
France, Francis II, 1544-01-19, 1560-12-05, 1559, 1560, Valois, 
France, Charles IX, 1550-06-27, 1574-05-30, 1560, 1574, Valois, 
France, Henry III, 1551-09-19, 1589-08-02, 1574, 1589, Valois, 
France, Henry IV, 1553-12-13, 1610-05-14, 1589, 1610, Bourbon, Henry of Navarre
France, Louis XIII, 1601-09-27, 1643-05-14, 1610, 1643, Bourbon, 
France, Louis XIV, 1638-09-05, 1715-09-01, 1643, 1715, Bourbon, The Sun King
France, Louis XV, 1710-02-15, 1774-05-10, 1715, 1774, Bourbon, 
France, Louis XVI, 1754-08-23, 1793-01-21, 1774, 1792, Bourbon, 
France, Louis XVIII, 1755-11-17, 1824-09-16, 1814, 1824, Bourbon, Restored
France, Charles X, 1757-10-09, 1836-11-06, 1824, 1830, Bourbon, 
France, Louis Philippe I, 1773-10-06, 1850-08-26, 1830, 1848, House of Orléans, King of the French
England, Æthelstan, 894, 0939-10-27, 924, 939, House of Wessex, First King of England
England, Edmund I, 921, 0946-05-26, 939, 946, Wessex, Edmund the Magnificent
England, Eadred, 923, 0955-11-23, 946, 955, Wessex, 
England, Eadwig, 940, 0959-10-01, 955, 959, Wessex, Eadwig All-Fair
England, Edgar, 943, 0975-07-08, 959, 975, Wessex, Edgar the Peaceful
England, Edward the Martyr, 962, 0978-03-18, 975, 978, Wessex, 
England, Æthelred II, 966, 1016-04-23, 978, 1013, Wessex, Æthelred the Unready
England, Sweyn Forkbeard, c.960, 1014-02-03, 1013, 1014, House of Denmark, 
England, Æthelred II, 966, 1016-04-23, 1014, 1016, Wessex, (Restored)
England, Edmund II, 990, 1016-11-30, 1016, 1016, Wessex, Edmund Ironside
England, Cnut, c.995, 1035-11-12, 1016, 1035, House of Denmark, Canute the Great
England, Harold I, c.1015, 1040-03-17, 1035, 1040, Denmark, Harold Harefoot
England, Harthacnut, 1018, 1042-06-08, 1040, 1042, Denmark, 
England, Edward the Confessor, 1003, 1066-01-05, 1042, 1066, House of Wessex, 
England, Harold II, 1022, 1066-10-14, 1066, 1066, House of Godwin, 
England, William I, 1028, 1087-09-09, 1066, 1087, House of Normandy, William the Conqueror
England, William II, 1056, 1100-08-02, 1087, 1100, Normandy, William Rufus
England, Henry I, 1068, 1135-12-01, 1100, 1135, Normandy, 
England, Stephen, 1092, 1154-10-25, 1135, 1154, House of Blois, 
England, Henry II, 1133-03-05, 1189-07-06, 1154, 1189, Plantagenet, 
England, Richard I, 1157-09-08, 1199-04-06, 1189, 1199, Plantagenet, Richard the Lionheart
England, John, 1166-12-24, 1216-10-19, 1199, 1216, Plantagenet, John Lackland
England, Henry III, 1207-10-01, 1272-11-16, 1216, 1272, Plantagenet, 
England, Edward I, 1239-06-17, 1307-07-07, 1272, 1307, Plantagenet, Edward Longshanks
England, Edward II, 1284-04-25, 1327-09-21, 1307, 1327, Plantagenet, 
England, Edward III, 1312-11-13, 1377-06-21, 1327, 1377, Plantagenet, 
England, Richard II, 1367-01-06, 1400-02-14, 1377, 1399, Plantagenet, 
England, Henry IV, 1367-04-03, 1413-03-20, 1399, 1413, House of Lancaster, 
England, Henry V, 1386-09-16, 1422-08-31, 1413, 1422, Lancaster, 
England, Henry VI, 1421-12-06, 1471-05-21, 1422, 1461, Lancaster, 
England, Edward IV, 1442-04-28, 1483-04-09, 1461, 1470, House of York, 
England, Henry VI, 1421-12-06, 1471-05-21, 1470, 1471, Lancaster, (Restored)
England, Edward IV, 1442-04-28, 1483-04-09, 1471, 1483, York, (Restored)
England, Edward V, 1470-11-02, 1483, 1483, 1483, York, One of the Princes in the Tower
England, Richard III, 1452-10-02, 1485-08-22, 1483, 1485, House of York, 
England, Henry VII, 1457-01-28, 1509-04-21, 1485, 1509, Tudor, 
England, Henry VIII, 1491-06-28, 1547-01-28, 1509, 1547, Tudor, 
England, Edward VI, 1537-10-12, 1553-07-06, 1547, 1553, Tudor, 
England, Mary I, 1516-02-18, 1558-11-17, 1553, 1558, Tudor, Bloody Mary
England, Elizabeth I, 1533-09-07, 1603-03-24, 1558, 1603, Tudor, The Virgin Queen
England, James I, 1566-06-19, 1625-03-27, 1603, 1625, House of Stuart, James VI of Scotland
England, Charles I, 1600-11-19, 1649-01-30, 1625, 1649, Stuart, 
England, (Monarchy abolished), , , 1649, 1660, , Commonwealth
England, Charles II, 1630-05-29, 1685-02-06, 1660, 1685, Stuart, 
England, James II, 1633-10-14, 1701-09-16, 1685, 1688, Stuart, 
England, William III, 1650-11-14, 1702-03-08, 1689, 1702, House of Orange-Nassau, William of Orange
England, Mary II, 1662-04-30, 1694-12-28, 1689, 1694, Stuart, Co-monarch
England, Anne, 1665-02-06, 1714-08-01, 1702, 1707, Stuart, Last Queen of England
Great Britain, Anne, 1665-02-06, 1714-08-01, 1707, 1714, House of Stuart, Last Stuart monarch
Great Britain, George I, 1660-05-28, 1727-06-11, 1714, 1727, House of Hanover, Elector of Hanover
Great Britain, George II, 1683-10-30, 1760-10-25, 1727, 1760, Hanover, 
Great Britain, George III, 1738-06-04, 1820-01-29, 1760, 1801, Hanover, King during American Revolution
United Kingdom, George III, 1738-06-04, 1820-01-29, 1801, 1820, House of Hanover, (United Kingdom)
United Kingdom, George IV, 1762-08-12, 1830-06-26, 1820, 1830, Hanover, 
United Kingdom, William IV, 1765-08-21, 1837-06-20, 1830, 1837, Hanover, Sailor King
United Kingdom, Victoria, 1819-05-24, 1901-01-22, 1837, 1901, House of Hanover, Empress of India
United Kingdom, Edward VII, 1841-11-09, 1910-05-06, 1901, 1910, House of Saxe-Coburg and Gotha, 
United Kingdom, George V, 1865-06-03, 1936-01-20, 1910, 1936, House of Windsor, Dynasty renamed 1917
United Kingdom, Edward VIII, 1894-06-23, 1972-05-28, 1936, 1936, Windsor, Abdicated
United Kingdom, George VI, 1895-12-14, 1952-02-06, 1936, 1952, Windsor, 
United Kingdom, Elizabeth II, 1926-04-21, 2022-09-08, 1952, 2022, Windsor, Longest-reigning monarch
United Kingdom, Charles III, 1948-11-14, , 2022, Present, Windsor, 
Holland, Louis I, 1778-09-02, 1846-07-25, 5 June 1806, 1 July 1810, House of Bonaparte, Louis Bonaparte
Holland, Louis II, 1804-10-11, 1831-03-17, 1 July 1810, 13 July 1810, House of Bonaparte, 
Netherlands, William I, 1772-08-24, 1843-12-12, 1815-03-16, 1840-10-07, House of Orange-Nassau, 
Netherlands, William II, 1792-12-06, 1849-03-17, 1840-10-07, 1849-03-17, House of Orange-Nassau, 
Netherlands, William III, 1817-02-19, 1890-11-23, 1849-03-17, 1890-11-23, House of Orange-Nassau, 
Netherlands, Wilhelmina, 1880-08-31, 1962-11-28, 1890-11-23, 1948-09-04, House of Orange-Nassau, Queen regnant
Netherlands, Juliana, 1909-04-30, 2004-03-20, 1948-09-04, 1980-04-30, House of Orange-Nassau, Queen regnant
Netherlands, Beatrix, 1938-01-31, , 1980-04-30, 2013-04-30, House of Orange-Nassau, Queen regnant
Netherlands, Willem-Alexander, 1967-04-27, , 2013-04-30, Present, House of Orange-Nassau, 
