Legislature, Session, Date, Nº, Type, Iniciative, Author, Text, In favor, Against, Abstention, Results
XII, 2, 13 April 2012, 8, Projeto de Resolução, 283/XII/1.ª (n.ºs 24), PS, "Medidas adicionais ligadas ao Tratado de Estabilidade", PS, PSD; CDSPP; PCP; PEV, BE, Rejeitados
XII, 2, 13 April 2012, 9, Proposta de Lei, 50/XII/1.ª, Governo, "Alteração à Lei de Imigração (Lei n.º 23/2007)", PSD; CDSPP, PCP; BE; PEV, PS, Aprovada
XII, 2, 13 April 2012, 10, Projeto de Lei, 206/XII/1.ª, PCP, "Regularização de cidadãos estrangeiros indocumentados", PCP; BE; PEV, PSD; PS; CDSPP, , Rejeitado
XII, 2, 13 April 2012, 11, Projeto de Lei, 25/XII/1.ª, BE, "Efeito suspensivo dos recursos na Lei de Imigração", PCP; BE; PEV, PSD; PS; CDSPP, , Rejeitado
XII, 2, 13 April 2012, 12, Projeto de Lei, 215/XII/1.ª, BE, "Regularização de trabalhadores imigrantes e menores", PCP; BE; PEV, PSD; PS; CDSPP, , Rejeitado
XII, 2, 13 April 2012, 13, Texto de Substituição, —, PSD / CDSPP / BE, "Inquéritos parlamentares às PPP rodoviárias, ferroviárias e saúde", , , , Aprovado por unanimidade
XII, 2, 13 April 2012, 14, Inquérito Parlamentar, 4/XII/1.ª, PSD / CDSPP, "Renegociação de concessões rodoviárias", , , , Prejudicado
XII, 2, 13 April 2012, 15, Inquérito Parlamentar, 5/XII/1.ª, BE, "PPP nos setores ferroviário, rodoviário e saúde", , , , Prejudicado
XII, 2, 13 April 2012, 16, Projeto de Resolução, 222/XII/1.ª, PCP, "Reativação das emissões em Onda Curta da RDP Internacional", PS; PCP; BE; PEV, PSD; CDSPP, , Rejeitado
XII, 2, 13 April 2012, 17, Projeto de Resolução, 251/XII/1.ª, BE, "Reposição imediata das emissões da RDP Internacional em Onda Curta", PS; PCP; BE; PEV, PSD; CDSPP, , Rejeitado
XII, 2, 13 April 2012, 18, Votação na Especialidade, —, Comissão, "Reorganização administrativa territorial autárquica (PL 44/XII)", , , , Aprovado por unanimidade
XII, 2, 13 April 2012, 19, Votação Final Global, —, Comissão, "Reorganização administrativa territorial autárquica (PL 44/XII)", PSD; CDSPP, PS; PCP; BE; PEV, 1 Deputado do PS, Aprovado
XII, 2, 13 April 2012, 20, Voto, 57/XII/1.ª, PSD, PS, CDSPP, "Condenação do golpe militar na GuinéBissau", , , , Aprovado por unanimidade
