FNT 1010, Fontana, Fontana, 
GSM 9010, Għajnsielem, Għajnsielem, 
GSM 9011, Għajnsielem, Għajnsielem, 
GSM 9012, Għajnsielem, Għajnsielem, 
GSM 9030, Għajnsielem, Għajnsielem, 
GSM 9031, Għajnsielem, Għajnsielem, 
GSM 9033, Għajnsielem, Għajnsielem, 
GSM 9034, Għajnsielem, Għajnsielem, 
GRB 1010, Għarb, Għarb, 
GRB 1011, Għarb, Għarb, 
GRB 1012, Għarb, Għarb, 
GRB 1013, Għarb, Għarb, 
GRB 1014, Għarb, Għarb, 
GRB 1015, Għarb, Għarb, 
GRB 1020, Għarb, Għarb, 
GRB 1021, Għarb, Għarb, 
GRB 1022, Għarb, Għarb, 
GRB 1023, Għarb, Għarb, 
GRB 1025, Għarb, Għarb, 
GRB 1031, Għarb, Għarb, 
GRB 1033, Għarb, Għarb, 
GRB 1040, Għarb, Għarb, 
GRB 1042, Għarb, Għarb, 
GRB 1043, Għarb, Għarb, 
GRB 1044, Għarb, Għarb, 
GRB 1045, Għarb, Għarb, 
GRB 1046, Għarb, Għarb, 
GRB 1050, Għarb, Għarb, 
GRB 1053, Għarb, Għarb, 
GRB 1055, Għarb, Għarb, 
GRB 1060, Għarb, Għarb, 
GRB 1061, Għarb, Għarb, 
GRB 1062, Għarb, Għarb, 
GRB 1063, Għarb, Għarb, 
GRB 1064, Għarb, Għarb, 
GRB 1065, Għarb, Għarb, 
GRB 1070, Għarb, Għarb, 
GRB 1071, Għarb, Għarb, 
GRB 1072, Għarb, Għarb, 
GRB 1073, Għarb, Għarb, 
GRB 1080, Għarb, Għarb, 
GRB 1081, Għarb, Għarb, 
GRB 1082, Għarb, Għarb, 
GRB 1083, Għarb, Għarb, 
GRB 1100, Għarb, Għarb, 
GRB 1102, Għarb, Għarb, 
GRB 1103, Għarb, Għarb, 
GRB 1110, Għarb, Għarb, 
GRB 1120, Għarb, Għarb, 
GRB 1121, Għarb, Għarb, 
GRB 1122, Għarb, Għarb, 
GRB 1123, Għarb, Għarb, 
GRB 1131, Għarb, Għarb, 
GRB 1140, Għarb, Għarb, 
GRB 1141, Għarb, Għarb, 
GRB 1151, Għarb, Għarb, 
GRB 1161, Għarb, Għarb, 
GRB 1200, Għarb, Għarb, 
GRB 1201, Għarb, Għarb, 
GRB 1202, Għarb, Għarb, 
GRB 1203, Għarb, Għarb, 
GRB 1210, Għarb, Għarb, 
GRB 1211, Għarb, Għarb, 
GRB 1212, Għarb, Għarb, 
GRB 1213, Għarb, Għarb, 
GRB 1220, Għarb, Għarb, 
GRB 1221, Għarb, Għarb, 
GRB 1230, Għarb, Għarb, 
GRB 1231, Għarb, Għarb, 
GRB 1240, Għarb, Għarb, 
GRB 1241, Għarb, Għarb, 
GRB 1242, Għarb, Għarb, 
GRB 1243, Għarb, Għarb, 
GRB 1250, Għarb, Għarb, 
GRB 1251, Għarb, Għarb, 
GRB 1253, Għarb, Għarb, 
GRB 1260, Għarb, Għarb, 
GRB 1261, Għarb, Għarb, 
GRB 1262, Għarb, Għarb, 
GRB 1263, Għarb, Għarb, 
GRB 1264, Għarb, Għarb, 
GRB 1270, Għarb, Għarb, 
GRB 1271, Għarb, Għarb, 
GRB 1280, Għarb, Għarb, 
GRB 1300, Għarb, Għarb, 
GRB 1301, Għarb, Għarb, 
GRB 1310, Għarb, Għarb, 
GRB 1311, Għarb, Għarb, 
GRB 1312, Għarb, Għarb, 
GRB 1320, Għarb, Għarb, 
GRB 1321, Għarb, Għarb, 
GRB 1322, Għarb, Għarb, 
GRB 1323, Għarb, Għarb, 
GRB 1324, Għarb, Għarb, 
GRB 1325, Għarb, Għarb, 
GRB 1340, Għarb, Għarb, 
GRB 1400, Għarb, Għarb, 
GRB 1401, Għarb, Għarb, 
GRB 1402, Għarb, Għarb, 
GRB 1403, Għarb, Għarb, 
GRB 1404, Għarb, Għarb, 
GRB 1405, Għarb, Għarb, 
GRB 1410, Għarb, Għarb, 
GRB 1430, Għarb, Għarb, 
GRB 1431, Għarb, Għarb, 
GRB 1432, Għarb, Għarb, 
GRB 1434, Għarb, Għarb, 
GRB 1435, Għarb, Għarb, 
GRB 1436, Għarb, Għarb, 
GRB 1437, Għarb, Għarb, 
GRB 1440, Għarb, Għarb, 
GRB 1441, Għarb, Għarb, 
GRB 1442, Għarb, Għarb, 
GRB 1500, Għarb, Għarb, 
GRB 1501, Għarb, Għarb, 
GRB 1502, Għarb, Għarb, 
GRB 1503, Għarb, Għarb, 
GRB 1504, Għarb, Għarb, 
GRB 1505, Għarb, Għarb, 
GRB 1506, Għarb, Għarb, 
GRB 1507, Għarb, Għarb, 
GRB 1520, Għarb, Għarb, 
GRB 1521, Għarb, Għarb, 
GRB 1522, Għarb, Għarb, 
GRB 1523, Għarb, Għarb, 
GRB 1541, Għarb, Għarb, 
GRB 1701, Għarb, Għarb, 
GRB 1702, Għarb, Għarb, 
GRB 1704, Għarb, Għarb, 
GRB 1705, Għarb, Għarb, 
GRB 1710, Għarb, Għarb, 
GRB 4000, Għarb, Għarb, 
GSR 1011, Għasri, Għasri, 
GSR 1012, Għasri, Għasri, 
GSR 1013, Għasri, Għasri, 
GSR 1020, Għasri, Għasri, 
GSR 1021, Għasri, Għasri, 
GSR 1022, Għasri, Għasri, 
GSR 1023, Għasri, Għasri, 
GSR 1030, Għasri, Għasri, 
GSR 1031, Għasri, Għasri, 
GSR 1040, Għasri, Għasri, 
GSR 1041, Għasri, Għasri, 
GSR 1051, Għasri, Għasri, 
GSR 1100, Għasri, Għasri, 
GSR 1101, Għasri, Għasri, 
GSR 1102, Għasri, Għasri, 
GSR 1103, Għasri, Għasri, 
GSR 1104, Għasri, Għasri, 
GSR 1107, Għasri, Għasri, 
GSR 1111, Għasri, Għasri, 
GSR 1120, Għasri, Għasri, 
GSR 1130, Għasri, Għasri, 
GSR 1140, Għasri, Għasri, 
GSR 1141, Għasri, Għasri, 
GSR 1145, Għasri, Għasri, 
GSR 1150, Għasri, Għasri, 
GSR 1152, Għasri, Għasri, 
GSR 1154, Għasri, Għasri, 
GSR 1155, Għasri, Għasri, 
GSR 1200, Għasri, Għasri, 
GSR 1201, Għasri, Għasri, 
GSR 1203, Għasri, Għasri, 
GSR 1205, Għasri, Għasri, 
GSR 1206, Għasri, Għasri, 
GSR 1207, Għasri, Għasri, 
GSR 1208, Għasri, Għasri, 
GSR 1209, Għasri, Għasri, 
GSR 1210, Għasri, Għasri, 
GSR 1250, Għasri, Għasri, 
GSR 1250, Għasri, Għasri, 
GSR 1251, Għasri, Għasri, 
GSR 1252, Għasri, Għasri, 
GSR 1253, Għasri, Għasri, 
GSR 1300, Għasri, Għasri, 
GSR 1301, Għasri, Għasri, 
GSR 1302, Għasri, Għasri, 
GSR 1303, Għasri, Għasri, 
GSR 1304, Għasri, Għasri, 
GSR 1306, Għasri, Għasri, 
GSR 1312, Għasri, Għasri, 
GSR 1313, Għasri, Għasri, 
GSR 1320, Għasri, Għasri, 
GSR 1321, Għasri, Għasri, 
GSR 1330, Għasri, Għasri, 
GSR 1340, Għasri, Għasri, 
GSR 1350, Għasri, Għasri, 
GSR 2961, Għasri, Għasri, 
GSR 2962, Għasri, Għasri, 
KCM 1010, Kerċem, Kerċem, 
KCM 1011, Kerċem, Kerċem, 
KCM 1013, Kerċem, Kerċem, 
KCM 1015, Kerċem, Kerċem, 
KCM 1021, Kerċem, Kerċem, 
KCM 1030, Kerċem, Kerċem, 
KCM 1040, Kerċem, Kerċem, 
KCM 1041, Kerċem, Kerċem, 
KCM 1050, Kerċem, Kerċem, 
KCM 1051, Kerċem, Kerċem, 
KCM 1052, Kerċem, Kerċem, 
KCM 1053, Kerċem, Kerċem, 
KCM 1063, Kerċem, Kerċem, 
KCM 1070, Kerċem, Kerċem, 
KCM 1080, Kerċem, Kerċem, 
KCM 1081, Kerċem, Kerċem, 
KCM 1082, Kerċem, Kerċem, 
KCM 1083, Kerċem, Kerċem, 
KCM 1110, Kerċem, Kerċem, 
KCM 1111, Kerċem, Kerċem, 
KCM 1112, Kerċem, Kerċem, 
KCM 1113, Kerċem, Kerċem, 
KCM 1114, Kerċem, Kerċem, 
KCM 1115, Kerċem, Kerċem, 
KCM 1120, Kerċem, Kerċem, 
KCM 1121, Kerċem, Kerċem, 
KCM 1123, Kerċem, Kerċem, 
KCM 1124, Kerċem, Kerċem, 
KCM 1125, Kerċem, Kerċem, 
KCM 1130, Kerċem, Kerċem, 
KCM 1131, Kerċem, Kerċem, 
KCM 1141, Kerċem, Kerċem, 
KCM 1143, Kerċem, Kerċem, 
KCM 1144, Kerċem, Kerċem, 
KCM 1154, Kerċem, Kerċem, 
KCM 1155, Kerċem, Kerċem, 
KCM 1156, Kerċem, Kerċem, 
KCM 1157, Kerċem, Kerċem, 
KCM 1160, Kerċem, Kerċem, 
KCM 1161, Kerċem, Kerċem, 
KCM 1162, Kerċem, Kerċem, 
KCM 1163, Kerċem, Kerċem, 
KCM 1170, Kerċem, Kerċem, 
KCM 1180, Kerċem, Kerċem, 
KCM 1181, Kerċem, Kerċem, 
KCM 1190, Kerċem, Kerċem, 
KCM 1191, Kerċem, Kerċem, 
KCM 1192, Kerċem, Kerċem, 
KCM 1193, Kerċem, Kerċem, 
KCM 1195, Kerċem, Kerċem, 
KCM 1200, Kerċem, Kerċem, 
KCM 1201, Kerċem, Kerċem, 
KCM 1202, Kerċem, Kerċem, 
KCM 1210, Kerċem, Kerċem, 
KCM 1220, Kerċem, Kerċem, 
KCM 1221, Kerċem, Kerċem, 
KCM 1230, Kerċem, Kerċem, 
KCM 1231, Kerċem, Kerċem, 
KCM 1232, Kerċem, Kerċem, 
KCM 1233, Kerċem, Kerċem, 
KCM 1234, Kerċem, Kerċem, 
KCM 1235, Kerċem, Kerċem, 
KCM 1240, Kerċem, Kerċem, 
KCM 1241, Kerċem, Kerċem, 
KCM 1250, Kerċem, Kerċem, 
KCM 1251, Kerċem, Kerċem, 
KCM 1252, Kerċem, Kerċem, 
KCM 1253, Kerċem, Kerċem, 
KCM 1254, Kerċem, Kerċem, 
KCM 1260, Kerċem, Kerċem, 
KCM 1261, Kerċem, Kerċem, 
KCM 1262, Kerċem, Kerċem, 
KCM 1264, Kerċem, Kerċem, 
KCM 1265, Kerċem, Kerċem, 
KCM 1280, Kerċem, Kerċem, 
KCM 1281, Kerċem, Kerċem, 
KCM 1300, Kerċem, Kerċem, 
KCM 1301, Kerċem, Kerċem, 
KCM 1302, Kerċem, Kerċem, 
KCM 1310, Kerċem, Kerċem, 
KCM 1311, Kerċem, Kerċem, 
KCM 1312, Kerċem, Kerċem, 
KCM 1313, Kerċem, Kerċem, 
KCM 1314, Kerċem, Kerċem, 
KCM 1315, Kerċem, Kerċem, 
KCM 1321, Kerċem, Kerċem, 
KCM 1323, Kerċem, Kerċem, 
KCM 1331, Kerċem, Kerċem, 
KCM 1340, Kerċem, Kerċem, 
KCM 1341, Kerċem, Kerċem, 
KCM 1343, Kerċem, Kerċem, 
KCM 1350, Kerċem, Kerċem, 
KCM 1352, Kerċem, Kerċem, 
KCM 1360, Kerċem, Kerċem, 
KCM 1361, Kerċem, Kerċem, 
KCM 1401, Kerċem, Kerċem, 
KCM 1403, Kerċem, Kerċem, 
KCM 1410, Kerċem, Kerċem, 
KCM 1411, Kerċem, Kerċem, 
KCM 1412, Kerċem, Kerċem, 
KCM 1413, Kerċem, Kerċem, 
KCM 1420, Kerċem, Kerċem, 
KCM 1421, Kerċem, Kerċem, 
KCM 1422, Kerċem, Kerċem, 
KCM 1423, Kerċem, Kerċem, 
KCM 1424, Kerċem, Kerċem, 
KCM 1425, Kerċem, Kerċem, 
KCM 1430, Kerċem, Kerċem, 
KCM 1431, Kerċem, Kerċem, 
KCM 1433, Kerċem, Kerċem, 
KCM 1700, Kerċem, Kerċem, 
KCM 1701, Kerċem, Kerċem, 
KCM 1702, Kerċem, Kerċem, 
KCM 1704, Kerċem, Kerċem, 
KCM 1705, Kerċem, Kerċem, 
KCM 1706, Kerċem, Kerċem, 
KCM 1721, Kerċem, Kerċem, 
KCM 1900, Kerċem, Kerċem, 
KCM 3151, Kerċem, Kerċem, 
KCM 4010, Kerċem, Kerċem, 
KCM 9010, Kerċem, Kerċem, 
KCM 1100, Santa Luċija, Kerċem, 
KCM 3010, Santa Luċija, Kerċem, 
KCM 3011, Santa Luċija, Kerċem, 
KCM 3012, Santa Luċija, Kerċem, 
KCM 3013, Santa Luċija, Kerċem, 
KCM 3014, Santa Luċija, Kerċem, 
KCM 3015, Santa Luċija, Kerċem, 
KCM 3016, Santa Luċija, Kerċem, 
KCM 3017, Santa Luċija, Kerċem, 
KCM 3020, Santa Luċija, Kerċem, 
KCM 3021, Santa Luċija, Kerċem, 
KCM 3040, Santa Luċija, Kerċem, 
KCM 3041, Santa Luċija, Kerċem, 
KCM 3042, Santa Luċija, Kerċem, 
KCM 3050, Santa Luċija, Kerċem, 
KCM 3052, Santa Luċija, Kerċem, 
KCM 3060, Santa Luċija, Kerċem, 
KCM 3061, Santa Luċija, Kerċem, 
KCM 3062, Santa Luċija, Kerċem, 
KCM 3063, Santa Luċija, Kerċem, 
KCM 3100, Santa Luċija, Kerċem, 
KCM 3101, Santa Luċija, Kerċem, 
KCM 3110, Santa Luċija, Kerċem, 
KCM 3111, Santa Luċija, Kerċem, 
KCM 3121, Santa Luċija, Kerċem, 
KCM 3140, Santa Luċija, Kerċem, 
KCM 3141, Santa Luċija, Kerċem, 
KCM 3200, Santa Luċija, Kerċem, 
KCM 3201, Santa Luċija, Kerċem, 
KCM 3202, Santa Luċija, Kerċem, 
KCM 3203, Santa Luċija, Kerċem, 
KCM 3210, Santa Luċija, Kerċem, 
KCM 3221, Santa Luċija, Kerċem, 
KCM 3300, Santa Luċija, Kerċem, 
KCM 3301, Santa Luċija, Kerċem, 
KCM 3303, Santa Luċija, Kerċem, 
MXR 1010, Munxar, Munxar, 
MXR 1011, Munxar, Munxar, 
MXR 1012, Munxar, Munxar, 
MXR 1013, Munxar, Munxar, 
MXR 1014, Munxar, Munxar, 
MXR 1040, Munxar, Munxar, 
MXR 1051, Munxar, Munxar, 
MXR 1053, Munxar, Munxar, 
MXR 1060, Munxar, Munxar, 
MXR 1061, Munxar, Munxar, 
MXR 1070, Munxar, Munxar, 
MXR 1071, Munxar, Munxar, 
MXR 1100, Munxar, Munxar, 
MXR 1101, Munxar, Munxar, 
MXR 1102, Munxar, Munxar, 
MXR 1103, Munxar, Munxar, 
MXR 1104, Munxar, Munxar, 
MXR 1105, Munxar, Munxar, 
MXR 1106, Munxar, Munxar, 
MXR 1110, Munxar, Munxar, 
MXR 1111, Munxar, Munxar, 
MXR 1120, Munxar, Munxar, 
MXR 1121, Munxar, Munxar, 
MXR 1300, Munxar, Munxar, 
MXR 1301, Munxar, Munxar, 
MXR 1302, Munxar, Munxar, 
MXR 1303, Munxar, Munxar, 
MXR 1311, Munxar, Munxar, 
MXR 1320, Munxar, Munxar, 
MXR 1321, Munxar, Munxar, 
MXR 1330, Munxar, Munxar, 
MXR 1331, Munxar, Munxar, 
MXR 1340, Munxar, Munxar, 
MXR 1341, Munxar, Munxar, 
MXR 1342, Munxar, Munxar, 
MXR 1350, Munxar, Munxar, 
MXR 1361, Munxar, Munxar, 
MXR 1363, Munxar, Munxar, 
MXR 1410, Munxar, Munxar, 
MXR 1411, Munxar, Munxar, 
MXR 1420, Munxar, Munxar, 
MXR 1421, Munxar, Munxar, 
MXR 1422, Munxar, Munxar, 
MXR 1423, Munxar, Munxar, 
MXR 1450, Munxar, Munxar, 
MXR 1451, Munxar, Munxar, 
MXR 1452, Munxar, Munxar, 
MXR 1453, Munxar, Munxar, 
MXR 1460, Munxar, Munxar, 
MXR 1461, Munxar, Munxar, 
MXR 1470, Munxar, Munxar, 
MXR 1471, Munxar, Munxar, 
MXR 1472, Munxar, Munxar, 
MXR 1480, Munxar, Munxar, 
MXR 1481, Munxar, Munxar, 
MXR 1482, Munxar, Munxar, 
MXR 1483, Munxar, Munxar, 
MXR 1484, Munxar, Munxar, 
MXR 1485, Munxar, Munxar, 
MXR 1500, Munxar, Munxar, 
MXR 1501, Munxar, Munxar, 
MXR 1560, Munxar, Munxar, 
MXR 1561, Munxar, Munxar, 
MXR 9010, Munxar, Munxar, 
MXR 9011, Munxar, Munxar, 
MXR 9030, Munxar, Munxar, 
MXR 9031, Munxar, Munxar, 
MXR 9043, Munxar, Munxar, 
MXR 9044, Munxar, Munxar, 
MXR 9045, Munxar, Munxar, 
XLN 1010, Xlendi, Munxar, 
XLN 1011, Xlendi, Munxar, 
XLN 1020, Xlendi, Munxar, 
XLN 1030, Xlendi, Munxar, 
XLN 1031, Xlendi, Munxar, 
XLN 1040, Xlendi, Munxar, 
XLN 1041, Xlendi, Munxar, 
XLN 1051, Xlendi, Munxar, 
XLN 1060, Xlendi, Munxar, 
XLN 1061, Xlendi, Munxar, 
XLN 1070, Xlendi, Munxar, 
XLN 1080, Xlendi, Munxar, 
XLN 1081, Xlendi, Munxar, 
XLN 1082, Xlendi, Munxar, 
XLN 1083, Xlendi, Munxar, 
XLN 1100, Xlendi, Munxar, 
XLN 1101, Xlendi, Munxar, 
XLN 1103, Xlendi, Munxar, 
XLN 1104, Xlendi, Munxar, 
XLN 1110, Xlendi, Munxar, 
XLN 1111, Xlendi, Munxar, 
XLN 1120, Xlendi, Munxar, 
XLN 1121, Xlendi, Munxar, 
XLN 1150, Xlendi, Munxar, 
XLN 1210, Xlendi, Munxar, 
XLN 1300, Xlendi, Munxar, 
XLN 1301, Xlendi, Munxar, 
XLN 1302, Xlendi, Munxar, 
XLN 1310, Xlendi, Munxar, 
XLN 1320, Xlendi, Munxar, 
XLN 1321, Xlendi, Munxar, 
XLN 1400, Xlendi, Munxar, 
XLN 1401, Xlendi, Munxar, 
XLN 1403, Xlendi, Munxar, 
XLN 1404, Xlendi, Munxar, 
XLN 1410, Xlendi, Munxar, 
XLN 1411, Xlendi, Munxar, 
XLN 1412, Xlendi, Munxar, 
XLN 1420, Xlendi, Munxar, 
XLN 1421, Xlendi, Munxar, 
XLN 1430, Xlendi, Munxar, 
XLN 1431, Xlendi, Munxar, 
XLN 1450, Xlendi, Munxar, 
XLN 1451, Xlendi, Munxar, 
XLN 9040, Xlendi, Munxar, 
NDR 1010, Nadur, Nadur, 
NDR 1011, Nadur, Nadur, 
NDR 1012, Nadur, Nadur, 
NDR 1020, Nadur, Nadur, 
NDR 1021, Nadur, Nadur, 
NDR 1022, Nadur, Nadur, 
NDR 1031, Nadur, Nadur, 
NDR 1032, Nadur, Nadur, 
NDR 1033, Nadur, Nadur, 
NDR 1034, Nadur, Nadur, 
NDR 1035, Nadur, Nadur, 
NDR 1040, Nadur, Nadur, 
NDR 1041, Nadur, Nadur, 
NDR 1050, Nadur, Nadur, 
NDR 1051, Nadur, Nadur, 
NDR 1052, Nadur, Nadur, 
NDR 1053, Nadur, Nadur, 
NDR 1080, Nadur, Nadur, 
NDR 1081, Nadur, Nadur, 
NDR 1082, Nadur, Nadur, 
NDR 1083, Nadur, Nadur, 
NDR 1110, Nadur, Nadur, 
