SI-048, Municipality of Kočevje, Občina Kočevje, Kočevje, 16379, Drava, 
SI-060, Municipality of Litija, Občina Litija, Litija, 15017, Drava, 
SI-063, Municipality of Ljutomer, Občina Ljutomer, Ljutomer, 11662, Drava, 
SI-071, Municipality of Medvode, Občina Medvode, Medvode, 15843, Drava, 
SI-074, Municipality of Mežica, Občina Mežica, Mežica, 3632, Drava, 
SI-169, Municipality of Miklavž na Dravskem Polju, Občina Miklavž na Dravskem polju, Miklavž na Dravskem Polju, 6402, Drava, 
SI-075, Municipality of Miren-Kostanjevica, Občina Miren - Kostanjevica, Miren, 4835, Drava, 
SI-212, Municipality of Mirna, Občina Mirna, Mirna, 2577, Drava, 
SI-078, Municipality of Moravske Toplice, Občina Moravske Toplice, Moravske Toplice, 5908, Drava, 
SI-092, Municipality of Podčetrtek, Občina Podčetrtek, Podčetrtek, 3322, Drava, 
SI-172, Municipality of Podlehnik, Občina Podlehnik, Podlehnik, 1873, Drava, 
SI-200, Municipality of Poljčane, Občina Poljčane, Poljčane, 4556, Drava, 
SI-095, Municipality of Preddvor, Občina Preddvor, Preddvor, 3561, Drava, 
SI-096, Urban Municipality of Ptuj, Mestna občina Ptuj, Ptuj, 23404, Drava, 
SI-102, Municipality of Radovljica, Občina Radovljica, Radovljica, 18870, Drava, 
SI-176, Municipality of Razkrižje, Občina Razkrižje, Razkrižje, 1335, Drava, 
SI-119, Municipality of Šentjernej, Občina Šentjernej, Šentjernej, 6908, Drava, 
SI-211, Municipality of Šentrupert, Občina Šentrupert, Šentrupert, 2845, Drava, 
SI-122, Municipality of Škofja Loka, Občina Škofja Loka, Škofja Loka, 22901, Drava, 
SI-180, Municipality of Solčava, Občina Solčava, Solčava, 518, Drava, 
SI-181, Municipality of Sveta Ana, Občina Sveta Ana, Sveta Ana v Slovenskih Goricah, 2342, Drava, 
SI-204, Municipality of Sveta Trojica v Slovenskih Goricah, Občina Sveta Trojica v Slovenskih goricah, Sveta Trojica v Slovenskih Goricah, 2100, Drava, 
SI-184, Municipality of Tabor, Občina Tabor, Tabor, 1603, Drava, 
SI-010, Municipality of Tišina, Občina Tišina, Tišina, 4124, Drava, 
SI-128, Municipality of Tolmin, Občina Tolmin, Tolmin, 11578, Drava, 
SI-130, Municipality of Trebnje, Občina Trebnje, Trebnje, 12075, Drava, 
SI-185, Municipality of Trnovska Vas, Občina Trnovska vas, Trnovska Vas, 1348, Drava, 
SI-187, Municipality of Velika Polana, Občina Velika Polana, Velika Polana, 1469, Drava, 
SI-138, Municipality of Vodice, Občina Vodice, Vodice, 4778, Drava, 
SI-159, Municipality of Hajdina, Občina Hajdina, Zgornja Hajdina, 3736, Drava, 
SI-207, Municipality of Gorje, Občina Gorje, Zgornje Gorje, 2874, Drava, 
SI-001, Municipality of Ajdovščina, Občina Ajdovščina, Ajdovščina, 18955, Gorizia, 
SI-151, Municipality of Braslovče, Občina Braslovče, Braslovče, 5409, Gorizia, 
SI-192, Municipality of Žirovnica, Občina Žirovnica, Breznica, 4401, Gorizia, 
SI-014, Municipality of Cerkno, Občina Cerkno, Cerkno, 4786, Gorizia, 
SI-039, Municipality of Ivančna Gorica, Občina Ivančna Gorica, Ivančna Gorica, 15810, Gorizia, 
SI-047, Municipality of Kobilje, Občina Kobilje, Kobilje, 590, Gorizia, 
SI-049, Municipality of Komen, Občina Komen, Komen, 3545, Gorizia, 
SI-079, Municipality of Mozirje, Občina Mozirje, Mozirje, 4098, Gorizia, 
SI-089, Municipality of Pesnica, Občina Pesnica, Pesnica pri Mariboru, 7554, Gorizia, 
SI-033, Municipality of Šalovci, Občina Šalovci, Šalovci, 1521, Gorizia, 
SI-111, Municipality of Sežana, Občina Sežana, Sežana, 13036, Gorizia, 
SI-132, Municipality of Turnišče, Občina Turnišče, Turnišče, 3338, Gorizia, 
SI-139, Municipality of Vojnik, Občina Vojnik, Vojnik, 8510, Gorizia, 
SI-004, Municipality of Bohinj, Občina Bohinj, Bohinjska Bistrica, 5206, Littoral-Inner Carniola, 
SI-013, Municipality of Cerknica, Občina Cerknica, Cerknica, 11268, Littoral-Inner Carniola, 
SI-041, Municipality of Jesenice, Občina Jesenice, Jesenice, 21374, Littoral-Inner Carniola, 
SI-070, Urban Municipality of Maribor, Mestna občina Maribor, Maribor, 111374, Littoral-Inner Carniola, 
SI-094, Municipality of Postojna, Občina Postojna, Postojna, 15749, Littoral-Inner Carniola, 
SI-098, Municipality of Rače-Fram, Občina Rače - Fram, Rače, 7021, Littoral-Inner Carniola, 
SI-149, Municipality of Bistrica ob Sotli, Občina Bistrica ob Sotli, Bistrica ob Sotli, 1404, Lower Sava, 
SI-008, Municipality of Brezovica, Občina Brezovica, Brezovica pri Ljubljani, 11620, Lower Sava, 
SI-053, Municipality of Kranjska Gora, Občina Kranjska Gora, Kranjska Gora, 5324, Lower Sava, 
SI-059, Municipality of Lendava, Občina Lendava, Lendava, 10721, Lower Sava, 
SI-209, Municipality of Rečica ob Savinji, Občina Rečica ob Savinji, Rečica ob Savinji, 2306, Lower Sava, 
SI-114, Municipality of Slovenske Konjice, Občina Slovenske Konjice, Slovenske Konjice, 14438, Lower Sava, 
SI-195, Municipality of Apače, Občina Apače, Apače, 3610, Mura, 
SI-002, Municipality of Beltinci, Občina Beltinci, Beltinci, 8302, Mura, 
SI-152, Municipality of Cankova, Občina Cankova, Cankova, 1889, Mura, 
SI-015, Municipality of Črenšovci, Občina Črenšovci, Črenšovci, 4052, Mura, 
SI-007, Municipality of Brda, Občina Brda, Dobrovo, 5734, Mura, 
SI-031, Municipality of Gornji Petrovci, Občina Gornji Petrovci, Gornji Petrovci, 2136, Mura, 
SI-032, Municipality of Grosuplje, Občina Grosuplje, Grosuplje, 19719, Mura, 
SI-161, Municipality of Hodoš, Občina Hodoš, Hodoš, 375, Mura, 
SI-035, Municipality of Hrpelje-Kozina, Občina Hrpelje - Kozina, Hrpelje, 4303, Mura, 
SI-164, Municipality of Komenda, Občina Komenda, Komenda, 5746, Mura, 
SI-058, Municipality of Lenart, Občina Lenart, Lenart v Slovenskih Goricah, 8169, Mura, 
SI-061, Urban Municipality of Ljubljana, Mestna občina Ljubljana, Ljubljana, 282994, Mura, 
SI-208, Municipality of Log-Dragomer, Občina Log - Dragomer, Log pri Brezovici, 3660, Mura, 
SI-068, Municipality of Lukovica, Občina Lukovica, Lukovica pri Domžalah, 5549, Mura, 
SI-150, Municipality of Bloke, Občina Bloke, Nova Vas, 1584, Mura, 
SI-086, Municipality of Odranci, Občina Odranci, Odranci, 1637, Mura, 
SI-091, Municipality of Pivka, Občina Pivka, Pivka, 6044, Mura, 
SI-103, Municipality of Ravne na Koroškem, Občina Ravne na Koroškem, Ravne na Koroškem, 11464, Mura, 
SI-104, Municipality of Ribnica, Občina Ribnica, Ribnica, 9316, Mura, 
SI-107, Municipality of Rogatec, Občina Rogatec, Rogatec, 3122, Mura, 
SI-117, Municipality of Šenčur, Občina Šenčur, Šenčur, 8469, Mura, 
SI-120, Municipality of Šentjur, Občina Šentjur, Šentjur, 18946, Mura, 
SI-129, Municipality of Trbovlje, Občina Trbovlje, Trbovlje, 16888, Mura, 
SI-186, Municipality of Trzin, Občina Trzin, Trzin, 3874, Mura, 
SI-020, Municipality of Dobrepolje, Občina Dobrepolje, Videm, 3938, Mura, 
SI-136, Municipality of Vipava, Občina Vipava, Vipava, 5553, Mura, 
SI-182, Municipality of Sveti Andraž v Slovenskih Goricah, Občina Sveti Andraž v Slovenskih goricah, Vitomarci, 1138, Mura, 
SI-009, Municipality of Brežice, Občina Brežice, Brežice, 24285, Savinja, 
SI-011, Urban Municipality of Celje, Mestna občina Celje, Celje, 48675, Savinja, 
SI-154, Municipality of Dobje, Občina Dobje, Dobje pri Planini, 968, Savinja, 
SI-021, Municipality of Dobrova-Polhov Gradec, Občina Dobrova - Polhov Gradec, Dobrova, 7539, Savinja, 
SI-158, Municipality of Grad, Občina Grad, Grad, 2216, Savinja, 
SI-054, Urban Municipality of Krško, Mestna občina Krško, Krško, 26050, Savinja, 
SI-062, Municipality of Ljubno, Občina Ljubno, Ljubno ob Savinji, 2645, Savinja, 
SI-067, Municipality of Luče, Občina Luče, Luče, 1514, Savinja, 
SI-072, Municipality of Mengeš, Občina Mengeš, Mengeš, 7477, Savinja, 
SI-085, Urban Municipality of Novo Mesto, Mestna občina Novo mesto, Novo Mesto, 36285, Savinja, 
SI-088, Municipality of Osilnica, Občina Osilnica, Osilnica, 396, Savinja, 
SI-174, Municipality of Prebold, Občina Prebold, Prebold, 5052, Savinja, 
SI-097, Municipality of Puconci, Občina Puconci, Puconci, 6098, Savinja, 
SI-099, Municipality of Radeče, Občina Radeče, Radeče, 4396, Savinja, 
SI-108, Municipality of Ruše, Občina Ruše, Ruše, 7220, Savinja, 
SI-183, Municipality of Šempeter-Vrtojba, Občina Šempeter - Vrtojba, Šempeter pri Gorici, 6348, Savinja, 
SI-118, Municipality of Šentilj, Občina Šentilj, Šentilj v Slovenskih Goricah, 8467, Savinja, 
SI-112, Urban Municipality of Slovenj Gradec, Mestna občina Slovenj Gradec, Slovenj Gradec, 16870, Savinja, 
SI-126, Municipality of Šoštanj, Občina Šoštanj, Šoštanj, 8750, Savinja, 
SI-160, Municipality of Hoče-Slivnica, Občina Hoče - Slivnica, Spodnje Hoče, 11189, Savinja, 
SI-202, Municipality of Središče ob Dravi, Občina Središče ob Dravi, Središče ob Dravi, 2110, Savinja, 
SI-127, Municipality of Štore, Občina Štore, Štore, 4292, Savinja, 
SI-203, Municipality of Straža, Občina Straža, Straža, 3890, Savinja, 
SI-116, Municipality of Sveti Jurij ob Ščavnici, Občina Sveti Jurij ob Ščavnici, Sveti Jurij ob Ščavnici, 2890, Savinja, 
SI-131, Municipality of Tržič, Občina Tržič, Tržič, 15106, Savinja, 
SI-135, Municipality of Videm, Občina Videm, Videm pri Ptuju, 5603, Savinja, 
SI-189, Municipality of Vransko, Občina Vransko, Vransko, 2652, Savinja, 
SI-141, Municipality of Vuzenica, Občina Vuzenica, Vuzenica, 2726, Savinja, 
SI-142, Municipality of Zagorje ob Savi, Občina Zagorje ob Savi, Zagorje ob Savi, 16901, Savinja, 
SI-191, Municipality of Žetale, Občina Žetale, Žetale, 1340, Savinja, 
SI-144, Municipality of Zreče, Občina Zreče, Zreče, 6389, Savinja, 
SI-017, Municipality of Črnomelj, Občina Črnomelj, Črnomelj, 14629, Southeast Slovenia, 
SI-157, Municipality of Dolenjske Toplice, Občina Dolenjske Toplice, Dolenjske Toplice, 3398, Southeast Slovenia, 
SI-050, Urban Municipality of Koper, Mestna občina Koper, Koper, 51048, Southeast Slovenia, 
SI-166, Municipality of Križevci, Občina Križevci, Križevci pri Ljutomeru, 3753, Southeast Slovenia, 
SI-168, Municipality of Markovci, Občina Markovci, Markovci, 4015, Southeast Slovenia, 
SI-199, Municipality of Mokronog-Trebelno, Občina Mokronog - Trebelno, Mokronog, 2981, Southeast Slovenia, 
SI-080, Urban Municipality of Murska Sobota, Mestna občina Murska Sobota, Murska Sobota, 19188, Southeast Slovenia, 
SI-081, Municipality of Muta, Občina Muta, Muta, 3457, Southeast Slovenia, 
SI-083, Municipality of Nazarje, Občina Nazarje, Nazarje, 2624, Southeast Slovenia, 
SI-090, Municipality of Piran, Občina Piran, Piran, 17882, Southeast Slovenia, 
SI-093, Municipality of Podvelka, Občina Podvelka, Podvelka, 2500, Southeast Slovenia, 
SI-178, Municipality of Selnica ob Dravi, Občina Selnica ob Dravi, Selnica ob Dravi, 4532, Southeast Slovenia, 
SI-110, Municipality of Sevnica, Občina Sevnica, Sevnica, 17460, Southeast Slovenia, 
SI-123, Municipality of Škofljica, Občina Škofljica, Škofljica, 9744, Southeast Slovenia, 
SI-113, Municipality of Slovenska Bistrica, Občina Slovenska Bistrica, Slovenska Bistrica, 25191, Southeast Slovenia, 
SI-206, Municipality of Šmarješke Toplice, Občina Šmarješke Toplice, Šmarješke Toplice, 3224, Southeast Slovenia, 
SI-026, Municipality of Duplek, Občina Duplek, Spodnji Duplek, 6746, Southeast Slovenia, 
SI-115, Municipality of Starše, Občina Starše, Starše, 4102, Southeast Slovenia, 
SI-205, Municipality of Sveti Tomaž, Občina Sveti Tomaž, Sveti Tomaž, 2112, Southeast Slovenia, 
SI-133, Urban Municipality of Velenje, Mestna občina Velenje, Velenje, 32912, Southeast Slovenia, 
SI-193, Municipality of Žužemberk, Občina Žužemberk, Žužemberk, 4568, Southeast Slovenia, 
SI-003, Municipality of Bled, Občina Bled, Bled, 8171, Upper Carniola, 
SI-005, Municipality of Borovnica, Občina Borovnica, Borovnica, 3992, Upper Carniola, 
SI-012, Municipality of Cerklje na Gorenjskem, Občina Cerklje na Gorenjskem, Cerklje na Gorenjskem, 7243, Upper Carniola, 
SI-028, Municipality of Gorišnica, Občina Gorišnica, Gorišnica, 4035, Upper Carniola, 
SI-030, Municipality of Gornji Grad, Občina Gornji Grad, Gornji Grad, 2650, Upper Carniola, 
SI-043, Municipality of Kamnik, Občina Kamnik, Kamnik, 29244, Upper Carniola, 
SI-044, Municipality of Kanal ob Soči, Občina Kanal ob Soči, Kanal, 5644, Upper Carniola, 
SI-056, Municipality of Kuzma, Občina Kuzma, Kuzma, 1584, Upper Carniola, 
SI-057, Municipality of Laško, Občina Laško, Laško, 13409, Upper Carniola, 
SI-087, Municipality of Ormož, Občina Ormož, Ormož, 12526, Upper Carniola, 
SI-100, Municipality of Radenci, Občina Radenci, Radenci, 5252, Upper Carniola, 
SI-106, Municipality of Rogaška Slatina, Občina Rogaška Slatina, Rogaška Slatina, 11070, Upper Carniola, 
SI-121, Municipality of Škocjan, Občina Škocjan, Škocjan, 3224, Upper Carniola, 
SI-125, Municipality of Šmartno ob Paki, Občina Šmartno ob Paki, Šmartno ob Paki, 3218, Upper Carniola, 
SI-134, Municipality of Velike Lašče, Občina Velike Lašče, Velike Lašče, 4240, Upper Carniola, 
SI-055, Municipality of Kungota, Občina Kungota, Zgornja Kungota, 4787, Upper Carniola, 
SI-163, Municipality of Jezersko, Občina Jezersko, Zgornje Jezersko, 634, Upper Carniola, 
SI-147, Municipality of Žiri, Občina Žiri, Žiri, 4890, Upper Carniola, 
